,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:B5,78:A5:04:41:E9:F2,78:A5:04:41:E9:C8
1526463200588,-87,-200,-200
1526463207229,-92,-94,-200
1526463209549,-92,-200,-200
1526463211745,-97,-200,-200
1526463212789,-90,-200,-200
1526463223797,-90,-200,-200
1526463229328,-95,-200,-200
1526463229430,-93,-200,-200
1526463231634,-93,-200,-200
1526463233840,-96,-200,-200
1526463239396,-92,-95,-200
1526463245975,-93,-200,-200
1526463248087,-96,-200,-95
1526463250369,-91,-200,-200
