,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:FE,78:A5:04:41:EB:D8
1526462933179,-83,-84
1526462933288,-84,-87
1526462933389,-83,-86
1526462933490,-85,-88
1526462941140,-85,-200
1526462941243,-84,-88
1526462941366,-85,-200
1526462941481,-84,-89
1526462941594,-84,-200
1526462946190,-83,-87
1526462946377,-85,-87
1526462946496,-82,-200
1526462946595,-83,-88
1526462956300,-85,-200
1526462956439,-85,-88
1526462956536,-84,-89
1526462956639,-84,-91
1526462961132,-83,-200
1526462961230,-84,-200
1526462961337,-84,-87
1526462961450,-200,-88
1526462971146,-83,-87
1526462971557,-84,-88
1526462971655,-200,-89
1526462976152,-200,-84
1526462976257,-200,-85
1526462976582,-84,-89
1526462986477,-83,-88
1526462991364,-84,-87
