,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,BC:6A:29:BE:31:7F,7C:66:9D:7B:2E:21,78:A5:04:41:E9:8A,78:A5:04:41:E9:82,78:A5:04:41:E9:EB,78:A5:04:41:E9:F3,78:A5:04:41:EB:FB,78:A5:04:41:E9:D2,78:A5:04:41:E9:92,78:A5:04:41:E5:59,78:A5:04:41:E9:BE,78:A5:04:41:E5:34,78:A5:04:41:E7:D5,78:A5:04:41:EE:08,7C:66:9D:7B:47:FC,78:A5:04:41:E9:8E,78:A5:04:41:E7:88,78:A5:04:41:E5:62,78:A5:04:41:E7:9D,78:A5:04:41:E9:C8,78:A5:04:41:EB:D1,78:A5:04:41:E9:D7
1526448686789,-90,-95,-79,-91,-88,-80,-62,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448686891,-90,-95,-79,-200,-200,-80,-200,-200,-81,-89,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448687009,-90,-95,-200,-200,-200,-200,-200,-200,-81,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448691550,-200,-200,-81,-200,-86,-200,-65,-76,-81,-200,-200,-85,-92,-68,-200,-200,-200,-200,-200,-200,-200,-200
1526448691748,-200,-200,-200,-200,-86,-200,-65,-75,-200,-87,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200
1526448691843,-93,-89,-200,-200,-86,-78,-65,-76,-200,-200,-200,-85,-200,-69,-93,-200,-200,-200,-200,-200,-200,-200
1526448691950,-200,-200,-200,-87,-200,-78,-200,-76,-81,-200,-200,-85,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526448696573,-95,-97,-200,-200,-87,-83,-66,-200,-83,-80,-200,-200,-200,-74,-200,-90,-90,-200,-200,-200,-200,-200
1526448696774,-200,-200,-81,-200,-88,-200,-200,-78,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526448696876,-95,-200,-82,-200,-88,-82,-66,-79,-200,-80,-200,-87,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526448696982,-90,-92,-200,-200,-200,-77,-63,-200,-81,-80,-200,-86,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200
1526448701638,-89,-200,-200,-200,-200,-80,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448701856,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448701969,-95,-93,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526448702143,-200,-93,-200,-200,-200,-200,-62,-200,-80,-89,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526448702248,-200,-90,-200,-200,-200,-79,-200,-86,-200,-200,-200,-83,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200
1526448706563,-200,-90,-78,-200,-200,-79,-68,-80,-200,-200,-200,-88,-200,-66,-200,-200,-88,-89,-99,-200,-200,-200
1526448706657,-99,-90,-78,-200,-200,-200,-200,-80,-200,-200,-86,-87,-89,-65,-92,-200,-88,-88,-200,-200,-200,-200
1526448706787,-200,-90,-200,-200,-90,-200,-68,-200,-87,-200,-86,-200,-89,-66,-200,-200,-90,-200,-200,-200,-200,-200
1526448706885,-97,-200,-78,-88,-200,-200,-200,-87,-80,-79,-200,-90,-90,-68,-93,-200,-200,-90,-200,-200,-200,-200
1526448711726,-98,-200,-200,-200,-200,-200,-68,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448711853,-200,-200,-200,-200,-200,-200,-67,-200,-83,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448712058,-97,-200,-200,-88,-200,-200,-70,-200,-80,-84,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448712439,-98,-200,-85,-200,-200,-200,-200,-200,-81,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448712801,-200,-92,-82,-200,-87,-200,-65,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448716565,-200,-93,-200,-90,-88,-200,-65,-83,-79,-200,-200,-84,-92,-76,-99,-200,-200,-200,-200,-200,-200,-200
1526448716690,-90,-200,-200,-200,-89,-200,-65,-83,-79,-200,-200,-82,-91,-76,-97,-200,-200,-200,-200,-200,-200,-200
1526448716808,-92,-96,-79,-200,-89,-80,-200,-84,-200,-200,-200,-82,-92,-76,-98,-200,-200,-200,-200,-200,-200,-200
1526448716913,-93,-200,-80,-89,-88,-83,-200,-200,-79,-200,-86,-82,-200,-200,-94,-200,-200,-200,-200,-95,-200,-200
1526448721649,-200,-89,-200,-200,-88,-80,-200,-200,-78,-200,-87,-82,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526448721752,-200,-89,-80,-200,-88,-200,-200,-77,-79,-200,-89,-81,-200,-67,-200,-200,-88,-200,-200,-200,-200,-200
1526448721884,-200,-200,-80,-200,-200,-82,-68,-200,-79,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448726531,-95,-200,-81,-200,-200,-82,-200,-79,-82,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200
1526448726635,-200,-200,-82,-200,-200,-82,-64,-200,-83,-200,-200,-200,-200,-75,-200,-200,-90,-200,-200,-200,-90,-200
1526448726735,-200,-200,-81,-200,-200,-82,-200,-200,-83,-80,-200,-200,-90,-75,-200,-90,-200,-200,-200,-200,-90,-200
1526448726849,-94,-200,-200,-200,-87,-83,-62,-200,-82,-81,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-91,-200
1526448731606,-200,-200,-200,-200,-200,-78,-200,-89,-200,-200,-200,-84,-200,-68,-94,-200,-200,-200,-200,-200,-200,-200
1526448731695,-91,-200,-80,-200,-200,-79,-200,-200,-80,-200,-200,-83,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200
1526448731795,-91,-200,-80,-200,-200,-79,-200,-200,-79,-200,-200,-83,-92,-69,-200,-200,-200,-200,-200,-200,-200,-200
1526448731901,-200,-92,-200,-200,-200,-200,-61,-200,-79,-200,-200,-83,-92,-68,-92,-200,-200,-200,-200,-200,-200,-200
1526448736544,-97,-93,-200,-200,-200,-200,-70,-200,-78,-200,-89,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526448737005,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526448737117,-92,-92,-80,-200,-200,-200,-65,-75,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526448737242,-95,-200,-80,-200,-200,-200,-200,-75,-200,-200,-200,-85,-200,-68,-94,-200,-200,-200,-200,-200,-200,-200
1526448741552,-200,-200,-81,-200,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
