,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:FB,78:A5:04:41:E5:59,BC:6A:29:BE:31:7F,78:A5:04:41:E5:34,78:A5:04:41:EE:08,78:A5:04:41:E9:82,78:A5:04:41:E9:92,78:A5:04:41:E9:EB,78:A5:04:41:E9:D2,78:A5:04:41:E9:F3,78:A5:04:41:E9:D7,7C:66:9D:7B:2E:21,78:A5:04:41:E9:8A,78:A5:04:41:EB:D1
1526448538690,-65,-82,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448539022,-200,-200,-96,-97,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448539119,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448539220,-82,-79,-95,-200,-200,-90,-86,-200,-200,-200,-200,-200,-200,-200
1526448539319,-62,-200,-94,-200,-69,-200,-200,-88,-70,-200,-200,-200,-200,-200
1526448543641,-62,-79,-94,-200,-68,-200,-81,-200,-68,-87,-86,-200,-200,-200
1526448543918,-200,-200,-200,-200,-68,-200,-81,-200,-69,-200,-200,-200,-200,-200
1526448548558,-64,-85,-200,-200,-73,-200,-200,-200,-82,-200,-200,-200,-200,-200
1526448548667,-64,-85,-96,-200,-72,-200,-200,-200,-81,-200,-200,-200,-200,-200
1526448548774,-64,-84,-94,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200
1526448548876,-64,-85,-200,-200,-74,-96,-200,-200,-80,-200,-88,-98,-200,-200
1526448553604,-63,-200,-90,-200,-200,-200,-200,-200,-79,-200,-200,-101,-200,-200
1526448553723,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448553845,-200,-81,-90,-200,-200,-92,-200,-200,-200,-200,-200,-102,-200,-200
1526448553947,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448554066,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448554165,-63,-200,-92,-200,-64,-200,-92,-94,-82,-200,-200,-96,-200,-200
1526448558632,-63,-84,-200,-200,-69,-200,-200,-200,-70,-200,-85,-96,-200,-200
1526448558762,-63,-84,-95,-200,-68,-200,-82,-200,-70,-88,-200,-200,-200,-200
1526448558865,-63,-200,-94,-200,-68,-200,-200,-200,-200,-200,-85,-95,-200,-200
1526448558968,-63,-85,-95,-200,-71,-200,-200,-200,-69,-200,-89,-200,-200,-200
1526448563584,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448563813,-200,-200,-94,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200
1526448563915,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448564018,-200,-200,-95,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448564224,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200
1526448564332,-67,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448564446,-66,-200,-94,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448568558,-63,-200,-95,-93,-200,-90,-200,-200,-79,-200,-200,-200,-200,-200
1526448568656,-65,-83,-95,-200,-200,-90,-200,-200,-200,-200,-86,-200,-200,-200
1526448568765,-200,-200,-96,-200,-65,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526448568882,-68,-84,-97,-92,-200,-90,-89,-200,-200,-92,-200,-200,-200,-200
1526448569002,-60,-83,-200,-200,-75,-200,-86,-200,-77,-200,-84,-97,-200,-200
1526448573633,-200,-200,-200,-200,-75,-200,-200,-89,-82,-200,-200,-200,-200,-200
1526448573775,-60,-84,-200,-200,-74,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526448573876,-200,-200,-200,-200,-75,-200,-86,-88,-200,-200,-200,-200,-200,-200
1526448574010,-61,-200,-91,-89,-74,-200,-200,-200,-78,-200,-200,-200,-200,-200
1526448578617,-61,-200,-94,-200,-73,-200,-200,-200,-200,-200,-200,-200,-91,-200
1526448578730,-61,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448578826,-62,-200,-200,-91,-74,-200,-200,-200,-76,-200,-200,-200,-200,-200
1526448583560,-63,-81,-200,-200,-63,-89,-88,-90,-81,-200,-90,-200,-200,-200
1526448583652,-63,-80,-200,-200,-64,-200,-87,-200,-80,-200,-88,-200,-200,-200
1526448583748,-63,-81,-200,-200,-64,-200,-87,-90,-81,-200,-89,-200,-200,-200
1526448583865,-63,-200,-200,-200,-65,-200,-88,-90,-81,-200,-90,-200,-200,-200
1526448583953,-200,-200,-98,-93,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448593554,-200,-200,-95,-200,-74,-200,-200,-200,-80,-200,-200,-200,-92,-200
1526448593652,-61,-84,-94,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448593758,-61,-84,-94,-200,-74,-200,-200,-200,-79,-92,-200,-200,-91,-200
1526448593865,-61,-85,-93,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-94
1526448598555,-200,-81,-200,-200,-63,-88,-200,-200,-76,-200,-86,-200,-200,-200
1526448598695,-64,-82,-94,-200,-64,-88,-200,-200,-76,-200,-200,-101,-200,-200
1526448598810,-64,-200,-200,-200,-64,-88,-200,-200,-77,-200,-200,-200,-200,-200
1526448598910,-64,-82,-200,-200,-64,-88,-92,-200,-77,-200,-200,-200,-200,-200
1526448603549,-60,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-98,-200,-200
1526448603641,-61,-200,-200,-200,-200,-200,-200,-90,-75,-200,-200,-200,-200,-200
1526448603857,-61,-200,-100,-200,-200,-200,-200,-200,-77,-200,-87,-200,-200,-200
