,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:2E:21,78:A5:04:41:E9:D2,BC:6A:29:BE:31:17,78:A5:04:41:E9:8E,78:A5:04:41:E5:59,78:A5:04:41:E5:34,78:A5:04:41:E9:D7,78:A5:04:41:E9:BE,78:A5:04:41:E9:F3,78:A5:04:41:EE:08,78:A5:04:41:E9:8A,78:A5:04:41:EB:FB,BC:6A:29:BE:31:7F,78:A5:04:41:E9:92,78:A5:04:41:E9:EB,7C:66:9D:7B:47:FC,78:A5:04:41:E9:A0,BC:6A:29:BE:2F:54,78:A5:04:41:E9:BB,78:A5:04:41:EB:E8,78:A5:04:41:E9:82
1526448515263,-200,-200,-200,-200,-200,-200,-200,-200,-200,-66,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526448515462,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-101,-200,-200,-200,-200,-200
1526448515565,-200,-200,-200,-200,-80,-90,-84,-88,-80,-200,-86,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526448519996,-200,-200,-200,-200,-77,-200,-200,-200,-200,-65,-200,-200,-97,-200,-200,-92,-90,-200,-200,-200,-200
1526448520085,-200,-200,-200,-200,-200,-200,-200,-200,-200,-65,-200,-80,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526448520198,-200,-200,-200,-200,-77,-200,-200,-82,-83,-66,-87,-79,-200,-80,-200,-95,-200,-200,-200,-200,-93
1526448520310,-200,-77,-100,-200,-77,-200,-200,-83,-84,-200,-87,-77,-200,-81,-200,-92,-200,-200,-200,-91,-91
1526448520410,-200,-77,-96,-200,-76,-200,-200,-200,-80,-200,-88,-75,-92,-81,-89,-200,-200,-200,-200,-200,-200
1526448525164,-200,-200,-97,-200,-77,-84,-200,-82,-200,-69,-200,-73,-93,-200,-200,-200,-200,-200,-200,-87,-200
1526448525392,-200,-80,-200,-200,-78,-200,-200,-200,-80,-200,-87,-200,-95,-80,-200,-200,-200,-200,-200,-200,-200
1526448530031,-200,-200,-200,-79,-200,-200,-200,-89,-80,-71,-87,-200,-88,-83,-200,-200,-200,-200,-200,-200,-200
1526448530125,-200,-200,-200,-200,-78,-200,-200,-200,-80,-70,-87,-200,-88,-82,-200,-95,-200,-200,-200,-200,-200
1526448530228,-200,-200,-97,-79,-79,-200,-200,-200,-80,-69,-200,-200,-87,-200,-200,-96,-200,-200,-200,-200,-200
1526448530339,-200,-200,-96,-79,-200,-200,-200,-200,-200,-69,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526448530445,-200,-200,-200,-200,-200,-200,-200,-200,-200,-69,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
