,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,78:A5:04:41:E9:92,78:A5:04:41:E9:D7,78:A5:04:41:E9:8A,7C:66:9D:7B:47:FC,78:A5:04:41:E9:EB,78:A5:04:41:EB:FB,78:A5:04:41:E9:F3,78:A5:04:41:E9:8E,78:A5:04:41:E5:34,78:A5:04:41:EE:08,78:A5:04:41:E9:D2,7C:66:9D:7B:2E:21,78:A5:04:41:E9:82,78:A5:04:41:E7:D5,78:A5:04:41:E9:BE,78:A5:04:41:E5:59,BC:6A:29:BE:31:7F
1526448760946,-76,-83,-82,-89,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448761060,-76,-200,-82,-89,-86,-60,-87,-92,-87,-62,-63,-200,-200,-200,-200,-200,-200
1526448761177,-76,-84,-82,-89,-86,-200,-87,-200,-86,-200,-68,-200,-200,-200,-200,-200,-200
1526448765872,-75,-200,-200,-200,-87,-200,-89,-200,-200,-68,-200,-92,-91,-200,-200,-200,-200
1526448765977,-75,-83,-200,-92,-200,-60,-200,-200,-200,-67,-68,-92,-200,-88,-200,-200,-200
1526448766079,-200,-200,-200,-91,-200,-200,-88,-200,-200,-200,-68,-93,-200,-200,-87,-200,-200
1526448766184,-75,-83,-200,-92,-86,-60,-88,-200,-82,-68,-68,-91,-200,-200,-200,-81,-200
1526448770947,-200,-91,-200,-200,-200,-200,-200,-200,-200,-73,-74,-200,-200,-200,-200,-200,-200
1526448771147,-200,-200,-200,-200,-200,-63,-200,-200,-86,-74,-73,-200,-200,-200,-200,-200,-200
1526448771265,-200,-200,-200,-200,-200,-63,-200,-200,-86,-72,-73,-200,-200,-92,-200,-84,-96
1526448775963,-77,-83,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-99
1526448780862,-77,-83,-83,-200,-85,-200,-200,-200,-92,-62,-64,-97,-200,-200,-200,-200,-97
1526448781011,-77,-200,-83,-90,-85,-200,-200,-200,-200,-62,-200,-98,-200,-200,-200,-200,-200
1526448781118,-77,-200,-83,-200,-85,-200,-200,-200,-89,-62,-200,-97,-200,-200,-200,-200,-200
1526448781208,-77,-200,-83,-89,-86,-200,-200,-200,-90,-200,-64,-200,-200,-200,-200,-200,-200
1526448781329,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448785924,-200,-200,-85,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-90,-92
1526448786207,-200,-200,-200,-92,-200,-65,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-90
1526448786322,-200,-200,-200,-200,-200,-65,-200,-200,-200,-70,-200,-92,-200,-200,-200,-200,-200
1526448786433,-76,-200,-200,-200,-200,-200,-200,-200,-200,-68,-200,-92,-200,-200,-200,-200,-200
1526448786666,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-92,-200,-98,-200,-200,-200
1526448786764,-200,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-94,-200,-97
1526448786865,-82,-200,-83,-200,-200,-63,-200,-200,-86,-200,-200,-93,-200,-200,-200,-84,-200
1526448790965,-200,-200,-82,-98,-200,-63,-90,-200,-86,-200,-72,-200,-200,-200,-200,-84,-200
1526448791058,-200,-200,-82,-200,-200,-63,-90,-200,-86,-200,-72,-200,-200,-200,-200,-84,-200
1526448791179,-82,-87,-82,-200,-85,-63,-89,-200,-86,-200,-73,-200,-200,-200,-200,-84,-200
1526448795892,-77,-200,-200,-89,-200,-200,-200,-200,-200,-62,-200,-200,-200,-200,-200,-200,-96
1526448795992,-77,-84,-200,-89,-85,-200,-89,-200,-200,-62,-64,-200,-200,-200,-200,-200,-99
1526448796129,-77,-83,-84,-89,-200,-200,-200,-200,-200,-62,-64,-200,-200,-200,-200,-200,-200
1526448796235,-200,-200,-83,-200,-200,-200,-90,-200,-91,-200,-64,-200,-200,-88,-200,-200,-200
1526448800887,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-68,-200,-91,-88,-200,-200,-90
1526448800989,-75,-200,-83,-92,-85,-62,-200,-200,-200,-200,-68,-92,-200,-88,-200,-82,-91
1526448801094,-76,-200,-83,-92,-85,-62,-200,-200,-200,-200,-68,-89,-200,-88,-200,-82,-200
1526448801194,-75,-85,-83,-200,-200,-200,-200,-200,-200,-200,-68,-92,-200,-200,-200,-82,-90
1526448805868,-82,-200,-83,-200,-200,-62,-200,-200,-85,-68,-74,-200,-200,-200,-200,-86,-200
1526448805982,-82,-200,-200,-200,-200,-200,-200,-200,-85,-69,-73,-200,-200,-200,-200,-84,-200
1526448806196,-82,-200,-200,-200,-200,-63,-200,-200,-200,-68,-73,-200,-200,-200,-200,-200,-200
1526448815961,-82,-200,-200,-200,-200,-63,-200,-200,-200,-69,-74,-200,-200,-200,-200,-85,-99
1526448816067,-81,-200,-200,-98,-200,-200,-200,-200,-200,-69,-74,-200,-200,-200,-200,-85,-200
1526448816176,-200,-200,-200,-200,-200,-63,-90,-200,-200,-69,-74,-200,-200,-200,-200,-200,-200
1526448816296,-77,-200,-84,-200,-85,-63,-87,-200,-200,-62,-200,-200,-200,-200,-200,-200,-200
