,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz
,74:da:da:98:85:4c,74:da:da:c1:3d:2d,0c:73:eb:d0:11:c0,0c:73:eb:d0:13:98,74:da:da:98:74:74,0c:73:eb:d0:13:b8,74:da:da:98:74:80,0c:73:eb:d0:13:90,74:da:da:98:85:4d,74:da:da:98:85:1c,74:da:da:98:74:81,74:da:da:c1:3d:2e,0c:73:eb:d0:11:c8,0c:73:eb:d0:7e:d0,74:da:da:98:74:75,0c:73:eb:d0:13:b0,74:da:da:98:85:60,74:da:da:98:74:34,74:da:da:c1:56:a1,0c:73:eb:d0:76:18,74:da:da:c1:03:2d,74:da:da:98:85:00,74:da:da:c1:03:1d,74:da:da:c1:3b:29,74:da:da:c1:3c:11,74:da:da:98:66:cc,0c:73:eb:d0:13:c8,74:da:da:c1:3c:45,0c:73:eb:d0:7f:08,74:da:da:c0:d8:3d,0c:73:eb:d0:11:d8,74:da:da:c1:02:91,0c:73:eb:d0:19:80,74:da:da:c1:02:8d,74:da:da:98:90:2c,74:da:da:c1:3d:0d,74:da:da:c1:3b:19,0c:73:eb:d0:19:88,0c:73:eb:d0:0e:a8,74:da:da:c0:f3:05,74:da:da:c1:3b:79,0c:73:eb:d0:76:50,74:da:da:c1:3c:51,74:da:da:98:91:d4,74:da:da:c0:d7:c5,74:da:da:c0:d6:f5,74:da:da:c1:03:21,74:da:da:c0:f6:15,0c:73:eb:d0:7f:00,74:da:da:98:85:1d
1526464524244,-49,-53,-56,-57,-61,-62,-63,-64,-65,-73,-76,-76,-80,-80,-83,-83,-83,-84,-86,-86,-86,-86,-87,-87,-88,-88,-88,-89,-89,-91,-91,-91,-92,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464527272,-63,-39,-77,-63,-57,-68,-72,-73,-78,-77,-78,-70,-81,-80,-83,-83,-90,-84,-86,-86,-86,-86,-82,-81,-91,-81,-88,-89,-89,-84,-91,-91,-89,-93,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464530289,-63,-41,-77,-59,-59,-72,-69,-84,-77,-77,-81,-73,-83,-86,-200,-86,-90,-84,-200,-200,-200,-200,-83,-87,-91,-81,-200,-200,-91,-85,-200,-200,-89,-200,-89,-90,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464533295,-62,-41,-79,-53,-77,-69,-68,-80,-77,-82,-81,-69,-82,-86,-200,-89,-90,-86,-200,-94,-200,-200,-80,-88,-91,-86,-200,-200,-91,-83,-200,-98,-89,-200,-89,-90,-87,-92,-91,-91,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526464536302,-66,-43,-78,-55,-77,-67,-73,-82,-77,-79,-81,-71,-91,-81,-200,-87,-90,-85,-200,-89,-91,-200,-82,-85,-91,-86,-200,-200,-91,-85,-200,-89,-92,-200,-91,-90,-87,-92,-90,-91,-91,-92,-89,-89,-200,-200,-200,-200,-200,-200
1526464539310,-61,-43,-82,-60,-58,-77,-67,-79,-80,-82,-75,-67,-81,-81,-200,-87,-200,-78,-200,-89,-91,-200,-86,-89,-200,-85,-200,-200,-91,-83,-200,-90,-89,-200,-90,-200,-89,-91,-91,-91,-91,-92,-89,-89,-89,-91,-92,-200,-200,-200
1526464542319,-61,-43,-79,-59,-61,-72,-66,-80,-77,-81,-81,-65,-81,-81,-82,-88,-200,-84,-200,-89,-91,-200,-78,-87,-91,-83,-200,-200,-92,-81,-200,-89,-89,-200,-87,-200,-86,-91,-89,-200,-200,-200,-89,-89,-89,-91,-92,-200,-200,-200
1526464545340,-63,-45,-82,-62,-59,-74,-85,-76,-77,-79,-79,-65,-86,-200,-82,-87,-92,-84,-200,-89,-90,-200,-83,-90,-91,-88,-200,-200,-92,-85,-200,-89,-89,-200,-90,-200,-86,-91,-89,-200,-200,-200,-200,-90,-89,-91,-92,-200,-200,-200
1526464548364,-69,-48,-86,-61,-57,-72,-76,-73,-77,-80,-81,-68,-89,-79,-81,-87,-92,-84,-200,-200,-90,-200,-83,-82,-91,-87,-200,-200,-92,-84,-200,-89,-90,-200,-90,-200,-86,-91,-89,-91,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200
