,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018
,74:da:da:98:91:d4,74:da:da:c0:d7:b9,0c:73:eb:d0:7f:10,74:da:da:c0:f3:01,0c:73:eb:d0:7e:f8,74:da:da:c1:56:a1,0c:73:eb:d0:11:e0,0c:73:eb:d0:19:88,0c:73:eb:d0:7c:38,74:da:da:c0:d7:19,74:da:da:98:85:00,74:da:da:c0:f4:69,74:da:da:98:92:14,74:da:da:c1:48:bd,74:da:da:c1:3a:81,0c:73:eb:d0:7f:18,0c:73:eb:d0:7c:08,74:da:da:c0:e0:69,74:da:da:c1:3c:51,0c:73:eb:d0:7f:08,74:da:da:c0:d7:c5,0c:73:eb:d0:7e:e0,0c:73:eb:d0:13:d0,0c:73:eb:d0:7c:00,74:da:da:98:85:60,74:da:da:c0:f6:15,0c:73:eb:d0:13:a8,c0:61:18:93:3e:54,74:da:da:c0:d8:3d,0c:73:eb:d0:76:38,74:da:da:c1:56:ed,74:da:da:c0:e2:d9,0c:73:eb:d0:11:f8,74:da:da:98:ea:5c,0c:73:eb:d0:7e:e8,74:da:da:c0:d7:0d,74:da:da:c1:3a:dd,74:da:da:c1:3b:19,74:da:da:c1:3b:69,74:da:da:c1:3b:cd,74:da:da:98:85:4c,0c:73:eb:d0:11:c0,0c:73:eb:d0:19:b8,0c:73:eb:d0:7c:28,0c:73:eb:d0:13:b8,74:da:da:c1:3c:f5,74:da:da:c1:3b:85,74:da:da:98:ea:50,74:da:da:c1:6b:4d,0c:73:eb:d0:76:30,0c:73:eb:d0:7a:68,0c:73:eb:d0:19:98,0c:73:eb:d0:76:50,0c:73:eb:d0:11:f0
1526465167200,-48,-48,-51,-52,-54,-56,-57,-61,-63,-64,-66,-66,-66,-67,-67,-67,-68,-68,-69,-70,-70,-70,-72,-74,-75,-76,-77,-77,-77,-78,-78,-80,-80,-82,-82,-83,-83,-84,-85,-85,-85,-86,-86,-87,-87,-87,-91,-200,-200,-200,-200,-200,-200,-200
1526465170245,-50,-47,-52,-56,-44,-62,-58,-72,-64,-69,-57,-66,-63,-67,-67,-61,-68,-68,-69,-69,-70,-67,-72,-74,-90,-76,-62,-77,-77,-76,-74,-72,-81,-82,-82,-83,-83,-86,-85,-85,-85,-86,-86,-87,-83,-200,-200,-88,-91,-200,-200,-200,-200,-200
1526465173274,-50,-47,-52,-56,-44,-62,-58,-72,-64,-69,-57,-66,-63,-67,-67,-61,-68,-68,-69,-69,-70,-67,-72,-74,-90,-76,-62,-77,-77,-76,-74,-72,-81,-82,-82,-83,-83,-86,-85,-85,-85,-86,-86,-87,-83,-200,-200,-88,-91,-200,-200,-200,-200,-200
1526465176298,-50,-47,-52,-56,-44,-62,-58,-72,-64,-69,-57,-66,-63,-67,-67,-61,-68,-68,-69,-69,-70,-67,-72,-74,-90,-76,-62,-77,-77,-76,-74,-72,-81,-82,-82,-83,-83,-86,-85,-85,-85,-86,-86,-87,-83,-200,-200,-88,-91,-200,-200,-200,-200,-200
1526465179337,-46,-46,-54,-61,-50,-61,-57,-64,-66,-71,-60,-63,-66,-70,-200,-66,-71,-200,-68,-65,-69,-68,-78,-69,-90,-200,-62,-78,-77,-72,-74,-71,-81,-83,-82,-83,-200,-89,-85,-200,-200,-200,-200,-84,-83,-200,-200,-85,-91,-85,-200,-200,-200,-200
1526465182382,-44,-44,-51,-58,-45,-57,-65,-64,-66,-71,-58,-63,-66,-70,-200,-70,-73,-200,-67,-66,-69,-69,-78,-69,-90,-91,-62,-78,-77,-72,-80,-71,-81,-83,-79,-86,-200,-89,-86,-200,-200,-200,-200,-84,-88,-75,-200,-85,-91,-85,-79,-200,-200,-200
1526465185415,-44,-44,-51,-58,-45,-57,-65,-64,-66,-71,-58,-63,-66,-70,-200,-70,-73,-200,-67,-66,-69,-69,-78,-69,-90,-91,-62,-78,-77,-72,-80,-71,-81,-83,-79,-86,-200,-89,-86,-200,-200,-200,-200,-84,-88,-75,-200,-85,-91,-85,-79,-200,-200,-200
1526465188464,-44,-44,-51,-58,-45,-57,-65,-64,-66,-71,-58,-63,-66,-70,-200,-70,-73,-200,-67,-66,-69,-69,-78,-69,-90,-91,-62,-78,-77,-72,-80,-71,-81,-83,-79,-86,-200,-89,-86,-200,-200,-200,-200,-84,-88,-75,-200,-85,-91,-85,-79,-200,-200,-200
1526465191493,-47,-48,-63,-60,-45,-60,-56,-64,-65,-71,-64,-65,-200,-71,-78,-69,-73,-200,-72,-70,-67,-70,-76,-70,-79,-85,-64,-200,-78,-75,-78,-70,-82,-83,-79,-83,-200,-200,-86,-200,-200,-200,-200,-83,-88,-77,-200,-85,-200,-86,-78,-200,-200,-200
1526465194539,-47,-48,-56,-63,-45,-60,-56,-64,-65,-71,-56,-64,-200,-71,-78,-68,-71,-200,-69,-65,-67,-69,-76,-72,-74,-85,-63,-200,-79,-75,-78,-70,-86,-83,-79,-83,-200,-200,-86,-200,-200,-90,-200,-83,-88,-77,-200,-81,-200,-86,-78,-200,-200,-200
1526465197582,-47,-48,-56,-63,-45,-60,-56,-64,-65,-71,-56,-64,-200,-71,-78,-68,-71,-200,-69,-65,-67,-69,-76,-72,-74,-85,-63,-200,-79,-75,-78,-70,-86,-83,-79,-83,-200,-200,-86,-200,-200,-90,-200,-83,-88,-77,-200,-81,-200,-86,-78,-200,-200,-200
1526465200615,-47,-48,-56,-63,-45,-60,-56,-64,-65,-71,-56,-64,-200,-71,-78,-68,-71,-200,-69,-65,-67,-69,-76,-72,-74,-85,-63,-200,-79,-75,-78,-70,-86,-83,-79,-83,-200,-200,-86,-200,-200,-90,-200,-83,-88,-77,-200,-81,-200,-86,-78,-200,-200,-200
