,vlucci.com AC-V1.4.0.0,null,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,0114.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:EF,BC:6A:29:BE:2F:12,7C:66:9D:7B:2B:BA,78:A5:04:41:E7:93,BC:6A:29:BE:31:61,7C:66:9D:7B:2B:CB,7C:66:9D:7B:2B:E4,7C:66:9D:7B:46:8C,7C:66:9D:7B:47:3D,78:A5:04:41:EB:DD,78:A5:04:41:E7:A2,F4:B8:5E:AA:79:4E,78:A5:04:41:EE:1D
1526442241075,-88,-61,-63,-88,-64,-88,-90,-200,-200,-200,-200,-200,-200
1526442241197,-88,-66,-64,-89,-65,-200,-200,-82,-200,-200,-200,-200,-200
1526442241272,-88,-61,-63,-88,-65,-200,-200,-83,-77,-200,-200,-200,-200
1526442241387,-200,-66,-63,-89,-200,-200,-200,-82,-200,-86,-200,-200,-200
1526442246002,-200,-69,-60,-200,-70,-200,-200,-200,-76,-88,-84,-200,-200
1526442246114,-200,-68,-59,-200,-70,-200,-200,-81,-77,-200,-85,-200,-200
1526442246219,-200,-200,-59,-200,-69,-200,-200,-81,-78,-200,-86,-90,-200
1526442246324,-200,-67,-59,-200,-68,-92,-200,-200,-78,-200,-86,-90,-200
1526442250978,-200,-67,-62,-200,-71,-85,-200,-80,-80,-200,-83,-200,-200
1526442251081,-200,-200,-200,-200,-72,-86,-200,-80,-80,-200,-83,-200,-200
1526442251216,-92,-68,-200,-200,-72,-86,-94,-79,-80,-200,-83,-200,-200
1526442251317,-200,-66,-62,-200,-71,-85,-200,-79,-80,-200,-83,-200,-200
1526442255994,-200,-63,-66,-89,-68,-85,-200,-200,-79,-200,-83,-200,-200
1526442256083,-200,-68,-66,-200,-73,-200,-91,-72,-75,-200,-200,-200,-200
1526442256187,-200,-68,-66,-200,-73,-200,-92,-74,-75,-200,-200,-200,-200
1526442256290,-200,-200,-66,-200,-74,-200,-92,-74,-75,-200,-200,-200,-200
1526442256406,-200,-66,-59,-200,-74,-200,-200,-75,-75,-200,-200,-200,-200
1526442261098,-200,-66,-200,-200,-63,-200,-200,-76,-92,-200,-200,-200,-200
1526442261211,-200,-66,-59,-200,-66,-200,-200,-75,-91,-200,-200,-200,-200
1526442261301,-200,-65,-59,-200,-65,-87,-200,-76,-92,-89,-200,-200,-200
1526442265987,-200,-74,-62,-200,-73,-200,-200,-200,-81,-200,-86,-200,-200
1526442266193,-200,-75,-61,-200,-72,-89,-200,-88,-82,-200,-200,-200,-200
1526442266287,-200,-75,-61,-200,-73,-88,-200,-88,-82,-200,-86,-200,-200
1526442266395,-200,-75,-200,-200,-200,-200,-200,-74,-81,-200,-200,-200,-200
1526442271026,-200,-64,-200,-200,-74,-200,-200,-74,-76,-200,-83,-200,-200
1526442271127,-200,-200,-68,-89,-73,-200,-200,-74,-75,-200,-200,-200,-200
1526442271299,-200,-200,-67,-89,-73,-200,-200,-200,-74,-200,-84,-200,-200
