,vlucci.com AC-V1.4.0.0,null,null,null,vlucci.com AC-V1.4.0.0,null,0113.0012-vlucci.com A1.4.0.1,0114.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EE:15,7C:66:9D:7B:46:8C,BC:6A:29:BE:2F:12,BC:6A:29:BE:31:61,78:A5:04:41:EE:1D,7C:66:9D:7B:47:3D,7C:66:9D:7B:2B:BA,7C:66:9D:7B:2B:CB,78:A5:04:41:E5:70,78:A5:04:41:E7:A2,78:A5:04:41:EB:DD
1526442091090,-86,-80,-69,-83,-69,-82,-68,-200,-200,-200,-200
1526442091209,-200,-79,-68,-83,-69,-81,-200,-85,-89,-200,-200
1526442091337,-200,-200,-200,-82,-69,-81,-68,-85,-200,-200,-200
1526442095977,-87,-76,-67,-76,-200,-72,-88,-84,-200,-200,-200
1526442096068,-200,-76,-66,-72,-73,-73,-86,-200,-200,-200,-200
1526442096183,-200,-76,-66,-72,-200,-72,-85,-82,-200,-200,-200
1526442096286,-88,-77,-66,-72,-74,-72,-85,-200,-200,-200,-200
1526442096415,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200
1526442101042,-86,-77,-69,-82,-70,-76,-74,-200,-200,-200,-200
1526442101134,-86,-77,-69,-81,-69,-76,-69,-200,-89,-200,-200
1526442101234,-200,-77,-200,-81,-69,-82,-200,-80,-200,-200,-200
1526442101350,-200,-77,-200,-82,-69,-200,-200,-200,-200,-200,-200
1526442105999,-200,-72,-68,-72,-69,-72,-200,-84,-89,-91,-200
1526442106151,-83,-71,-68,-72,-200,-74,-200,-200,-200,-90,-200
1526442106240,-200,-70,-63,-71,-69,-72,-200,-200,-200,-200,-200
1526442106402,-200,-72,-200,-72,-200,-72,-78,-200,-200,-89,-200
1526442111005,-88,-79,-71,-74,-73,-82,-85,-80,-200,-200,-200
1526442111108,-89,-78,-70,-75,-73,-82,-86,-79,-200,-200,-200
1526442111204,-200,-200,-200,-74,-72,-81,-200,-200,-200,-200,-200
1526442111304,-88,-80,-70,-76,-72,-82,-200,-84,-200,-200,-200
1526442111420,-88,-70,-200,-76,-200,-75,-200,-79,-200,-200,-200
1526442116061,-200,-73,-200,-76,-200,-77,-200,-200,-92,-200,-200
1526442116269,-200,-72,-69,-77,-200,-200,-200,-200,-200,-200,-200
1526442116410,-82,-72,-71,-200,-75,-76,-81,-200,-200,-200,-200
1526442116530,-200,-200,-69,-76,-200,-76,-83,-200,-200,-200,-200
1526442116637,-83,-200,-68,-76,-200,-76,-200,-200,-200,-200,-200
1526442120980,-95,-78,-71,-71,-200,-74,-80,-79,-200,-92,-92
1526442121086,-96,-200,-71,-71,-200,-74,-79,-79,-200,-200,-200
1526442121186,-89,-200,-71,-72,-74,-200,-79,-79,-200,-200,-200
1526442121281,-88,-78,-71,-200,-200,-73,-79,-80,-200,-200,-200
1526442121380,-88,-200,-69,-84,-200,-86,-79,-82,-92,-200,-200
1526442126086,-86,-81,-69,-84,-70,-81,-200,-200,-90,-200,-200
1526442126198,-200,-79,-69,-85,-69,-86,-200,-82,-200,-200,-200
1526442126304,-85,-80,-69,-77,-69,-84,-74,-200,-200,-200,-200
1526442131012,-200,-72,-64,-200,-77,-78,-87,-77,-200,-200,-200
1526442131114,-83,-72,-69,-77,-77,-79,-88,-200,-200,-200,-200
1526442131219,-200,-72,-65,-76,-76,-74,-85,-200,-200,-200,-200
1526442131328,-82,-72,-64,-77,-76,-200,-200,-200,-200,-200,-200
1526442135980,-200,-78,-200,-71,-74,-73,-200,-79,-200,-200,-200
1526442136139,-88,-78,-70,-71,-200,-74,-80,-79,-200,-200,-200
1526442136242,-200,-78,-72,-72,-200,-200,-80,-79,-200,-200,-200
1526442136352,-85,-200,-72,-71,-74,-83,-80,-200,-200,-200,-200
1526442141036,-200,-81,-70,-86,-200,-84,-200,-200,-91,-200,-200
1526442141145,-200,-200,-70,-85,-70,-84,-75,-84,-200,-200,-200
1526442141272,-86,-75,-70,-85,-200,-84,-75,-200,-200,-200,-200
1526442141355,-200,-200,-69,-81,-200,-79,-85,-77,-200,-200,-200
1526442146025,-83,-200,-66,-78,-75,-200,-84,-77,-90,-200,-200
1526442146137,-83,-200,-70,-200,-75,-74,-85,-200,-200,-200,-200
1526442146258,-83,-68,-70,-77,-75,-79,-84,-200,-90,-200,-200
1526442146350,-82,-67,-70,-200,-74,-200,-200,-200,-200,-200,-200
1526442150987,-88,-200,-200,-72,-74,-75,-83,-80,-200,-200,-200
1526442151084,-88,-200,-73,-200,-74,-77,-84,-80,-200,-200,-200
1526442151187,-88,-78,-73,-71,-74,-200,-200,-200,-200,-92,-200
1526442151287,-200,-200,-200,-200,-75,-200,-200,-80,-200,-200,-200
1526442151397,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200
1526442156000,-200,-200,-200,-90,-74,-200,-200,-81,-91,-200,-200
1526442156098,-200,-83,-71,-86,-69,-87,-200,-200,-200,-200,-200
1526442156201,-200,-200,-200,-85,-69,-200,-200,-200,-200,-200,-200
