,0114.0012-vlucci.com A1.4.0.1,null,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:2B:CB,7C:66:9D:7B:47:3D,7C:66:9D:7B:2B:BA,78:A5:04:41:E7:A2,BC:6A:29:BE:2F:12,78:A5:04:41:E7:EF,BC:6A:29:BE:31:61,7C:66:9D:7B:46:8C,78:A5:04:41:EE:1D,78:A5:04:41:EB:DD,78:A5:04:41:E7:D5,78:A5:04:41:EE:15,78:A5:04:41:EB:98
1526442876087,-62,-66,-80,-88,-61,-200,-200,-200,-200,-200,-200,-200,-200
1526442876199,-63,-66,-80,-88,-61,-90,-70,-84,-200,-200,-200,-200,-200
1526442876303,-63,-66,-80,-89,-67,-200,-71,-200,-89,-200,-200,-200,-200
1526442876416,-63,-66,-80,-200,-69,-200,-75,-72,-88,-89,-200,-200,-200
1526442881074,-70,-66,-80,-200,-68,-200,-75,-73,-200,-88,-200,-200,-200
1526442881180,-200,-62,-80,-200,-68,-200,-76,-73,-200,-88,-200,-200,-200
1526442881280,-200,-66,-200,-200,-69,-200,-76,-73,-200,-88,-200,-200,-200
1526442881380,-83,-74,-74,-86,-69,-200,-76,-73,-200,-200,-200,-200,-200
1526442886004,-82,-73,-74,-88,-200,-200,-81,-74,-86,-200,-200,-200,-200
1526442886111,-82,-72,-74,-88,-80,-200,-80,-75,-86,-200,-200,-200,-200
1526442886224,-80,-72,-74,-89,-81,-200,-80,-200,-85,-200,-200,-200,-200
1526442886322,-79,-200,-200,-87,-80,-200,-80,-200,-85,-200,-88,-200,-200
1526442890991,-66,-72,-200,-200,-68,-200,-71,-92,-89,-92,-90,-200,-200
1526442891096,-64,-73,-200,-89,-68,-200,-71,-84,-92,-200,-200,-200,-200
1526442891201,-66,-75,-82,-90,-70,-200,-70,-200,-200,-200,-90,-200,-200
1526442891307,-200,-75,-80,-200,-70,-200,-200,-79,-89,-200,-200,-200,-200
1526442896003,-82,-67,-78,-200,-69,-200,-200,-70,-200,-200,-200,-200,-200
1526442896096,-82,-200,-78,-200,-200,-200,-200,-75,-85,-200,-200,-90,-200
1526442896198,-200,-67,-78,-200,-68,-200,-200,-75,-86,-200,-88,-200,-200
1526442896306,-83,-200,-79,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200
1526442896417,-200,-200,-200,-200,-90,-200,-200,-76,-200,-200,-200,-200,-200
1526442901031,-200,-200,-200,-200,-99,-200,-85,-82,-200,-200,-200,-200,-200
1526442901181,-200,-77,-200,-200,-93,-200,-200,-83,-200,-200,-200,-200,-200
1526442901303,-81,-76,-74,-89,-91,-90,-75,-200,-81,-200,-200,-200,-200
1526442901416,-81,-77,-73,-88,-200,-200,-75,-82,-81,-200,-200,-200,-200
1526442901527,-200,-78,-200,-200,-200,-200,-76,-200,-81,-200,-200,-200,-200
1526442905975,-82,-68,-200,-200,-200,-200,-82,-70,-200,-200,-200,-89,-200
1526442906067,-200,-64,-77,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200
1526442906177,-82,-68,-78,-200,-68,-89,-200,-72,-200,-200,-200,-200,-200
1526442906296,-82,-68,-200,-200,-200,-200,-83,-72,-200,-200,-88,-88,-200
1526442906439,-82,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200
1526442910983,-82,-77,-73,-200,-89,-90,-75,-81,-81,-200,-200,-200,-200
1526442911080,-82,-77,-200,-200,-88,-90,-200,-81,-81,-200,-200,-200,-200
1526442911188,-82,-200,-200,-200,-88,-200,-76,-81,-81,-200,-200,-200,-200
1526442911300,-83,-79,-73,-88,-88,-90,-76,-80,-81,-200,-200,-200,-200
1526442911435,-83,-77,-200,-200,-200,-200,-72,-72,-200,-200,-200,-200,-200
1526442916061,-82,-69,-90,-200,-72,-200,-200,-72,-200,-200,-89,-91,-200
1526442916207,-82,-69,-200,-200,-200,-200,-72,-72,-89,-200,-200,-200,-200
1526442916310,-83,-200,-200,-200,-65,-200,-72,-200,-200,-200,-200,-200,-200
1526442916412,-82,-69,-200,-90,-65,-200,-72,-70,-200,-200,-87,-88,-200
1526442921041,-200,-69,-80,-200,-67,-200,-200,-71,-200,-200,-87,-88,-200
1526442921197,-80,-68,-200,-200,-200,-200,-80,-71,-200,-200,-200,-200,-200
1526442921343,-81,-69,-200,-200,-67,-200,-200,-72,-200,-200,-200,-87,-200
1526442925978,-77,-75,-79,-91,-83,-200,-76,-200,-200,-200,-200,-200,-200
1526442926070,-79,-76,-80,-200,-85,-200,-75,-200,-200,-200,-200,-200,-200
1526442926171,-81,-76,-80,-200,-89,-200,-75,-88,-200,-200,-200,-200,-200
1526442926301,-77,-77,-82,-200,-88,-200,-76,-80,-200,-200,-200,-200,-200
1526442926400,-82,-68,-81,-200,-72,-200,-73,-74,-90,-200,-88,-200,-200
1526442931087,-200,-200,-88,-200,-72,-200,-72,-74,-89,-200,-88,-200,-200
1526442931218,-81,-68,-88,-200,-72,-200,-72,-74,-87,-200,-88,-200,-89
1526442931325,-81,-68,-86,-200,-71,-200,-72,-74,-200,-200,-85,-200,-200
1526442936026,-81,-61,-200,-200,-74,-200,-200,-78,-200,-200,-200,-200,-200
1526442936140,-81,-61,-82,-200,-74,-200,-79,-79,-200,-200,-200,-200,-200
1526442936255,-81,-200,-82,-200,-73,-200,-79,-200,-200,-200,-88,-200,-200
1526442936360,-200,-200,-200,-200,-73,-200,-75,-78,-200,-200,-87,-200,-200
1526442940992,-200,-200,-77,-200,-75,-200,-76,-200,-200,-200,-200,-200,-200
