,0114.0012-vlucci.com A1.4.0.1,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,011b.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1
,7C:66:9D:7B:2B:CB,7C:66:9D:7B:2B:BA,78:A5:04:41:EE:15,78:A5:04:41:EE:1D,7C:66:9D:7B:47:3D,7C:66:9D:7B:46:8C,BC:6A:29:BE:2F:12,78:A5:04:41:E7:A2,78:A5:04:41:E7:EF,BC:6A:29:BE:31:61,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2B:E4
1526442321109,-79,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442321228,-78,-78,-90,-84,-72,-77,-61,-200,-200,-200,-200,-200
1526442321320,-79,-78,-200,-83,-72,-200,-200,-84,-200,-200,-200,-200
1526442321412,-80,-78,-90,-200,-88,-81,-66,-200,-92,-70,-200,-200
1526442326039,-200,-82,-200,-200,-86,-82,-62,-200,-200,-200,-200,-200
1526442326144,-200,-82,-200,-200,-86,-82,-62,-200,-200,-200,-200,-200
1526442326256,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442326363,-200,-83,-200,-200,-200,-82,-62,-200,-200,-200,-92,-200
1526442330984,-200,-69,-200,-200,-77,-73,-64,-200,-200,-59,-200,-88
1526442331086,-200,-69,-200,-200,-77,-73,-70,-88,-200,-200,-92,-200
1526442331204,-200,-200,-200,-90,-77,-73,-70,-88,-200,-200,-200,-200
1526442331311,-200,-200,-200,-200,-200,-73,-70,-88,-200,-59,-200,-200
1526442331441,-200,-200,-200,-200,-77,-73,-70,-200,-200,-68,-200,-200
1526442336000,-88,-200,-200,-84,-83,-77,-60,-200,-200,-69,-200,-200
1526442336100,-87,-200,-200,-200,-83,-74,-60,-200,-200,-68,-200,-200
1526442336205,-200,-200,-200,-200,-82,-79,-60,-200,-200,-200,-200,-200
1526442336323,-86,-200,-90,-200,-77,-200,-61,-200,-200,-69,-200,-91
1526442341011,-86,-85,-200,-89,-85,-200,-68,-200,-200,-70,-200,-200
1526442341128,-200,-84,-200,-200,-85,-84,-61,-200,-200,-72,-200,-200
1526442341239,-88,-200,-91,-200,-84,-200,-62,-200,-200,-200,-200,-200
1526442341339,-88,-86,-200,-200,-85,-83,-62,-200,-200,-72,-92,-200
1526442345985,-82,-68,-200,-87,-81,-77,-200,-90,-200,-60,-200,-89
1526442346102,-200,-200,-200,-86,-81,-200,-66,-89,-200,-60,-200,-89
1526442346229,-83,-70,-200,-200,-80,-77,-66,-200,-200,-60,-200,-200
1526442346335,-200,-200,-200,-200,-80,-76,-66,-200,-200,-59,-200,-200
1526442350985,-200,-200,-200,-82,-83,-82,-200,-90,-200,-200,-200,-200
1526442351109,-200,-200,-200,-82,-84,-82,-61,-90,-200,-65,-200,-200
1526442351201,-200,-76,-200,-82,-84,-82,-60,-90,-200,-69,-200,-200
1526442351312,-200,-76,-200,-83,-78,-82,-61,-90,-200,-69,-200,-200
1526442351411,-84,-200,-200,-200,-200,-200,-61,-200,-200,-74,-200,-200
1526442355998,-200,-200,-200,-200,-200,-86,-69,-200,-200,-75,-200,-200
1526442356142,-200,-200,-200,-200,-82,-85,-71,-200,-200,-74,-200,-200
1526442356306,-200,-200,-93,-200,-200,-200,-63,-200,-200,-84,-200,-200
1526442356411,-200,-82,-91,-200,-80,-85,-60,-200,-200,-74,-90,-200
1526442356507,-85,-82,-200,-85,-200,-85,-61,-200,-200,-74,-89,-200
1526442356636,-82,-82,-200,-87,-200,-77,-200,-91,-200,-200,-200,-88
1526442361053,-200,-70,-200,-200,-80,-76,-68,-90,-200,-60,-200,-200
1526442361172,-82,-200,-200,-200,-80,-70,-68,-200,-200,-60,-200,-89
1526442361272,-82,-69,-200,-88,-80,-70,-68,-200,-200,-66,-200,-200
1526442361379,-200,-200,-200,-87,-200,-76,-68,-200,-200,-200,-200,-200
1526442366026,-200,-200,-200,-200,-200,-200,-64,-200,-200,-70,-200,-200
1526442366131,-200,-76,-200,-200,-200,-80,-64,-200,-200,-78,-200,-200
1526442366226,-200,-78,-200,-200,-81,-200,-64,-200,-200,-69,-200,-200
1526442366334,-200,-200,-200,-200,-200,-200,-65,-200,-200,-68,-200,-200
1526442366455,-200,-200,-200,-200,-81,-79,-60,-200,-200,-200,-200,-200
1526442366549,-87,-200,-200,-200,-81,-79,-65,-200,-200,-68,-200,-200
1526442366727,-200,-89,-200,-200,-81,-82,-200,-200,-200,-200,-200,-200
1526442371028,-200,-200,-200,-200,-93,-200,-62,-200,-200,-73,-200,-200
1526442371128,-90,-88,-200,-200,-93,-82,-62,-200,-200,-70,-200,-200
1526442371242,-200,-200,-200,-200,-93,-81,-62,-200,-200,-69,-200,-200
1526442371343,-200,-200,-200,-87,-92,-81,-62,-200,-200,-200,-92,-88
1526442376042,-200,-200,-200,-200,-200,-76,-68,-88,-200,-200,-200,-200
1526442376171,-200,-200,-200,-200,-200,-69,-62,-200,-200,-200,-200,-200
1526442376278,-80,-200,-200,-200,-74,-200,-69,-200,-200,-200,-200,-88
1526442376375,-200,-69,-200,-87,-200,-75,-68,-88,-200,-60,-200,-89
1526442380982,-83,-200,-200,-200,-83,-76,-60,-88,-200,-70,-200,-90
1526442381091,-200,-200,-200,-84,-82,-76,-61,-200,-200,-69,-200,-88
1526442381196,-200,-200,-200,-84,-82,-75,-60,-200,-200,-67,-200,-200
1526442381293,-200,-200,-200,-200,-82,-200,-61,-200,-200,-68,-200,-200
1526442381393,-84,-200,-200,-84,-200,-75,-61,-89,-200,-200,-200,-200
