,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:2E:21,7C:66:9D:7B:47:FC,78:A5:04:41:E9:C8,78:A5:04:41:E5:59,78:A5:04:41:E9:F2,78:A5:04:41:E7:A7,78:A5:04:41:E9:F3,78:A5:04:41:EB:AA,78:A5:04:41:E9:8E,78:A5:04:41:E9:BB,78:A5:04:41:E9:A7,78:A5:04:41:EB:D1,78:A5:04:41:EB:B5,78:A5:04:41:EB:FE,BC:6A:29:BE:31:7F,78:A5:04:41:EB:94,78:A5:04:41:E9:BE,78:A5:04:41:EB:E8,78:A5:04:41:E9:82
1526465771198,-88,-91,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465776066,-90,-99,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465776168,-90,-200,-84,-200,-102,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465776366,-89,-86,-200,-200,-200,-94,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465781159,-91,-90,-200,-200,-200,-200,-200,-90,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465781551,-92,-90,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465781771,-95,-100,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465782072,-96,-98,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526465786131,-90,-93,-200,-200,-200,-200,-88,-200,-82,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526465786209,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526465786343,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526465786449,-88,-93,-200,-200,-200,-200,-200,-200,-91,-200,-200,-88,-100,-93,-200,-200,-200,-200,-200
1526465791223,-88,-92,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465791275,-89,-93,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465791384,-200,-94,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
