,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:FB,78:A5:04:41:EB:AA,78:A5:04:41:EB:B5,78:A5:04:41:EE:0A,78:A5:04:41:E9:C8,78:A5:04:41:EB:D4,78:A5:04:41:E9:A7,78:A5:04:41:E7:A7,7C:66:9D:7B:2E:21,78:A5:04:41:E9:F2
1526465991398,-84,-83,-89,-90,-200,-200,-200,-200,-200,-200
1526465991547,-85,-83,-88,-90,-200,-200,-200,-200,-200,-200
1526465991656,-200,-200,-89,-200,-86,-85,-200,-200,-200,-200
1526465996063,-83,-200,-88,-200,-200,-85,-84,-88,-200,-200
1526465996223,-200,-200,-200,-200,-85,-85,-84,-200,-200,-200
1526465996329,-200,-84,-200,-200,-85,-200,-84,-88,-200,-200
1526465996473,-200,-200,-200,-200,-85,-200,-82,-200,-200,-200
1526466001085,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526466001170,-85,-200,-92,-200,-85,-89,-82,-87,-200,-200
1526466001282,-86,-200,-200,-200,-86,-88,-82,-200,-200,-200
1526466001389,-200,-200,-90,-200,-86,-200,-82,-87,-200,-200
1526466001497,-86,-88,-200,-89,-86,-200,-82,-200,-100,-88
1526466006275,-89,-200,-200,-89,-200,-91,-88,-200,-200,-200
1526466006679,-200,-88,-200,-89,-200,-200,-86,-200,-200,-86
1526466006851,-200,-200,-200,-200,-200,-89,-85,-200,-200,-200
1526466011038,-85,-83,-200,-87,-200,-85,-84,-88,-200,-200
1526466011209,-85,-200,-200,-200,-200,-200,-200,-89,-200,-200
1526466011311,-85,-200,-200,-87,-87,-200,-200,-200,-200,-200
1526466011519,-200,-79,-89,-87,-88,-200,-83,-89,-200,-200
1526466016355,-200,-85,-89,-92,-200,-92,-200,-200,-200,-200
1526466016961,-200,-200,-93,-200,-200,-91,-200,-200,-200,-200
1526466021040,-200,-88,-92,-200,-200,-90,-200,-200,-200,-88
1526466021187,-88,-88,-200,-90,-90,-200,-200,-200,-200,-88
1526466021294,-200,-88,-92,-90,-200,-90,-86,-200,-200,-88
1526466021442,-200,-200,-200,-200,-200,-90,-86,-200,-200,-88
1526466026061,-85,-81,-200,-86,-200,-87,-200,-200,-200,-200
1526466026165,-86,-200,-200,-87,-200,-88,-200,-200,-200,-200
1526466026274,-200,-200,-200,-87,-200,-88,-86,-200,-200,-200
1526466026378,-84,-81,-200,-88,-200,-87,-85,-200,-200,-200
1526466031039,-200,-200,-84,-200,-87,-87,-87,-88,-200,-200
1526466031144,-90,-200,-85,-200,-88,-200,-88,-200,-200,-200
1526466031248,-90,-80,-85,-200,-200,-88,-87,-89,-200,-200
1526466031355,-200,-200,-87,-200,-200,-88,-87,-89,-200,-89
1526466036091,-200,-84,-88,-200,-90,-90,-88,-200,-200,-89
1526466036198,-200,-200,-87,-200,-90,-91,-200,-200,-200,-200
1526466036330,-200,-200,-200,-200,-91,-200,-88,-200,-200,-200
1526466036431,-200,-200,-200,-90,-90,-86,-88,-200,-200,-200
1526466041048,-86,-200,-200,-200,-200,-87,-86,-200,-200,-200
1526466041677,-85,-80,-89,-86,-200,-200,-85,-200,-200,-200
1526466046101,-89,-80,-200,-200,-84,-200,-85,-200,-200,-200
1526466046168,-88,-200,-86,-92,-84,-86,-85,-92,-200,-200
1526466046279,-88,-80,-86,-92,-84,-87,-85,-200,-200,-200
1526466046375,-88,-200,-90,-200,-200,-87,-85,-200,-200,-92
1526466051112,-93,-200,-89,-92,-89,-88,-88,-200,-104,-90
1526466051293,-200,-84,-90,-92,-89,-89,-200,-200,-102,-89
1526466051438,-200,-84,-200,-92,-200,-200,-200,-200,-200,-200
1526466056128,-200,-82,-200,-86,-200,-200,-200,-92,-200,-88
1526466056249,-85,-82,-200,-200,-87,-200,-200,-92,-200,-88
1526466056386,-84,-82,-89,-200,-87,-200,-200,-200,-200,-89
