,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:2E:21,78:A5:04:41:EB:FE,7C:66:9D:7B:47:FC,78:A5:04:41:EB:D8,78:A5:04:41:EB:E8,78:A5:04:41:EB:D1,78:A5:04:41:E9:BE,78:A5:04:41:EB:94,78:A5:04:41:E5:59,78:A5:04:41:E9:8E,78:A5:04:41:E9:F3
1526465551090,-97,-82,-96,-88,-200,-200,-200,-200,-200,-200,-200
1526465551392,-92,-81,-200,-87,-200,-200,-200,-200,-200,-200,-200
1526465551499,-91,-81,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526465551604,-200,-81,-96,-200,-87,-200,-200,-200,-200,-200,-200
1526465556110,-200,-77,-200,-200,-87,-88,-200,-200,-200,-200,-200
1526465556200,-200,-77,-200,-200,-87,-200,-88,-200,-200,-200,-200
1526465556304,-85,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465556433,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465561054,-89,-80,-200,-200,-88,-85,-87,-92,-90,-200,-200
1526465561216,-90,-81,-94,-200,-88,-200,-88,-92,-200,-200,-200
1526465561331,-90,-81,-92,-200,-89,-200,-87,-200,-200,-200,-200
1526465561470,-90,-84,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526465566078,-88,-83,-96,-87,-200,-200,-200,-200,-200,-200,-200
1526465566193,-87,-200,-96,-200,-200,-200,-92,-200,-200,-87,-200
1526465566343,-85,-200,-95,-200,-200,-200,-91,-200,-200,-87,-200
1526465571100,-88,-200,-93,-200,-200,-200,-200,-200,-200,-84,-200
1526465571196,-200,-80,-92,-200,-94,-200,-200,-200,-200,-85,-200
1526465571320,-87,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465571434,-85,-81,-95,-200,-200,-82,-200,-200,-200,-200,-200
1526465576145,-200,-81,-95,-200,-200,-82,-200,-200,-200,-200,-200
1526465576252,-200,-81,-95,-200,-200,-82,-200,-200,-200,-200,-200
1526465576343,-92,-200,-95,-200,-200,-81,-200,-200,-200,-200,-90
1526465576505,-92,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526465581056,-88,-200,-94,-86,-200,-200,-200,-200,-91,-200,-200
1526465581224,-88,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200
1526465581345,-89,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200
1526465581430,-89,-200,-94,-200,-200,-90,-200,-200,-90,-92,-200
1526465586050,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465586166,-88,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526465586268,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465586374,-87,-82,-92,-200,-200,-92,-200,-200,-200,-92,-200
1526465586478,-87,-82,-93,-86,-200,-94,-90,-200,-91,-200,-200
1526465586590,-87,-82,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526465591104,-94,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526465591218,-96,-80,-97,-200,-85,-82,-87,-200,-200,-200,-200
1526465591352,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200
1526465591473,-96,-200,-94,-200,-86,-81,-200,-200,-200,-200,-200
1526465591564,-94,-200,-94,-200,-85,-82,-87,-200,-200,-200,-200
1526465596084,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465596173,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465596279,-92,-83,-200,-200,-200,-200,-200,-200,-200,-90,-200
1526465596596,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465596707,-91,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465596805,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465596915,-97,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200
1526465601123,-85,-77,-200,-200,-200,-200,-200,-200,-200,-84,-200
1526465601227,-86,-77,-200,-200,-200,-200,-200,-200,-200,-84,-200
1526465601330,-86,-77,-100,-200,-200,-200,-200,-200,-200,-200,-200
1526465601433,-89,-76,-200,-200,-200,-200,-200,-200,-87,-200,-200
1526465606100,-200,-81,-93,-200,-200,-88,-200,-200,-200,-200,-200
1526465606207,-93,-81,-93,-92,-200,-87,-200,-200,-200,-200,-200
1526465606345,-92,-80,-93,-200,-200,-87,-200,-200,-200,-200,-200
1526465606451,-93,-81,-98,-85,-200,-87,-89,-200,-90,-200,-200
1526465611114,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465611226,-88,-200,-200,-85,-200,-200,-89,-200,-200,-200,-200
1526465611328,-88,-200,-99,-85,-200,-200,-88,-200,-90,-200,-200
1526465611434,-88,-80,-200,-84,-200,-200,-88,-200,-200,-200,-200
