,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,78:A5:04:41:E9:F2,78:A5:04:41:EB:EA,78:A5:04:41:EB:E4,78:A5:04:41:EB:AB,78:A5:04:41:EB:B5,78:A5:04:41:E9:A7,BC:6A:29:BE:31:17
1526466216147,-76,-88,-82,-91,-200,-200,-200
1526466216320,-77,-88,-82,-90,-200,-200,-200
1526466216427,-76,-86,-81,-200,-92,-200,-200
1526466221089,-83,-84,-200,-200,-200,-200,-200
1526466221236,-200,-85,-200,-200,-200,-200,-200
1526466221331,-84,-86,-80,-200,-200,-200,-200
1526466221428,-200,-85,-80,-200,-200,-200,-200
1526466226066,-88,-82,-85,-200,-86,-200,-200
1526466226175,-88,-81,-86,-200,-87,-200,-200
1526466226276,-89,-81,-200,-200,-87,-200,-200
1526466226376,-88,-81,-85,-200,-200,-200,-200
1526466226482,-80,-81,-84,-200,-87,-93,-200
1526466231132,-80,-84,-83,-200,-200,-200,-200
1526466231268,-200,-84,-82,-200,-200,-200,-200
1526466231486,-200,-84,-80,-200,-200,-200,-200
1526466236113,-82,-84,-80,-200,-88,-200,-200
1526466236360,-200,-200,-80,-200,-87,-200,-200
1526466236458,-200,-200,-80,-200,-200,-200,-200
1526466241089,-90,-200,-83,-200,-200,-200,-100
1526466241197,-89,-85,-82,-200,-200,-92,-200
1526466241303,-200,-85,-82,-200,-200,-92,-99
1526466241406,-84,-200,-82,-93,-87,-92,-200
1526466246115,-200,-200,-82,-200,-87,-200,-200
1526466246218,-85,-88,-82,-200,-88,-200,-200
1526466246321,-85,-200,-82,-200,-89,-200,-200
1526466246428,-83,-200,-82,-200,-89,-200,-200
1526466251802,-83,-81,-82,-200,-200,-89,-100
1526466256136,-200,-200,-200,-200,-200,-89,-200
1526466256242,-200,-86,-82,-200,-200,-89,-200
1526466256356,-82,-86,-82,-200,-200,-89,-200
1526466256449,-81,-200,-83,-200,-89,-90,-200
1526466261135,-82,-90,-83,-200,-89,-200,-200
1526466261495,-83,-200,-84,-200,-91,-200,-200
1526466261767,-80,-87,-80,-200,-200,-200,-200
1526466266087,-89,-81,-200,-200,-200,-200,-200
1526466266299,-89,-80,-80,-200,-200,-200,-200
1526466266396,-200,-80,-200,-200,-200,-200,-200
1526466271053,-86,-84,-200,-200,-200,-92,-200
1526466271144,-83,-82,-200,-200,-90,-200,-200
1526466271246,-85,-81,-82,-200,-200,-200,-200
1526466271427,-84,-82,-82,-200,-200,-200,-200
1526466276168,-200,-81,-200,-200,-200,-200,-200
1526466276286,-200,-81,-79,-200,-200,-200,-200
1526466276387,-200,-81,-200,-200,-200,-200,-200
1526466276499,-200,-81,-200,-200,-200,-200,-200
