,vlucci.com AC-V1.4.0.0,0124.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E5:4E,F4:B8:5E:AA:79:07,78:A5:04:41:E9:BF,78:A5:04:41:EB:91,BC:6A:29:BE:31:17,78:A5:04:41:E9:D5,78:A5:04:41:EB:AD,78:A5:04:41:E9:D3
1526459125554,-77,-90,-91,-200,-200,-200,-200,-200
1526459125663,-77,-92,-92,-76,-96,-84,-200,-200
1526459125772,-77,-91,-200,-200,-200,-82,-200,-200
1526459130391,-77,-87,-200,-200,-99,-82,-200,-200
1526459130497,-77,-88,-79,-82,-200,-82,-200,-200
1526459130595,-77,-88,-79,-200,-200,-82,-90,-200
1526459130709,-77,-88,-200,-82,-101,-82,-200,-200
1526459135343,-69,-88,-200,-70,-200,-80,-200,-200
1526459135465,-69,-88,-200,-200,-200,-79,-200,-200
1526459135625,-69,-88,-200,-69,-200,-80,-200,-200
1526459135725,-69,-200,-200,-69,-200,-79,-200,-200
1526459140362,-77,-90,-92,-78,-200,-84,-200,-200
1526459140463,-77,-200,-200,-200,-200,-84,-200,-200
1526459140575,-77,-200,-200,-79,-200,-85,-200,-200
1526459140673,-77,-200,-200,-80,-200,-86,-200,-200
1526459145429,-68,-87,-87,-75,-105,-84,-200,-200
1526459145519,-68,-87,-87,-75,-200,-83,-200,-200
1526459145655,-68,-87,-86,-75,-99,-83,-200,-200
1526459145751,-68,-87,-86,-69,-200,-83,-200,-200
1526459150445,-68,-200,-200,-69,-200,-80,-200,-200
1526459150764,-68,-200,-200,-200,-200,-80,-200,-200
1526459155395,-81,-89,-86,-80,-200,-80,-200,-200
1526459155509,-81,-89,-86,-79,-200,-80,-200,-200
1526459155699,-82,-89,-86,-79,-200,-200,-200,-200
1526459155804,-75,-90,-82,-80,-200,-80,-200,-200
1526459160948,-68,-200,-83,-69,-200,-83,-92,-200
1526459161051,-68,-87,-200,-74,-200,-84,-200,-200
1526459165379,-69,-89,-200,-74,-200,-80,-200,-89
1526459165469,-69,-88,-200,-70,-200,-200,-200,-200
1526459165579,-69,-88,-200,-82,-200,-80,-200,-200
1526459165687,-69,-89,-200,-200,-200,-80,-200,-89
1526459165791,-69,-89,-86,-80,-200,-80,-200,-200
1526459175360,-68,-87,-86,-75,-105,-84,-94,-200
1526459175448,-69,-200,-86,-200,-200,-84,-200,-200
1526459175561,-68,-87,-84,-76,-103,-84,-200,-200
1526459175656,-69,-87,-84,-75,-200,-84,-200,-200
1526459175759,-68,-200,-200,-75,-200,-84,-93,-200
1526459180365,-75,-200,-200,-200,-200,-200,-200,-200
1526459180466,-74,-200,-200,-77,-200,-78,-200,-200
1526459180567,-75,-200,-200,-200,-200,-78,-200,-200
1526459180674,-75,-200,-84,-80,-200,-77,-200,-200
1526459180776,-76,-91,-83,-75,-200,-200,-200,-200
1526459185376,-200,-200,-82,-75,-200,-200,-200,-200
1526459185479,-79,-200,-82,-76,-200,-200,-200,-200
1526459185674,-79,-90,-81,-75,-200,-200,-200,-200
1526459185785,-200,-200,-200,-75,-200,-200,-200,-200
