,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:BF,78:A5:04:41:E5:4E,78:A5:04:41:EB:91,78:A5:04:41:E9:D5,78:A5:04:41:E5:6B,78:A5:04:41:EB:9C,78:A5:04:41:EB:AD
1526459270528,-69,-80,-200,-200,-200,-200,-200
1526459270624,-77,-79,-200,-200,-200,-200,-200
1526459270734,-79,-82,-200,-200,-200,-200,-200
1526459275433,-75,-200,-74,-91,-200,-200,-200
1526459275539,-74,-87,-74,-200,-200,-200,-200
1526459275633,-75,-200,-74,-200,-200,-200,-200
1526459275750,-75,-87,-78,-200,-200,-200,-200
1526459280489,-70,-86,-200,-200,-200,-200,-200
1526459280600,-74,-87,-78,-90,-200,-200,-200
1526459280700,-70,-88,-79,-200,-200,-200,-200
1526459285369,-200,-89,-79,-83,-200,-200,-200
1526459285528,-76,-90,-79,-200,-91,-200,-200
1526459285632,-77,-89,-80,-200,-200,-200,-200
1526459290365,-72,-89,-73,-92,-200,-200,-200
1526459290471,-200,-89,-74,-200,-200,-200,-200
1526459290579,-200,-200,-73,-91,-200,-200,-200
1526459290682,-71,-88,-73,-92,-200,-200,-200
1526459290794,-200,-90,-74,-200,-200,-200,-200
1526459295818,-200,-200,-81,-200,-200,-200,-200
1526459295914,-200,-200,-77,-86,-200,-200,-200
1526459296012,-200,-200,-78,-88,-200,-200,-200
1526459296131,-200,-200,-78,-88,-200,-200,-200
1526459300354,-77,-200,-78,-84,-91,-200,-200
1526459300439,-77,-200,-78,-84,-200,-200,-200
1526459300553,-77,-200,-78,-83,-91,-200,-200
1526459300647,-77,-200,-78,-84,-200,-200,-200
1526459300760,-71,-86,-78,-83,-200,-200,-200
1526459305489,-200,-85,-72,-90,-200,-200,-200
1526459305595,-72,-84,-200,-90,-200,-200,-200
1526459305700,-72,-85,-72,-89,-200,-200,-200
1526459305810,-70,-86,-72,-90,-94,-200,-200
1526459310398,-78,-85,-78,-90,-200,-200,-200
1526459310542,-77,-200,-78,-87,-200,-200,-200
1526459310646,-77,-200,-79,-88,-200,-200,-200
1526459310763,-77,-83,-200,-83,-90,-200,-200
1526459315456,-200,-84,-86,-83,-92,-200,-200
1526459315660,-79,-84,-86,-84,-91,-92,-200
1526459315843,-80,-88,-200,-91,-91,-200,-200
1526459320413,-74,-88,-72,-200,-200,-200,-200
1526459320503,-74,-200,-200,-200,-200,-200,-200
1526459320624,-73,-88,-200,-200,-200,-200,-200
1526459320840,-73,-86,-78,-88,-200,-200,-200
1526459325443,-78,-85,-79,-87,-200,-200,-92
1526459325547,-78,-85,-200,-86,-200,-200,-200
1526459325651,-78,-200,-200,-87,-200,-200,-200
1526459325762,-78,-86,-200,-83,-200,-200,-200
1526459330439,-80,-85,-85,-83,-91,-200,-200
1526459330549,-79,-200,-85,-82,-200,-92,-200
1526459330664,-80,-200,-72,-83,-91,-91,-200
1526459335478,-200,-200,-72,-90,-200,-200,-200
1526459335587,-200,-200,-72,-200,-200,-200,-200
