,0124.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,F4:B8:5E:AA:79:07,78:A5:04:41:E9:D5,78:A5:04:41:E9:BF,78:A5:04:41:EB:91,78:A5:04:41:E5:4E,78:A5:04:41:EB:AD
1526459195453,-90,-78,-76,-69,-81,-200
1526459195609,-90,-78,-76,-69,-200,-200
1526459195717,-90,-200,-77,-70,-200,-200
1526459200379,-92,-200,-90,-200,-85,-88
1526459200497,-200,-88,-200,-68,-88,-88
1526459200651,-200,-87,-92,-68,-86,-200
1526459200766,-90,-82,-92,-68,-87,-200
1526459205475,-200,-84,-200,-65,-85,-91
1526459205611,-200,-88,-83,-65,-88,-90
1526459205695,-200,-90,-82,-65,-88,-89
1526459205799,-200,-200,-200,-65,-200,-89
1526459210424,-200,-88,-200,-79,-87,-200
1526459210619,-200,-87,-200,-79,-87,-200
1526459210739,-200,-87,-76,-79,-87,-200
1526459210843,-200,-200,-200,-80,-87,-200
1526459215371,-200,-200,-88,-72,-84,-88
1526459215464,-200,-200,-87,-70,-84,-88
1526459215580,-200,-85,-88,-70,-84,-87
1526459215688,-200,-200,-88,-200,-200,-88
1526459215821,-200,-200,-88,-200,-200,-200
1526459220375,-200,-200,-76,-80,-84,-200
1526459220646,-200,-200,-79,-80,-84,-200
1526459220948,-200,-85,-77,-200,-82,-200
1526459221064,-200,-200,-77,-79,-83,-200
1526459221209,-200,-87,-77,-79,-90,-200
1526459225480,-200,-87,-75,-80,-90,-200
1526459225583,-200,-87,-75,-80,-89,-200
1526459225685,-200,-88,-76,-80,-89,-200
1526459225798,-200,-200,-75,-200,-200,-200
1526459230379,-200,-200,-86,-69,-82,-88
1526459230473,-200,-85,-87,-200,-200,-200
1526459230585,-200,-84,-200,-200,-81,-200
1526459230692,-200,-85,-87,-200,-81,-87
1526459230800,-200,-85,-200,-200,-200,-200
1526459235403,-200,-84,-77,-200,-200,-200
1526459235501,-200,-85,-77,-78,-83,-200
1526459235610,-200,-85,-77,-78,-83,-200
1526459235764,-200,-88,-200,-200,-83,-200
1526459240367,-200,-87,-76,-80,-87,-200
1526459240465,-200,-200,-74,-80,-86,-200
1526459240577,-200,-88,-76,-80,-88,-200
1526459240670,-200,-87,-200,-200,-88,-200
1526459240788,-200,-200,-76,-200,-88,-200
1526459245369,-200,-84,-86,-68,-82,-88
1526459245466,-200,-200,-86,-200,-82,-88
1526459245574,-200,-84,-86,-68,-200,-88
1526459245672,-200,-84,-87,-68,-82,-88
1526459245803,-200,-200,-77,-69,-200,-200
1526459250493,-200,-85,-77,-81,-200,-200
1526459251020,-200,-87,-200,-77,-200,-200
1526459255402,-200,-200,-76,-78,-88,-200
1526459255515,-200,-88,-200,-77,-88,-200
1526459255610,-200,-87,-76,-78,-88,-200
1526459255722,-200,-87,-76,-78,-88,-200
1526459255837,-200,-200,-76,-69,-81,-200
1526459260496,-200,-200,-200,-69,-81,-86
1526459260628,-200,-200,-84,-69,-200,-200
