,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:F7,78:A5:04:41:E7:A3,78:A5:04:41:EB:FC,78:A5:04:41:E5:75,78:A5:04:41:E7:9C,78:A5:04:41:E9:9B,78:A5:04:41:E9:DF,78:A5:04:41:E7:84,78:A5:04:41:E9:E7,78:A5:04:41:EB:CA,78:A5:04:41:EB:EC,78:A5:04:41:EE:01,78:A5:04:41:EB:B1
1526443757662,-73,-88,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443757767,-72,-200,-77,-74,-84,-99,-77,-200,-200,-200,-200,-200,-200
1526443757886,-73,-200,-77,-73,-200,-200,-78,-92,-200,-200,-200,-200,-200
1526443757989,-200,-200,-76,-79,-79,-200,-200,-95,-200,-200,-200,-200,-200
1526443762521,-71,-200,-83,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526443762631,-70,-200,-83,-200,-79,-95,-85,-200,-92,-200,-200,-200,-200
1526443762787,-71,-200,-200,-78,-200,-97,-84,-95,-200,-95,-200,-200,-200
1526443762892,-71,-86,-200,-79,-79,-200,-86,-200,-200,-200,-200,-200,-200
1526443762993,-70,-200,-200,-79,-79,-200,-84,-94,-200,-200,-200,-200,-200
1526443767499,-83,-200,-81,-85,-82,-200,-200,-200,-200,-200,-88,-200,-200
1526443767635,-83,-200,-81,-85,-82,-200,-200,-200,-200,-200,-88,-200,-200
1526443767821,-200,-95,-200,-85,-82,-200,-200,-200,-200,-200,-89,-200,-200
1526443767923,-200,-200,-200,-85,-83,-200,-92,-200,-200,-200,-200,-200,-200
1526443768030,-200,-86,-83,-73,-82,-200,-78,-200,-200,-200,-91,-200,-200
1526443772593,-72,-200,-200,-74,-85,-200,-78,-200,-200,-200,-200,-200,-200
1526443772805,-72,-86,-83,-73,-84,-200,-78,-200,-200,-200,-200,-200,-200
1526443772902,-73,-200,-83,-74,-85,-200,-78,-200,-200,-200,-200,-200,-200
1526443773016,-200,-200,-200,-200,-200,-95,-77,-200,-200,-200,-90,-98,-200
1526443777625,-72,-86,-79,-75,-79,-200,-87,-200,-200,-200,-200,-200,-200
1526443777734,-71,-200,-78,-74,-79,-200,-88,-95,-200,-200,-91,-200,-200
1526443777913,-71,-86,-78,-75,-79,-200,-200,-95,-200,-200,-200,-200,-200
1526443778001,-71,-200,-79,-75,-80,-200,-200,-200,-200,-200,-90,-200,-200
1526443782510,-81,-200,-200,-85,-83,-200,-90,-200,-200,-200,-90,-200,-200
1526443782616,-81,-200,-83,-85,-84,-200,-90,-200,-200,-200,-89,-200,-100
1526443782789,-81,-200,-82,-200,-82,-200,-89,-200,-200,-200,-200,-200,-200
1526443782846,-81,-91,-83,-85,-83,-200,-88,-200,-200,-200,-200,-200,-101
1526443782952,-81,-91,-82,-85,-82,-200,-90,-200,-200,-200,-89,-200,-200
1526443783067,-81,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-99
1526443787501,-73,-200,-78,-75,-200,-200,-78,-200,-200,-200,-200,-200,-200
1526443787629,-200,-85,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200
1526443787710,-73,-85,-200,-75,-200,-200,-77,-200,-200,-200,-200,-200,-200
1526443787818,-72,-85,-77,-74,-200,-200,-77,-200,-200,-200,-200,-200,-200
1526443787925,-72,-85,-77,-75,-84,-200,-77,-200,-200,-200,-92,-200,-200
1526443788030,-200,-87,-76,-78,-200,-200,-78,-200,-200,-200,-200,-200,-200
1526443792521,-200,-87,-200,-77,-200,-200,-91,-94,-200,-200,-200,-200,-200
1526443792709,-72,-200,-200,-77,-200,-200,-91,-200,-200,-200,-89,-200,-200
1526443792818,-72,-87,-77,-77,-78,-94,-90,-200,-94,-98,-92,-200,-200
1526443792976,-71,-200,-200,-78,-76,-200,-200,-200,-200,-95,-92,-200,-200
1526443797537,-200,-95,-81,-88,-82,-200,-200,-200,-200,-200,-200,-200,-200
1526443797643,-83,-95,-80,-87,-83,-200,-89,-200,-200,-200,-88,-200,-200
1526443797744,-200,-200,-81,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526443797856,-200,-200,-81,-86,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526443797969,-200,-93,-81,-88,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526443798073,-72,-85,-81,-200,-89,-200,-77,-200,-200,-200,-200,-200,-200
1526443802607,-72,-84,-78,-73,-87,-200,-77,-200,-200,-200,-200,-200,-200
1526443802709,-72,-85,-78,-73,-87,-200,-200,-200,-200,-200,-97,-200,-200
1526443802890,-200,-85,-200,-73,-200,-200,-200,-200,-200,-200,-85,-200,-200
1526443807522,-71,-85,-83,-75,-79,-200,-85,-94,-200,-200,-200,-200,-200
1526443807649,-71,-85,-83,-75,-79,-200,-200,-94,-200,-200,-200,-200,-200
1526443807759,-70,-85,-84,-78,-200,-97,-200,-200,-200,-200,-200,-200,-200
1526443807890,-71,-200,-85,-200,-79,-200,-85,-93,-200,-200,-86,-200,-200
1526443807989,-200,-200,-85,-76,-80,-200,-200,-200,-200,-200,-200,-200,-200
