,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,NETWORK,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:4a:ed,74:da:da:98:74:94,0c:73:eb:d0:7c:48,74:da:da:c1:4a:f5,74:da:da:98:7a:4c,0c:73:eb:d0:7c:30,0c:73:eb:d0:11:b8,74:da:da:98:8d:78,74:da:da:98:7a:50,74:da:da:c1:4b:01,74:da:da:c1:3c:f9,74:da:da:c1:3c:dd,74:da:da:c1:4b:05,74:da:da:98:7a:6c,74:da:da:c0:e0:81,74:da:da:98:7a:60,74:da:da:c1:3c:99,0c:73:eb:d0:11:f0,bc:d1:77:5f:6a:b4,74:da:da:c1:3c:f5,0c:73:eb:d0:13:c0,0c:73:eb:d0:11:e8,74:da:da:c1:4b:59,0c:73:eb:d0:7c:00,74:da:da:c1:3b:9d,0c:73:eb:d0:7e:f0,0c:73:eb:d0:76:40,74:da:da:98:7a:68,0c:73:eb:d0:11:b0,0c:73:eb:d0:7c:18,74:da:da:c1:3c:91,74:da:da:c1:3a:81
1526457083709,-38,-42,-54,-64,-67,-68,-68,-68,-72,-73,-73,-74,-78,-80,-80,-82,-83,-84,-86,-86,-88,-90,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526457086747,-49,-42,-54,-53,-67,-66,-64,-66,-68,-71,-81,-74,-71,-80,-75,-86,-75,-84,-79,-86,-88,-90,-91,-91,-85,-86,-90,-90,-200,-200,-200,-200
1526457089777,-49,-42,-54,-53,-67,-66,-64,-66,-68,-71,-81,-74,-71,-80,-75,-86,-75,-84,-79,-86,-88,-90,-91,-91,-85,-86,-90,-90,-200,-200,-200,-200
1526457092806,-49,-42,-54,-53,-67,-66,-64,-66,-68,-71,-81,-74,-71,-80,-75,-86,-75,-84,-79,-86,-88,-90,-91,-91,-85,-86,-90,-90,-200,-200,-200,-200
1526457095839,-53,-43,-55,-51,-67,-66,-61,-63,-67,-70,-81,-200,-72,-78,-75,-89,-75,-84,-79,-200,-200,-200,-200,-200,-85,-86,-90,-90,-71,-83,-86,-200
1526457098880,-53,-43,-55,-51,-67,-66,-61,-63,-67,-70,-81,-200,-73,-80,-76,-89,-75,-84,-79,-200,-200,-200,-200,-200,-85,-86,-90,-90,-74,-83,-86,-200
1526457101909,-53,-43,-55,-51,-67,-66,-61,-63,-67,-70,-81,-200,-73,-80,-76,-89,-75,-84,-79,-200,-200,-200,-200,-200,-85,-86,-90,-90,-74,-83,-86,-200
1526457104948,-53,-43,-55,-51,-67,-66,-61,-63,-67,-70,-81,-200,-73,-80,-76,-89,-75,-84,-79,-200,-200,-200,-200,-200,-85,-86,-90,-90,-74,-83,-86,-200
1526457107993,-53,-43,-55,-53,-68,-67,-64,-65,-68,-71,-80,-200,-76,-81,-76,-200,-200,-84,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-90,-200
1526457111016,-53,-44,-55,-53,-68,-67,-60,-66,-69,-71,-80,-86,-76,-80,-79,-200,-200,-84,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-90,-200
1526457114048,-53,-44,-55,-53,-68,-67,-60,-66,-69,-71,-80,-86,-76,-80,-79,-200,-200,-84,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-90,-200
1526457117073,-53,-44,-55,-53,-68,-67,-60,-66,-69,-71,-80,-86,-76,-80,-79,-200,-200,-84,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-90,-200
1526457120085,-53,-45,-56,-54,-68,-67,-62,-67,-69,-72,-81,-86,-76,-81,-79,-200,-79,-200,-80,-200,-89,-200,-200,-92,-200,-200,-200,-200,-74,-200,-90,-91
1526457123117,-53,-45,-56,-54,-69,-67,-66,-67,-69,-72,-81,-86,-76,-80,-77,-200,-79,-200,-80,-200,-89,-200,-200,-92,-91,-200,-200,-200,-76,-89,-90,-91
1526457126147,-53,-45,-56,-54,-69,-67,-66,-67,-69,-72,-81,-86,-76,-80,-77,-200,-79,-200,-80,-200,-89,-200,-200,-92,-91,-200,-200,-200,-76,-89,-90,-91
1526457129182,-53,-45,-56,-54,-69,-67,-66,-67,-69,-72,-81,-86,-76,-80,-77,-200,-79,-200,-80,-200,-89,-200,-200,-92,-91,-200,-200,-200,-76,-89,-90,-91
1526457132216,-53,-45,-57,-54,-67,-69,-63,-66,-68,-72,-82,-200,-75,-81,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-75,-85,-200,-200
1526457135239,-53,-45,-57,-54,-67,-69,-63,-66,-68,-72,-82,-200,-75,-81,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-75,-85,-200,-200
1526457138265,-53,-45,-57,-54,-67,-69,-63,-66,-68,-72,-82,-200,-75,-81,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-75,-85,-200,-200
1526457141292,-53,-45,-57,-54,-67,-69,-63,-66,-68,-72,-82,-200,-75,-81,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-75,-85,-200,-200
1526457144303,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
