,0118.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1
,7C:66:9D:7B:2E:16,7C:66:9D:7B:2B:DE
1526460294537,-93,-200
1526460295275,-95,-200
1526460295889,-94,-200
1526460297158,-91,-200
1526460298635,-93,-200
1526460299265,-93,-92
1526460300637,-92,-200
1526460301262,-93,-98
1526460303904,-92,-200
1526460304515,-92,-200
1526460305138,-90,-200
1526460305775,-89,-92
1526460308383,-94,-97
1526460319501,-96,-200
1526460339818,-95,-200
1526460345456,-94,-200
1526460346083,-89,-90
1526460352701,-94,-200
