,0115.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1
,7C:66:9D:7B:2B:E4,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2B:D3,7C:66:9D:7B:2E:16
1526459989788,-89,-200,-200,-200
1526459991778,-88,-91,-200,-200
1526459992407,-88,-200,-200,-200
1526459993144,-90,-200,-94,-200
1526459994503,-88,-200,-200,-200
1526459995249,-88,-200,-200,-200
1526459995755,-86,-200,-200,-200
1526459999755,-92,-200,-200,-200
1526460003746,-87,-94,-200,-200
1526460004366,-86,-93,-200,-200
1526460006855,-86,-200,-200,-200
1526460007493,-85,-200,-200,-200
1526460008118,-86,-200,-200,-200
1526460008862,-85,-94,-200,-200
1526460010117,-86,-200,-200,-200
1526460010745,-85,-92,-200,-200
1526460011376,-86,-200,-200,-200
1526460012111,-85,-92,-200,-200
1526460015478,-85,-200,-200,-200
1526460016114,-85,-200,-200,-200
1526460016854,-84,-96,-200,-200
1526460018093,-88,-200,-200,-200
1526460018729,-87,-200,-200,-200
1526460020854,-86,-93,-200,-200
1526460022962,-87,-200,-200,-200
1526460024226,-86,-200,-200,-200
1526460026718,-88,-94,-200,-200
1526460029968,-86,-200,-200,-200
1526460031097,-86,-93,-200,-200
1526460032980,-87,-200,-200,-200
1526460033714,-86,-200,-200,-200
1526460035578,-87,-200,-200,-200
1526460036319,-85,-200,-200,-200
1526460036958,-86,-200,-200,-200
1526460039689,-87,-93,-200,-200
1526460045435,-200,-93,-200,-200
1526460048814,-88,-93,-200,-94
1526460050818,-86,-200,-93,-200
