,011b.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1
,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2B:D3,7C:66:9D:7B:2B:DE
1526459402851,-95,-94,-200
1526459406840,-200,-91,-200
1526459407463,-93,-93,-200
1526459411349,-96,-92,-93
1526459412838,-95,-93,-93
1526459414841,-200,-92,-200
1526459415466,-200,-92,-95
1526459416712,-200,-93,-94
1526459418091,-96,-93,-200
1526459422215,-95,-90,-98
1526459424594,-200,-94,-200
1526459425339,-200,-93,-200
1526459426077,-200,-90,-200
1526459429556,-200,-96,-200
