,011b.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1
,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2B:DE,F4:B8:5E:AA:77:73
1526459548660,-96,-94,-96
1526459565743,-200,-200,-96
1526459599218,-200,-200,-98
