,0115.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1
,7C:66:9D:7B:2B:E4,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2B:D3
1526459224028,-89,-200,-200
1526459224652,-90,-200,-200
1526459225289,-89,-200,-200
1526459225912,-90,-200,-200
1526459229890,-92,-87,-200
1526459232639,-87,-86,-200
1526459235153,-200,-89,-200
1526459236502,-200,-89,-200
1526459237121,-200,-90,-200
1526459238500,-200,-90,-200
1526459239137,-88,-88,-200
1526459243631,-200,-87,-200
1526459246875,-200,-86,-200
1526459247618,-93,-85,-93
1526459248873,-85,-88,-200
1526459249987,-87,-92,-200
1526459251370,-86,-90,-92
1526459252119,-92,-200,-200
1526459252746,-92,-88,-200
1526459255369,-87,-200,-200
1526459257856,-91,-90,-200
1526459258488,-92,-90,-95
1526459260361,-200,-92,-200
1526459260987,-200,-90,-200
1526459262235,-200,-90,-200
1526459262859,-200,-90,-200
1526459263484,-91,-92,-200
1526459266116,-91,-200,-200
1526459266856,-91,-200,-200
1526459268339,-88,-90,-200
1526459270987,-88,-200,-200
1526459271103,-86,-88,-200
1526459271971,-88,-89,-200
1526459273097,-87,-92,-200
1526459274591,-90,-200,-200
1526459275954,-90,-92,-94
1526459277706,-88,-87,-200
1526459278323,-89,-86,-200
1526459279581,-87,-200,-200
1526459280317,-88,-200,-200
1526459280931,-87,-91,-200
