,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,NETWORK,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
,74:da:da:c1:4a:f5,0c:73:eb:d0:7c:48,74:da:da:c1:4b:01,74:da:da:c1:4a:ed,0c:73:eb:d0:7c:18,74:da:da:98:74:94,74:da:da:c1:3c:dd,74:da:da:98:8d:78,74:da:da:c1:4a:f6,0c:73:eb:d0:7c:30,74:da:da:c1:4b:05,74:da:da:c1:3c:f9,74:da:da:c1:4b:59,74:da:da:c1:4b:02,0c:73:eb:d0:11:f0,bc:d1:77:5f:6a:b4,74:da:da:c1:4a:ee,74:da:da:98:74:95,0c:73:eb:d0:11:b8,74:da:da:c1:3c:de,74:da:da:98:7a:4c,74:da:da:c1:3c:f5,0c:73:eb:d0:11:e8,74:da:da:98:8d:79,74:da:da:c0:f3:01,0c:73:eb:d0:7c:00,74:da:da:c1:4b:06,74:da:da:98:7a:60,74:da:da:c1:3c:e1,74:da:da:c1:3c:f6,74:da:da:c1:3c:91,74:da:da:c1:3c:fa,74:da:da:98:7a:6c,74:da:da:c1:3c:99,74:da:da:98:7a:50,0c:73:eb:d0:7f:18,74:da:da:c1:3c:d1,74:da:da:c0:e0:81,74:da:da:c1:3b:49,74:da:da:c1:3b:4d,74:da:da:c1:4b:5a,0c:73:eb:d0:7c:10,74:da:da:98:7a:68,0c:73:eb:d0:11:b0,0c:73:eb:d0:7e:f8,0c:73:eb:d0:76:20,74:da:da:c0:e0:71
1526455422850,-27,-29,-35,-35,-43,-43,-48,-50,-52,-55,-55,-56,-58,-62,-64,-65,-65,-68,-68,-70,-71,-71,-72,-75,-77,-82,-85,-85,-85,-87,-87,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455425878,-27,-29,-35,-35,-43,-42,-48,-54,-48,-57,-55,-56,-58,-62,-64,-65,-68,-69,-68,-66,-69,-71,-76,-72,-77,-82,-82,-85,-85,-85,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455428885,-27,-29,-35,-35,-43,-42,-48,-54,-48,-57,-55,-56,-58,-62,-64,-65,-68,-69,-68,-66,-69,-71,-76,-72,-77,-82,-82,-85,-85,-85,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455431896,-27,-33,-36,-34,-43,-41,-48,-50,-52,-58,-53,-58,-58,-58,-64,-61,-63,-70,-68,-62,-69,-71,-76,-72,-77,-82,-78,-85,-84,-85,-87,-91,-65,-70,-76,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455434920,-27,-33,-36,-34,-43,-41,-48,-50,-52,-58,-53,-58,-58,-58,-64,-61,-63,-70,-68,-62,-69,-71,-76,-72,-77,-82,-78,-85,-84,-85,-87,-91,-65,-70,-76,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455437951,-35,-37,-36,-35,-42,-38,-39,-50,-47,-55,-53,-58,-64,-58,-64,-57,-63,-64,-68,-65,-73,-71,-76,-74,-77,-82,-78,-85,-84,-83,-87,-89,-61,-70,-70,-86,-89,-71,-78,-85,-200,-200,-200,-200,-200,-200,-200
1526455440964,-35,-37,-36,-35,-42,-38,-39,-50,-47,-55,-53,-58,-64,-58,-64,-57,-63,-64,-68,-65,-73,-71,-76,-74,-77,-82,-78,-85,-84,-83,-87,-89,-61,-70,-70,-86,-89,-71,-78,-85,-200,-200,-200,-200,-200,-200,-200
1526455443990,-36,-30,-34,-36,-40,-37,-39,-50,-43,-53,-56,-58,-67,-58,-200,-62,-62,-64,-68,-65,-74,-71,-76,-74,-77,-200,-78,-200,-84,-83,-80,-89,-59,-70,-69,-86,-89,-71,-78,-85,-200,-200,-200,-200,-200,-200,-200
1526455447011,-36,-30,-34,-36,-40,-37,-39,-50,-43,-53,-56,-58,-67,-58,-200,-62,-62,-64,-68,-65,-74,-71,-76,-74,-77,-200,-78,-200,-84,-83,-80,-89,-59,-70,-69,-86,-89,-71,-78,-85,-200,-200,-200,-200,-200,-200,-200
