,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:7c:48,74:da:da:c1:4a:f5,74:da:da:c1:4b:01,74:da:da:c1:3c:dd,0c:73:eb:d0:7c:30,74:da:da:98:8d:78,0c:73:eb:d0:7c:18,74:da:da:c1:4b:02,74:da:da:c1:4a:ed,74:da:da:c1:3c:f9,74:da:da:98:74:94,bc:d1:77:5f:6a:b4,0c:73:eb:d0:11:f0,74:da:da:c1:4a:f6,74:da:da:c1:3c:99,74:da:da:98:7a:6c,74:da:da:c1:3c:de,74:da:da:c1:4b:59,0c:73:eb:d0:7c:10,0c:73:eb:d0:11:e8,74:da:da:c1:3c:fa,74:da:da:c1:3c:e1,74:da:da:98:7a:50,74:da:da:c1:3b:49,74:da:da:98:7a:60,74:da:da:98:8d:79,74:da:da:c1:4b:06,74:da:da:c1:4a:ee,74:da:da:c1:3c:d1,74:da:da:98:74:95,74:da:da:98:7a:4c,74:da:da:c1:3c:f6,74:da:da:c1:4b:5a,0c:73:eb:d0:7f:18,74:da:da:c1:4b:05,74:da:da:c1:3c:f5,74:da:da:c1:3c:91,74:da:da:c0:e0:71
1526455251187,-27,-29,-29,-38,-43,-43,-46,-46,-46,-46,-51,-57,-58,-59,-61,-62,-63,-63,-65,-68,-73,-73,-76,-76,-77,-82,-83,-83,-83,-84,-84,-85,-90,-90,-200,-200,-200,-200
1526455254197,-30,-40,-39,-38,-46,-43,-42,-59,-46,-46,-51,-64,-58,-59,-61,-62,-65,-63,-65,-68,-81,-73,-76,-76,-77,-77,-81,-77,-83,-79,-84,-85,-90,-90,-52,-200,-200,-200
1526455257219,-30,-40,-39,-38,-46,-43,-42,-59,-46,-46,-51,-64,-58,-59,-61,-62,-65,-63,-65,-68,-81,-73,-76,-76,-200,-77,-81,-77,-83,-79,-84,-85,-90,-90,-52,-200,-200,-200
1526455260238,-25,-42,-39,-38,-44,-43,-44,-56,-48,-46,-51,-66,-63,-58,-61,-62,-65,-62,-68,-71,-83,-73,-76,-76,-81,-79,-84,-79,-83,-79,-84,-86,-90,-90,-52,-62,-200,-200
1526455263250,-25,-42,-39,-38,-44,-43,-44,-56,-48,-46,-51,-66,-63,-58,-61,-62,-65,-62,-68,-71,-83,-73,-76,-76,-81,-79,-84,-79,-83,-79,-84,-86,-90,-90,-52,-62,-200,-200
1526455266263,-29,-40,-39,-38,-43,-43,-44,-58,-48,-46,-51,-65,-63,-62,-61,-70,-64,-61,-68,-71,-87,-73,-73,-77,-81,-77,-84,-79,-83,-83,-80,-82,-90,-200,-52,-62,-200,-200
1526455269282,-29,-40,-39,-38,-43,-43,-44,-58,-48,-46,-51,-65,-63,-62,-61,-70,-64,-61,-68,-71,-87,-73,-73,-77,-81,-77,-84,-79,-83,-83,-80,-82,-90,-200,-52,-62,-200,-200
1526455272307,-25,-44,-42,-39,-48,-45,-40,-65,-48,-46,-47,-69,-63,-61,-66,-71,-63,-61,-68,-76,-83,-200,-73,-77,-79,-77,-84,-78,-200,-81,-80,-86,-90,-200,-53,-62,-84,-200
1526455275316,-25,-44,-42,-39,-48,-45,-40,-65,-48,-46,-47,-69,-63,-61,-66,-71,-63,-61,-68,-76,-83,-200,-73,-77,-79,-77,-84,-78,-200,-81,-80,-86,-90,-200,-53,-62,-84,-200
