,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,NETWORK,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c1:4a:f5,0c:73:eb:d0:7c:48,74:da:da:c1:3c:dd,74:da:da:c1:4b:01,74:da:da:c1:4a:ed,74:da:da:98:8d:78,0c:73:eb:d0:7c:18,74:da:da:98:74:94,74:da:da:c1:4b:05,0c:73:eb:d0:7c:30,74:da:da:c1:4b:02,74:da:da:c1:4a:f6,74:da:da:c1:3c:f9,74:da:da:c1:3c:de,74:da:da:c1:4b:59,0c:73:eb:d0:11:b0,0c:73:eb:d0:7c:10,bc:d1:77:5f:6a:b4,74:da:da:c1:4a:ee,0c:73:eb:d0:11:f0,74:da:da:98:74:95,74:da:da:98:7a:50,0c:73:eb:d0:11:e8,74:da:da:c0:f3:01,74:da:da:98:7a:6c,74:da:da:98:7a:4c,74:da:da:98:8d:79,74:da:da:98:7a:60,74:da:da:c0:e0:81,74:da:da:c1:4b:06,74:da:da:98:7a:68,0c:73:eb:d0:7f:18,0c:73:eb:d0:7e:f8,74:da:da:c1:3c:f6,74:da:da:c1:3c:fa,0c:73:eb:d0:76:20,74:da:da:c0:e0:71,74:da:da:c1:3c:d1,74:da:da:c1:4b:5a,74:da:da:c1:3c:e1,74:da:da:c1:3b:49,74:da:da:c1:3c:f5,0c:73:eb:d0:7c:08,0c:73:eb:d0:7c:00,74:da:da:c0:f2:fd,74:da:da:c1:3c:91,0c:73:eb:d0:11:b8
1526455496366,-25,-32,-36,-36,-38,-46,-49,-49,-53,-55,-55,-55,-60,-61,-61,-63,-66,-67,-67,-67,-70,-70,-73,-74,-75,-79,-79,-80,-82,-83,-83,-87,-87,-88,-88,-88,-88,-90,-90,-91,-200,-200,-200,-200,-200,-200,-200
1526455498865,-37,-32,-41,-37,-39,-50,-48,-54,-51,-60,-63,-49,-59,-68,-200,-63,-66,-67,-67,-67,-77,-70,-77,-74,-75,-75,-79,-200,-82,-80,-200,-87,-87,-88,-88,-88,-88,-200,-90,-91,-200,-200,-200,-200,-200,-200,-200
1526455499388,-37,-32,-41,-37,-39,-50,-48,-54,-51,-61,-63,-49,-59,-68,-200,-63,-66,-67,-67,-67,-77,-70,-77,-74,-75,-75,-79,-200,-200,-80,-200,-200,-200,-88,-88,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455501886,-37,-32,-41,-37,-39,-50,-48,-54,-51,-61,-63,-49,-59,-68,-200,-63,-66,-67,-67,-67,-77,-70,-77,-74,-75,-75,-79,-200,-200,-80,-200,-200,-200,-88,-88,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455502400,-37,-32,-41,-37,-39,-50,-48,-54,-51,-61,-63,-49,-59,-68,-200,-63,-66,-67,-67,-67,-77,-70,-77,-74,-75,-75,-79,-200,-200,-80,-200,-200,-200,-88,-88,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455504901,-33,-32,-44,-37,-45,-54,-42,-53,-51,-62,-63,-48,-59,-66,-200,-63,-66,-67,-68,-67,-75,-70,-77,-74,-66,-78,-79,-200,-200,-85,-200,-200,-200,-88,-88,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455505408,-33,-32,-44,-37,-45,-54,-42,-53,-51,-61,-63,-48,-59,-66,-200,-63,-66,-67,-68,-67,-75,-70,-77,-74,-66,-78,-79,-200,-200,-85,-200,-200,-200,-88,-88,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455507911,-36,-30,-44,-36,-43,-50,-42,-51,-51,-61,-61,-47,-59,-70,-69,-200,-200,-67,-67,-200,-83,-70,-77,-74,-66,-78,-79,-200,-200,-81,-200,-200,-200,-88,-200,-200,-91,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200
1526455508416,-36,-30,-44,-36,-43,-50,-42,-51,-51,-62,-61,-47,-59,-70,-69,-200,-200,-67,-67,-200,-83,-70,-77,-74,-66,-78,-79,-200,-200,-81,-200,-200,-200,-88,-200,-200,-91,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200
