,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018
,0c:73:eb:d0:13:a8,74:da:da:c0:e0:71,74:da:da:c1:3c:51,0c:73:eb:d0:7e:e8,0c:73:eb:d0:7e:e0,0c:73:eb:d0:7c:38,74:da:da:98:8f:30,74:da:da:c0:e0:69,0c:73:eb:d0:11:e0,0c:73:eb:d0:7f:10,74:da:da:c1:56:ed,74:da:da:c1:3c:f5,0c:73:eb:d0:76:48,74:da:da:c1:56:a1,74:da:da:98:85:4c,0c:73:eb:d0:7c:00,74:da:da:c0:e0:81,74:da:da:98:92:14,0c:73:eb:d0:7e:f0,74:da:da:98:85:00,0c:73:eb:d0:13:c0,74:da:da:98:7a:60,74:da:da:98:7a:6c,74:da:da:98:7a:4c,0c:73:eb:d0:76:58,74:da:da:c0:f3:01,74:da:da:c1:3c:e1,0c:73:eb:d0:7e:f8,74:da:da:c0:d7:19,74:da:da:98:85:60,74:da:da:98:7a:50,0c:73:eb:d0:11:e8,0c:73:eb:d0:11:b0,74:da:da:98:ea:5c,74:da:da:c0:e2:d9,0c:73:eb:d0:11:b8,74:da:da:c1:3c:f9,74:da:da:c1:3b:65,74:da:da:c1:3c:8d,74:da:da:c1:3b:85,74:da:da:c1:3c:91,74:da:da:c1:3c:cd,74:da:da:98:8f:64,74:da:da:c1:3b:49,0c:73:eb:d0:76:30,74:da:da:98:91:d4,74:da:da:98:7a:68,0c:73:eb:d0:2a:18,0c:73:eb:d0:11:f0,74:da:da:c0:f4:69,74:da:da:c0:d7:b9,74:da:da:98:8f:34,74:da:da:98:ea:4c,74:da:da:c0:d7:e9,0c:73:eb:d0:7f:18,0c:73:eb:d0:7e:d8,0c:73:eb:d0:7c:18,0c:73:eb:d0:13:90,0c:73:eb:d0:19:98
1526466168488,-61,-56,-54,-55,-59,-60,-81,-72,-63,-69,-65,-73,-69,-200,-77,-68,-69,-68,-68,-80,-74,-80,-82,-82,-79,-78,-200,-79,-200,-86,-80,-81,-83,-200,-86,-85,-87,-86,-200,-87,-200,-200,-200,-84,-86,-84,-69,-200,-79,-84,-78,-81,-90,-92,-88,-200,-200,-200,-200
1526466171520,-61,-56,-54,-55,-59,-60,-81,-72,-63,-69,-65,-73,-69,-200,-77,-68,-69,-68,-68,-80,-74,-80,-82,-82,-79,-78,-200,-79,-200,-86,-80,-81,-83,-200,-86,-85,-87,-86,-200,-87,-200,-200,-200,-84,-86,-84,-69,-200,-79,-84,-78,-81,-90,-92,-88,-200,-200,-200,-200
1526466174558,-61,-56,-54,-55,-59,-60,-81,-72,-63,-69,-65,-73,-69,-200,-77,-68,-69,-68,-68,-80,-74,-80,-82,-82,-79,-78,-200,-79,-200,-86,-80,-81,-83,-200,-86,-85,-87,-86,-200,-87,-200,-200,-200,-84,-86,-84,-69,-200,-79,-84,-78,-81,-90,-92,-88,-200,-200,-200,-200
1526466177604,-50,-59,-57,-55,-61,-54,-83,-66,-63,-69,-63,-75,-69,-74,-75,-66,-66,-67,-68,-200,-75,-76,-85,-200,-79,-76,-200,-79,-200,-80,-80,-81,-80,-200,-86,-200,-92,-90,-200,-200,-200,-200,-200,-85,-86,-84,-71,-200,-79,-200,-200,-85,-200,-200,-88,-90,-200,-200,-200
1526466180638,-54,-59,-55,-53,-64,-56,-83,-65,-63,-65,-65,-77,-69,-74,-77,-68,-72,-71,-71,-81,-72,-76,-85,-200,-79,-77,-200,-79,-78,-80,-80,-84,-82,-200,-86,-85,-92,-89,-200,-200,-200,-200,-200,-85,-86,-84,-71,-200,-79,-200,-200,-85,-200,-200,-88,-90,-88,-200,-200
1526466183686,-54,-59,-55,-53,-64,-56,-83,-65,-63,-65,-65,-77,-69,-74,-77,-68,-72,-71,-71,-81,-72,-76,-85,-200,-79,-77,-200,-79,-78,-80,-80,-84,-82,-200,-86,-85,-92,-89,-200,-200,-200,-200,-200,-85,-86,-84,-71,-200,-79,-200,-200,-85,-200,-200,-88,-90,-88,-200,-200
1526466186720,-54,-59,-55,-53,-64,-56,-83,-65,-63,-65,-65,-77,-69,-74,-77,-68,-72,-71,-71,-81,-72,-76,-85,-200,-79,-77,-200,-79,-78,-80,-80,-84,-82,-200,-86,-85,-92,-89,-200,-200,-200,-200,-200,-85,-86,-84,-71,-200,-79,-200,-200,-85,-200,-200,-88,-90,-88,-200,-200
1526466189766,-54,-57,-54,-46,-58,-56,-82,-71,-64,-72,-65,-74,-69,-200,-74,-68,-72,-71,-73,-80,-71,-200,-200,-200,-200,-79,-74,-85,-78,-200,-79,-84,-80,-200,-200,-82,-200,-89,-200,-200,-84,-200,-200,-86,-83,-81,-71,-200,-200,-85,-200,-81,-200,-200,-200,-200,-88,-87,-90
1526466192809,-59,-57,-63,-49,-57,-60,-82,-65,-68,-69,-67,-72,-71,-200,-74,-68,-72,-67,-67,-80,-71,-81,-82,-200,-200,-79,-74,-85,-78,-200,-79,-84,-83,-200,-87,-82,-200,-89,-200,-200,-84,-200,-200,-86,-83,-81,-71,-200,-200,-87,-200,-81,-200,-200,-200,-200,-88,-87,-90
1526466195842,-59,-57,-63,-49,-57,-60,-82,-65,-68,-69,-67,-72,-71,-200,-74,-68,-72,-67,-67,-80,-71,-81,-82,-200,-200,-79,-74,-85,-78,-200,-79,-84,-83,-200,-87,-82,-200,-89,-200,-200,-84,-200,-200,-86,-83,-81,-71,-200,-200,-87,-200,-81,-200,-200,-200,-200,-88,-87,-90
1526466198888,-59,-57,-63,-49,-57,-60,-82,-65,-68,-69,-67,-72,-71,-200,-74,-68,-72,-67,-67,-80,-71,-81,-82,-200,-200,-79,-74,-85,-78,-200,-79,-84,-83,-200,-87,-82,-200,-89,-200,-200,-84,-200,-200,-86,-83,-81,-71,-200,-200,-87,-200,-81,-200,-200,-200,-200,-88,-87,-90
1526466201929,-57,-56,-53,-51,-62,-59,-200,-68,-69,-66,-67,-75,-74,-74,-74,-68,-64,-74,-73,-200,-71,-81,-83,-200,-200,-80,-200,-200,-200,-200,-82,-200,-80,-200,-87,-200,-200,-87,-200,-200,-85,-200,-200,-200,-84,-200,-67,-200,-200,-88,-200,-80,-200,-200,-200,-200,-200,-200,-200
