,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro
,74:da:da:c1:4b:59,0c:73:eb:d0:7c:10,74:da:da:c1:4b:05,74:da:da:98:8d:78,74:da:da:c1:3b:49,74:da:da:c1:3c:dd,74:da:da:c1:4b:01,bc:d1:77:5f:6a:b4,74:da:da:c0:f2:fd,74:da:da:c1:3c:f5,0c:73:eb:d0:7c:18,0c:73:eb:d0:11:f0,0c:73:eb:d0:11:e8,0c:73:eb:d0:7e:d8,74:da:da:c0:f4:69,74:da:da:c1:3c:ad,74:da:da:c1:3c:f9,0c:73:eb:d0:7c:00,74:da:da:c1:3c:99,0c:73:eb:d0:76:20,74:da:da:c1:3c:6d,74:da:da:c1:3c:51,0c:73:eb:d0:19:98,0c:73:eb:d0:11:d0,74:da:da:c1:3c:d1,0c:73:eb:d0:7c:30,0c:73:eb:d0:2a:18,74:da:da:c1:4a:ed,74:da:da:c1:3b:85,74:da:da:c1:4a:f5,74:da:da:98:74:94,0c:73:eb:d0:7c:48,74:da:da:c1:14:99,0c:73:eb:d0:7e:e0,74:da:da:c1:3c:91,74:da:da:98:db:44,0c:73:eb:d0:2a:38,74:da:da:c1:3b:45
1526459272590,-44,-49,-59,-60,-62,-66,-69,-70,-74,-77,-78,-78,-81,-81,-82,-83,-84,-85,-86,-86,-88,-89,-89,-89,-89,-92,-92,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459275618,-52,-54,-55,-62,-66,-71,-72,-76,-71,-77,-74,-78,-78,-200,-80,-83,-84,-200,-78,-86,-200,-200,-200,-89,-89,-200,-92,-92,-83,-85,-92,-200,-200,-200,-200,-200,-200,-200
1526459278651,-52,-54,-55,-62,-66,-71,-72,-76,-71,-77,-74,-78,-78,-200,-80,-83,-84,-200,-78,-86,-200,-200,-200,-89,-89,-200,-92,-92,-83,-85,-92,-200,-200,-200,-200,-200,-200,-200
1526459281683,-52,-54,-55,-62,-66,-71,-72,-76,-71,-77,-74,-78,-78,-200,-80,-83,-84,-200,-78,-86,-200,-200,-200,-89,-89,-200,-92,-92,-83,-85,-92,-200,-200,-200,-200,-200,-200,-200
1526459284720,-57,-54,-47,-55,-68,-71,-71,-66,-64,-70,-70,-78,-76,-77,-80,-200,-200,-200,-80,-87,-200,-200,-86,-86,-200,-200,-200,-200,-83,-85,-92,-82,-89,-90,-200,-200,-200,-200
1526459287745,-57,-54,-47,-55,-68,-71,-70,-74,-64,-71,-71,-78,-76,-77,-80,-200,-200,-200,-80,-87,-200,-200,-86,-86,-200,-200,-200,-200,-83,-85,-92,-82,-89,-90,-200,-200,-200,-200
1526459290780,-57,-54,-47,-55,-68,-71,-70,-74,-64,-71,-71,-78,-76,-77,-80,-200,-200,-200,-80,-87,-200,-200,-86,-86,-200,-200,-200,-200,-83,-85,-92,-82,-89,-90,-200,-200,-200,-200
1526459293817,-57,-54,-47,-55,-68,-71,-70,-74,-64,-71,-71,-78,-76,-77,-80,-200,-200,-200,-80,-87,-200,-200,-86,-86,-200,-200,-200,-200,-83,-85,-92,-82,-89,-90,-200,-200,-200,-200
1526459296841,-60,-54,-48,-55,-72,-70,-70,-68,-60,-71,-76,-77,-82,-79,-81,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-90,-200,-92,-200,-200,-200
