,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,NETWORK,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:7c:10,74:da:da:c1:4b:59,74:da:da:c1:4b:05,74:da:da:98:8d:78,74:da:da:c1:4b:01,74:da:da:c1:3c:dd,74:da:da:c1:3b:49,74:da:da:c1:3c:f5,0c:73:eb:d0:7c:18,74:da:da:c1:4a:f5,74:da:da:c0:f2:fd,0c:73:eb:d0:7c:48,bc:d1:77:5f:6a:b4,0c:73:eb:d0:11:f0,0c:73:eb:d0:11:e8,0c:73:eb:d0:7e:d8,74:da:da:c1:3c:ad,74:da:da:c1:3c:f9,0c:73:eb:d0:7c:30,74:da:da:c1:3c:99,74:da:da:98:74:94,74:da:da:c0:e2:d9,74:da:da:c1:4a:ed,74:da:da:c0:f4:69,0c:73:eb:d0:7c:00,0c:73:eb:d0:11:d0,0c:73:eb:d0:7e:f8,0c:73:eb:d0:7f:18,0c:73:eb:d0:2a:38,74:da:da:c1:3c:51,0c:73:eb:d0:76:20,74:da:da:c1:4a:a5,74:da:da:98:db:44,0c:73:eb:d0:7e:e0,74:da:da:c1:3c:6d,74:da:da:c1:3b:85,0c:73:eb:d0:2a:18,74:da:da:c1:3b:45,0c:73:eb:d0:19:98
1526459197592,-42,-45,-46,-64,-67,-71,-71,-73,-76,-76,-76,-78,-79,-79,-79,-79,-80,-81,-81,-85,-88,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459200609,-47,-45,-45,-64,-72,-67,-71,-73,-74,-81,-75,-79,-81,-79,-79,-79,-80,-82,-91,-81,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459203631,-47,-45,-45,-64,-72,-67,-71,-73,-74,-81,-75,-79,-81,-79,-79,-79,-80,-82,-91,-81,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459206659,-47,-45,-45,-64,-72,-67,-71,-73,-74,-81,-75,-79,-81,-79,-79,-79,-80,-82,-91,-81,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459209671,-48,-47,-49,-58,-69,-64,-72,-200,-74,-77,-71,-79,-73,-74,-80,-200,-200,-86,-88,-77,-80,-200,-89,-82,-86,-91,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459212713,-49,-48,-55,-61,-69,-64,-69,-81,-70,-77,-71,-81,-75,-74,-87,-200,-200,-86,-88,-77,-80,-200,-90,-82,-86,-91,-91,-91,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459215730,-49,-48,-55,-61,-69,-64,-69,-81,-70,-77,-71,-81,-75,-74,-87,-200,-200,-86,-88,-77,-80,-200,-90,-82,-86,-91,-91,-91,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459218761,-49,-48,-55,-61,-69,-64,-69,-81,-70,-77,-71,-81,-75,-74,-87,-200,-200,-86,-88,-77,-80,-200,-90,-82,-86,-91,-91,-91,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459221781,-52,-47,-52,-64,-71,-66,-68,-81,-74,-86,-74,-85,-77,-74,-80,-86,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-84,-89,-85,-89,-90,-200,-200,-200,-200,-200,-200
