,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:4b:59,0c:73:eb:d0:7c:10,74:da:da:c1:4b:05,74:da:da:c1:3c:dd,74:da:da:c1:3b:49,74:da:da:98:8d:78,0c:73:eb:d0:7c:18,74:da:da:c1:4b:01,74:da:da:c1:3c:f5,bc:d1:77:5f:6a:b4,74:da:da:c0:f2:fd,0c:73:eb:d0:11:f0,0c:73:eb:d0:11:e8,0c:73:eb:d0:7e:d8,74:da:da:c1:3c:99,0c:73:eb:d0:7c:48,74:da:da:c1:3b:85,0c:73:eb:d0:2a:38,74:da:da:c1:4a:f5,74:da:da:c1:3c:f9,0c:73:eb:d0:11:d0,0c:73:eb:d0:7c:00,74:da:da:c1:14:99,0c:73:eb:d0:76:20,74:da:da:98:92:14,74:da:da:c1:3b:45,0c:73:eb:d0:7c:30,74:da:da:c1:3c:91,74:da:da:c1:3c:51,74:da:da:c1:3b:e9,0c:73:eb:d0:7e:f8,74:da:da:c0:f4:69,74:da:da:c1:3c:ad,74:da:da:c0:d7:09,74:da:da:98:db:44,0c:73:eb:d0:7e:e0,74:da:da:98:91:d4,0c:73:eb:d0:2a:18,74:da:da:c1:3c:e1,0c:73:eb:d0:2a:28,0c:73:eb:d0:19:98,74:da:da:c1:3c:d1,74:da:da:c1:3b:79,74:da:da:c1:03:61,74:da:da:c1:3d:05,74:da:da:c1:4a:ed
1526459350501,-39,-43,-48,-60,-66,-67,-69,-69,-70,-71,-71,-74,-74,-75,-77,-78,-79,-82,-83,-85,-86,-88,-88,-88,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459353531,-39,-65,-44,-62,-70,-63,-70,-69,-65,-66,-74,-74,-77,-79,-77,-78,-79,-82,-82,-85,-200,-88,-88,-200,-91,-200,-81,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459356551,-39,-65,-44,-62,-70,-63,-70,-69,-65,-66,-74,-74,-77,-79,-77,-78,-79,-82,-82,-85,-200,-88,-88,-200,-91,-200,-81,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459359582,-39,-65,-44,-62,-70,-63,-70,-69,-65,-66,-74,-74,-77,-79,-77,-78,-79,-82,-82,-85,-200,-88,-88,-200,-91,-200,-81,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459362625,-38,-53,-44,-59,-76,-62,-72,-67,-65,-62,-66,-73,-82,-79,-200,-78,-79,-200,-82,-200,-200,-200,-200,-80,-87,-86,-80,-89,-82,-83,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459365653,-38,-49,-43,-59,-78,-62,-72,-63,-65,-62,-66,-76,-78,-80,-200,-78,-79,-81,-82,-200,-84,-200,-200,-80,-87,-86,-80,-89,-81,-83,-90,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459368684,-38,-49,-43,-59,-78,-62,-72,-63,-65,-62,-66,-76,-78,-80,-200,-78,-79,-81,-82,-200,-84,-200,-200,-80,-87,-86,-80,-89,-81,-83,-90,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459371707,-38,-49,-43,-59,-78,-62,-72,-63,-65,-62,-66,-76,-78,-80,-200,-78,-79,-81,-82,-200,-84,-200,-200,-80,-87,-86,-80,-89,-81,-83,-90,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459374753,-36,-45,-43,-61,-73,-62,-69,-68,-69,-62,-69,-73,-77,-80,-80,-81,-200,-81,-87,-200,-84,-200,-86,-84,-200,-84,-80,-89,-82,-82,-200,-82,-81,-85,-85,-87,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526459377783,-38,-48,-44,-59,-73,-62,-68,-72,-69,-62,-68,-73,-81,-80,-80,-81,-200,-81,-79,-85,-83,-200,-85,-84,-200,-84,-80,-89,-82,-83,-200,-82,-81,-85,-85,-87,-88,-89,-82,-83,-200,-200,-200,-200,-200,-200
1526459380803,-38,-48,-44,-59,-73,-62,-68,-72,-69,-62,-68,-73,-81,-80,-80,-81,-200,-81,-79,-85,-83,-200,-85,-84,-200,-84,-80,-89,-82,-83,-200,-82,-81,-85,-85,-87,-88,-89,-82,-83,-200,-200,-200,-200,-200,-200
