,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,DLINK_D02A48,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,74:da:da:c1:61:69,74:da:da:98:8f:64,74:da:da:c1:3b:e9,0c:73:eb:d0:76:40,74:da:da:c1:3b:9d,0c:73:eb:d0:19:b0,0c:73:eb:d0:2a:20,0c:73:eb:d0:76:58,0c:73:eb:d0:11:b0,74:da:da:98:7a:6c,74:da:da:c1:61:6a,74:da:da:c1:3b:4d,0c:73:eb:d0:0e:d0,74:da:da:98:ea:4c,74:da:da:c1:4a:7d,0c:73:eb:d0:11:b8,74:da:da:98:db:44,74:da:da:98:7a:4c,0c:73:eb:d0:2a:38,0c:73:eb:d0:2a:48,0c:73:eb:d0:0e:c0,74:da:da:c1:4a:a5,0c:73:eb:d0:19:a8,74:da:da:98:8f:65,74:da:da:c1:3b:4e,0c:73:eb:d0:76:20,74:da:da:c1:3b:ea,74:da:da:c1:3b:9e,0c:73:eb:d0:2a:88,74:da:da:c1:3c:d1,74:da:da:c0:d7:09,74:da:da:c1:3c:6e,74:da:da:c1:3c:91,0c:73:eb:d0:13:c0,0c:73:eb:d0:11:d0,0c:73:eb:d0:2a:28,74:da:da:98:db:45,74:da:da:98:ea:4d,74:da:da:c1:3c:6d,74:da:da:c1:3c:8d,74:da:da:98:7a:60,74:da:da:98:7a:50,74:da:da:c0:e0:71,74:da:da:98:7a:68,0c:73:eb:d0:19:98,74:da:da:c1:4a:c9
1526464458244,-32,-40,-44,-46,-47,-49,-49,-50,-50,-50,-52,-52,-52,-57,-59,-61,-63,-63,-64,-66,-68,-68,-70,-72,-72,-73,-73,-74,-74,-75,-75,-76,-76,-76,-76,-77,-86,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526464461258,-26,-42,-38,-41,-47,-45,-49,-47,-54,-50,-55,-53,-53,-200,-59,-67,-63,-63,-63,-66,-73,-68,-66,-74,-72,-73,-72,-71,-74,-75,-75,-72,-76,-69,-76,-200,-86,-91,-43,-65,-70,-200,-200,-200,-200,-200
1526464464273,-26,-42,-38,-36,-47,-45,-49,-47,-54,-50,-55,-53,-53,-200,-59,-67,-63,-63,-63,-66,-73,-68,-66,-74,-72,-73,-72,-71,-74,-75,-75,-72,-200,-69,-76,-200,-86,-200,-43,-65,-70,-200,-200,-200,-200,-200
1526464467282,-31,-49,-37,-36,-51,-42,-53,-47,-55,-58,-55,-52,-52,-200,-59,-67,-64,-67,-63,-66,-79,-68,-66,-74,-72,-66,-72,-73,-74,-75,-75,-73,-200,-69,-70,-78,-86,-200,-49,-65,-70,-200,-200,-200,-200,-200
1526464470298,-31,-49,-37,-35,-51,-42,-53,-47,-55,-58,-55,-52,-52,-200,-59,-67,-64,-67,-63,-66,-79,-68,-66,-74,-72,-66,-72,-73,-74,-75,-75,-73,-200,-69,-70,-78,-86,-200,-49,-65,-70,-200,-200,-200,-200,-200
1526464473306,-30,-49,-36,-37,-45,-46,-51,-43,-55,-60,-52,-48,-55,-200,-59,-66,-64,-67,-63,-62,-79,-68,-70,-72,-74,-65,-68,-69,-74,-200,-75,-72,-70,-68,-70,-78,-86,-200,-49,-65,-70,-65,-83,-200,-200,-200
1526464476320,-30,-49,-36,-39,-45,-46,-51,-43,-55,-60,-52,-48,-55,-200,-59,-66,-64,-67,-63,-62,-79,-68,-70,-72,-74,-65,-68,-69,-74,-200,-75,-72,-70,-68,-70,-78,-86,-200,-49,-65,-70,-65,-83,-200,-200,-200
1526464479342,-30,-40,-36,-38,-41,-50,-51,-44,-55,-61,-52,-48,-55,-59,-49,-70,-64,-69,-67,-60,-79,-68,-70,-74,-74,-67,-66,-69,-74,-200,-75,-74,-70,-68,-70,-78,-87,-200,-49,-65,-71,-65,-83,-77,-200,-200
1526464482364,-30,-40,-36,-38,-41,-50,-51,-44,-55,-61,-52,-48,-55,-59,-49,-70,-64,-69,-67,-60,-79,-68,-70,-74,-74,-67,-66,-69,-74,-200,-75,-74,-70,-68,-70,-78,-87,-200,-49,-65,-71,-65,-83,-77,-200,-200
