,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A48,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,74:da:da:c1:61:69,74:da:da:c1:3b:9d,74:da:da:98:8f:64,0c:73:eb:d0:76:40,74:da:da:c1:3b:4d,0c:73:eb:d0:19:b0,74:da:da:c1:3c:6d,0c:73:eb:d0:76:58,74:da:da:c1:61:6a,74:da:da:c1:17:75,0c:73:eb:d0:11:b0,74:da:da:c1:3b:e9,74:da:da:98:db:44,0c:73:eb:d0:2a:20,74:da:da:98:7a:6c,74:da:da:98:8f:65,0c:73:eb:d0:76:20,0c:73:eb:d0:19:a8,0c:73:eb:d0:19:98,74:da:da:c1:3b:4e,74:da:da:98:7a:60,0c:73:eb:d0:2a:38,74:da:da:c1:3c:d1,0c:73:eb:d0:0e:d0,0c:73:eb:d0:2a:48,0c:73:eb:d0:0e:c0,74:da:da:98:ea:4c,74:da:da:c1:3c:6e,74:da:da:c1:3b:9e,0c:73:eb:d0:76:48,74:da:da:c1:3c:91,74:da:da:98:db:45,0c:73:eb:d0:11:d0,74:da:da:c1:3b:ea,0c:73:eb:d0:2a:18,74:da:da:98:ea:4d,74:da:da:98:8f:31,0c:73:eb:d0:13:c0,c0:61:18:93:3e:54,74:da:da:c1:4a:7d,74:da:da:c0:d7:09,74:da:da:98:8f:30,74:da:da:c1:14:99,74:da:da:c1:4a:f5,74:da:da:c0:d8:25,0c:73:eb:d0:2a:28,74:da:da:98:7a:4c,0c:73:eb:d0:11:b8,74:da:da:c0:e0:71
1526464221865,-29,-43,-44,-45,-45,-47,-47,-52,-56,-56,-56,-57,-58,-60,-60,-61,-61,-62,-62,-63,-64,-64,-65,-66,-66,-67,-67,-69,-70,-71,-72,-76,-77,-78,-81,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464224876,-29,-43,-44,-45,-45,-47,-47,-52,-56,-56,-56,-57,-58,-60,-60,-61,-61,-63,-200,-63,-64,-64,-65,-66,-66,-67,-67,-69,-70,-71,-72,-76,-77,-78,-81,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464227895,-28,-41,-44,-41,-48,-47,-47,-49,-56,-56,-57,-50,-62,-67,-65,-60,-64,-63,-200,-64,-64,-64,-73,-68,-66,-67,-67,-75,-72,-71,-72,-74,-69,-80,-81,-88,-89,-73,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464230905,-28,-41,-44,-41,-48,-47,-47,-49,-56,-56,-57,-50,-62,-67,-65,-60,-64,-63,-200,-64,-64,-64,-73,-68,-66,-67,-67,-75,-72,-71,-72,-74,-69,-80,-81,-88,-89,-73,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464233941,-28,-41,-44,-41,-47,-47,-47,-49,-56,-56,-57,-50,-62,-63,-65,-60,-64,-64,-64,-66,-64,-64,-73,-68,-66,-66,-67,-71,-71,-71,-72,-78,-69,-83,-81,-88,-89,-73,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464236952,-28,-41,-44,-41,-47,-47,-47,-49,-56,-56,-57,-50,-62,-63,-65,-60,-64,-64,-64,-66,-200,-64,-73,-68,-66,-66,-67,-71,-71,-71,-72,-78,-69,-83,-81,-88,-89,-73,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464239967,-28,-43,-47,-40,-49,-49,-47,-49,-56,-67,-58,-54,-63,-63,-65,-60,-60,-64,-64,-65,-63,-64,-73,-65,-66,-66,-67,-76,-70,-71,-78,-81,-69,-82,-74,-88,-89,-73,-84,-52,-65,-76,-88,-91,-91,-200,-200,-200,-200
1526464242986,-30,-47,-46,-40,-49,-50,-51,-49,-54,-67,-61,-55,-59,-60,-60,-64,-60,-64,-64,-63,-63,-64,-73,-60,-67,-66,-67,-69,-70,-71,-78,-76,-67,-80,-74,-88,-89,-69,-84,-53,-65,-76,-88,-91,-91,-78,-200,-200,-200
1526464246002,-30,-47,-46,-40,-49,-50,-51,-49,-54,-67,-61,-55,-59,-60,-60,-64,-60,-66,-64,-63,-63,-200,-73,-60,-67,-66,-67,-69,-70,-200,-78,-76,-67,-80,-74,-88,-89,-69,-84,-53,-65,-76,-88,-91,-91,-78,-200,-200,-200
1526464249026,-31,-58,-45,-41,-45,-50,-43,-49,-58,-67,-64,-56,-63,-58,-60,-65,-66,-64,-64,-69,-63,-61,-74,-61,-65,-68,-65,-75,-73,-200,-78,-81,-67,-82,-74,-88,-89,-69,-84,-53,-65,-76,-88,-91,-91,-78,-74,-200,-200
1526464252041,-31,-58,-45,-41,-45,-50,-43,-49,-58,-67,-64,-56,-63,-58,-60,-65,-66,-66,-64,-69,-63,-61,-74,-61,-65,-68,-65,-75,-73,-200,-78,-81,-67,-82,-74,-88,-89,-69,-84,-53,-65,-76,-88,-91,-91,-78,-74,-200,-200
1526464255057,-31,-58,-45,-41,-45,-46,-43,-49,-62,-67,-62,-56,-63,-54,-60,-69,-67,-66,-62,-68,-58,-61,-74,-60,-69,-68,-65,-75,-73,-200,-78,-82,-75,-84,-74,-87,-89,-69,-200,-53,-65,-76,-88,-91,-91,-76,-74,-72,-200
