,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:13:d8,74:da:da:c1:03:2d,0c:73:eb:d0:11:f8,74:da:da:c1:3a:8d,74:da:da:c1:3b:29,74:da:da:c1:3a:81,0c:73:eb:d0:11:d8,0c:73:eb:d0:7c:40,d8:15:0d:6c:13:98,74:da:da:c1:02:8d,74:da:da:c0:d7:0d,0c:73:eb:d0:7e:d0,74:da:da:c1:48:bd,74:da:da:c1:6b:4d,0c:73:eb:d0:7c:28,74:da:da:c0:f6:15,0c:73:eb:d0:11:c0,74:da:da:c1:3a:dd,0c:73:eb:d0:7c:08
1526461053926,-66,-67,-71,-78,-80,-81,-82,-83,-84,-88,-90,-90,-91,-200,-200,-200,-200,-200,-200
1526461056945,-66,-67,-71,-78,-80,-81,-82,-83,-84,-88,-90,-90,-91,-200,-200,-200,-200,-200,-200
1526461059967,-66,-67,-71,-78,-80,-81,-82,-83,-84,-88,-90,-90,-91,-200,-200,-200,-200,-200,-200
1526461062984,-74,-68,-73,-78,-84,-88,-83,-86,-85,-200,-89,-200,-91,-94,-200,-200,-200,-200,-200
1526461066006,-74,-68,-73,-78,-84,-88,-83,-86,-85,-200,-89,-200,-91,-94,-200,-200,-200,-200,-200
1526461069029,-74,-68,-73,-78,-84,-88,-83,-86,-85,-200,-89,-200,-91,-94,-200,-200,-200,-200,-200
1526461072056,-75,-68,-82,-73,-86,-78,-83,-91,-84,-200,-89,-200,-200,-94,-90,-91,-93,-200,-200
1526461075063,-67,-72,-72,-72,-82,-85,-80,-82,-81,-80,-89,-89,-200,-86,-82,-91,-93,-90,-200
1526461078093,-67,-72,-72,-72,-82,-85,-80,-82,-81,-80,-89,-89,-200,-86,-82,-91,-93,-90,-200
1526461081125,-67,-72,-72,-72,-82,-85,-80,-82,-81,-80,-89,-89,-200,-86,-82,-91,-93,-90,-200
1526461084148,-69,-73,-70,-70,-78,-72,-84,-83,-85,-81,-200,-89,-200,-86,-83,-200,-200,-87,-200
1526461087173,-69,-73,-70,-67,-82,-72,-84,-83,-85,-83,-200,-89,-200,-86,-79,-88,-200,-87,-200
1526461090199,-69,-73,-70,-67,-82,-72,-84,-83,-85,-83,-200,-89,-200,-86,-79,-88,-200,-87,-200
1526461093221,-69,-73,-70,-67,-82,-72,-84,-83,-85,-83,-200,-89,-200,-86,-79,-88,-200,-87,-200
1526461096241,-200,-68,-200,-71,-82,-75,-81,-200,-200,-83,-200,-89,-200,-200,-79,-90,-200,-200,-200
1526461099272,-72,-69,-200,-71,-82,-74,-85,-200,-200,-83,-200,-89,-200,-200,-79,-90,-200,-200,-200
1526461102297,-72,-69,-200,-71,-82,-74,-85,-200,-200,-83,-200,-89,-200,-200,-79,-90,-200,-200,-200
1526461105317,-72,-69,-200,-71,-82,-74,-85,-200,-200,-83,-200,-89,-200,-200,-79,-90,-200,-200,-200
1526461108357,-68,-73,-83,-77,-85,-80,-82,-85,-87,-85,-94,-200,-91,-200,-85,-91,-200,-200,-91
1526461111381,-68,-73,-80,-75,-85,-83,-82,-85,-87,-85,-90,-200,-91,-200,-89,-91,-200,-200,-91
1526461114406,-68,-73,-80,-75,-85,-83,-82,-85,-87,-85,-90,-200,-91,-200,-89,-91,-200,-200,-91
