,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,null,vlucci.com AC-V1.4.0.0
,F4:B8:5E:AA:77:73,78:A5:04:41:EB:C9,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2B:D3,7C:66:9D:7B:2B:DE,7C:66:9D:7B:2B:E4,78:A5:04:41:EE:07,7C:66:9D:7B:2E:16,78:A5:04:41:EB:C7,78:A5:04:41:E7:91,78:A5:04:41:E5:56,78:A5:04:41:E7:81,78:A5:04:41:E5:5F,BC:6A:29:BE:2F:12,7C:66:9D:7B:47:3D,BC:6A:29:BE:31:61,78:A5:04:41:E5:77
1526459352159,-72,-94,-71,-66,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459352263,-73,-200,-71,-66,-77,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459352399,-67,-200,-71,-66,-200,-200,-92,-72,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526459352516,-200,-200,-200,-67,-200,-74,-200,-200,-76,-94,-90,-95,-200,-200,-200,-200,-200
1526459352605,-64,-200,-67,-67,-91,-72,-91,-200,-93,-87,-200,-200,-91,-200,-200,-200,-200
1526459357103,-65,-200,-67,-66,-85,-200,-89,-200,-94,-200,-200,-200,-200,-97,-200,-200,-200
1526459357204,-65,-200,-67,-66,-200,-71,-200,-70,-200,-82,-200,-200,-91,-200,-96,-200,-200
1526459357314,-65,-200,-67,-66,-200,-71,-91,-72,-94,-200,-200,-200,-90,-96,-97,-200,-200
1526459357425,-65,-96,-68,-67,-86,-200,-91,-71,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526459357572,-65,-200,-68,-200,-200,-200,-92,-72,-94,-200,-200,-200,-200,-98,-200,-200,-200
1526459362049,-72,-200,-200,-66,-200,-73,-200,-80,-83,-77,-200,-200,-90,-200,-200,-98,-200
1526459362152,-71,-200,-200,-66,-79,-73,-200,-80,-82,-77,-200,-200,-200,-200,-200,-200,-200
1526459362252,-72,-200,-200,-66,-80,-73,-200,-79,-200,-78,-200,-89,-200,-200,-200,-200,-200
1526459362354,-73,-200,-77,-66,-80,-73,-200,-79,-81,-77,-200,-88,-200,-200,-200,-200,-200
1526459362458,-72,-200,-77,-64,-80,-72,-200,-79,-82,-79,-200,-89,-92,-200,-200,-200,-200
1526459362556,-200,-97,-200,-66,-85,-200,-200,-200,-200,-79,-200,-89,-200,-200,-200,-200,-200
1526459367079,-65,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526459367182,-64,-200,-71,-67,-85,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459367392,-64,-200,-72,-67,-200,-75,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526459367502,-200,-200,-72,-67,-84,-75,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95
1526459372033,-67,-101,-68,-66,-200,-73,-94,-200,-93,-82,-200,-200,-91,-200,-95,-200,-200
