,0113.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1,null,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,0115.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,7C:66:9D:7B:2B:BA,7C:66:9D:7B:2B:DE,7C:66:9D:7B:2B:D3,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2E:16,BC:6A:29:BE:2F:12,F4:B8:5E:AA:77:73,78:A5:04:41:E7:91,78:A5:04:41:EB:C7,78:A5:04:41:EE:07,BC:6A:29:BE:31:61,7C:66:9D:7B:2B:E4,78:A5:04:41:E5:56,78:A5:04:41:E5:5F,78:A5:04:41:E7:81,78:A5:04:41:E5:77,78:A5:04:41:EB:C9,78:A5:04:41:E7:A2,78:A5:04:41:E9:E0,7C:66:9D:7B:47:3D
1526460057018,-200,-84,-63,-73,-200,-200,-74,-78,-200,-200,-90,-74,-89,-200,-200,-200,-200,-200,-200,-200
1526460057140,-200,-84,-64,-200,-65,-200,-74,-78,-200,-200,-200,-73,-200,-92,-200,-200,-200,-200,-200,-200
1526460057233,-200,-85,-64,-72,-67,-200,-74,-78,-200,-200,-200,-74,-86,-91,-200,-200,-200,-200,-200,-200
1526460057339,-200,-84,-64,-73,-65,-95,-74,-78,-200,-200,-86,-73,-200,-91,-200,-200,-200,-200,-200,-200
1526460057480,-200,-85,-64,-73,-66,-200,-74,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460057544,-200,-85,-63,-200,-200,-200,-73,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460062065,-200,-76,-200,-200,-62,-200,-70,-200,-93,-200,-85,-200,-200,-200,-94,-200,-200,-200,-200,-200
1526460062171,-200,-76,-68,-66,-200,-200,-69,-81,-93,-88,-85,-63,-86,-92,-200,-200,-200,-200,-200,-200
1526460062267,-200,-76,-200,-65,-200,-200,-70,-200,-93,-87,-200,-62,-200,-91,-94,-200,-200,-200,-200,-200
1526460062373,-200,-77,-68,-66,-62,-200,-70,-200,-200,-88,-200,-62,-200,-91,-94,-92,-200,-200,-200,-200
