,null,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,null,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,BC:6A:29:BE:2F:12,78:A5:04:41:E7:D5,7C:66:9D:7B:2B:CB,7C:66:9D:7B:46:8C,7C:66:9D:7B:47:3D,78:A5:04:41:EE:15,BC:6A:29:BE:31:61,78:A5:04:41:EE:1D,7C:66:9D:7B:2B:BA,78:A5:04:41:E5:70,78:A5:04:41:E7:EF,78:A5:04:41:EB:DD,78:A5:04:41:E7:93
1526442566134,-81,-89,-67,-72,-69,-83,-87,-81,-200,-200,-200,-200,-200
1526442566245,-84,-200,-67,-71,-68,-86,-87,-200,-200,-200,-200,-200,-200
1526442566349,-200,-200,-65,-71,-200,-200,-84,-200,-200,-200,-200,-200,-200
1526442570982,-77,-200,-76,-70,-200,-200,-72,-76,-200,-200,-200,-200,-200
1526442571075,-77,-91,-200,-70,-59,-200,-77,-76,-88,-200,-200,-200,-200
1526442571182,-77,-200,-75,-71,-59,-200,-72,-76,-200,-200,-200,-200,-200
1526442571293,-78,-200,-200,-70,-59,-200,-70,-200,-87,-92,-200,-200,-200
1526442575985,-87,-200,-62,-200,-66,-200,-200,-79,-200,-88,-200,-200,-200
1526442576101,-87,-200,-200,-200,-62,-83,-86,-79,-89,-200,-200,-200,-200
1526442576236,-86,-200,-62,-200,-62,-83,-200,-200,-200,-89,-200,-200,-200
1526442576351,-85,-88,-63,-200,-200,-82,-200,-79,-200,-200,-200,-200,-200
1526442581046,-81,-200,-65,-200,-75,-83,-200,-84,-83,-200,-90,-200,-200
1526442581159,-80,-88,-65,-66,-74,-83,-200,-200,-83,-89,-200,-200,-200
1526442581256,-81,-86,-64,-66,-200,-82,-200,-200,-200,-89,-200,-200,-200
1526442581367,-82,-200,-200,-66,-74,-84,-94,-200,-200,-200,-200,-200,-200
1526442585997,-76,-200,-64,-75,-68,-200,-200,-77,-83,-200,-200,-90,-200
1526442586095,-76,-92,-200,-200,-74,-200,-82,-200,-200,-200,-200,-200,-200
1526442586204,-77,-200,-200,-77,-72,-200,-84,-80,-83,-200,-200,-90,-200
1526442586308,-79,-200,-68,-79,-66,-200,-86,-200,-83,-200,-200,-200,-200
1526442586415,-200,-200,-200,-200,-71,-200,-86,-200,-84,-200,-200,-200,-200
1526442591030,-92,-200,-200,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200
1526442591138,-84,-200,-200,-200,-62,-200,-200,-200,-200,-200,-90,-200,-200
1526442591295,-85,-200,-59,-200,-57,-200,-200,-200,-200,-200,-200,-200,-200
1526442591401,-84,-200,-200,-200,-58,-200,-200,-200,-82,-200,-200,-200,-200
1526442591530,-200,-200,-59,-74,-59,-200,-94,-200,-82,-200,-200,-200,-200
1526442595981,-89,-90,-71,-70,-76,-200,-92,-84,-200,-200,-86,-200,-200
1526442596079,-89,-89,-71,-200,-75,-84,-92,-84,-81,-200,-200,-200,-200
1526442596189,-200,-200,-71,-70,-74,-200,-92,-200,-81,-200,-87,-200,-200
1526442596295,-200,-200,-69,-69,-74,-84,-200,-83,-82,-200,-87,-200,-200
1526442596395,-78,-200,-69,-69,-75,-84,-78,-84,-200,-200,-87,-200,-200
1526442601006,-200,-91,-200,-76,-56,-84,-78,-200,-200,-200,-200,-200,-200
1526442601215,-84,-91,-200,-200,-57,-83,-200,-77,-200,-200,-200,-200,-92
1526442601320,-87,-200,-67,-82,-58,-82,-78,-79,-200,-200,-200,-200,-92
1526442605988,-89,-89,-61,-66,-67,-82,-80,-200,-85,-86,-200,-200,-200
1526442606084,-200,-200,-62,-70,-67,-80,-81,-77,-200,-86,-200,-200,-200
1526442606195,-88,-89,-61,-72,-66,-200,-81,-77,-200,-86,-200,-200,-200
1526442606299,-200,-200,-61,-70,-200,-200,-81,-77,-85,-86,-200,-200,-200
1526442606404,-84,-200,-67,-71,-200,-200,-85,-200,-81,-200,-85,-200,-200
1526442611047,-85,-200,-200,-74,-72,-200,-83,-81,-81,-200,-200,-200,-200
1526442611149,-200,-200,-67,-75,-72,-82,-84,-200,-82,-200,-84,-200,-200
1526442611307,-85,-200,-66,-74,-71,-200,-84,-200,-81,-200,-85,-200,-200
1526442611397,-200,-200,-200,-200,-61,-82,-200,-200,-82,-200,-200,-200,-200
1526442616003,-200,-91,-64,-76,-66,-86,-200,-85,-81,-200,-200,-200,-200
1526442616106,-200,-200,-64,-77,-61,-86,-83,-85,-80,-200,-200,-200,-200
1526442616261,-200,-200,-66,-77,-61,-200,-84,-84,-79,-200,-200,-200,-200
1526442616418,-200,-200,-63,-76,-60,-200,-79,-77,-200,-200,-200,-200,-200
1526442621019,-200,-200,-62,-76,-68,-200,-79,-77,-82,-200,-200,-200,-200
1526442621131,-200,-200,-62,-75,-68,-200,-200,-77,-83,-87,-200,-200,-200
1526442621235,-200,-200,-62,-75,-200,-81,-80,-78,-82,-86,-200,-200,-200
1526442621396,-83,-200,-62,-75,-200,-200,-80,-200,-200,-200,-86,-200,-200
1526442626025,-83,-89,-65,-200,-72,-84,-200,-79,-84,-200,-85,-200,-200
1526442626112,-200,-89,-65,-74,-73,-84,-87,-79,-200,-200,-200,-200,-200
1526442626217,-200,-89,-65,-72,-200,-84,-86,-200,-84,-200,-200,-200,-200
1526442626345,-200,-200,-200,-72,-200,-200,-200,-200,-84,-200,-85,-200,-200
