,null,null,0114.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0113.0012-vlucci.com A1.4.0.1,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,BC:6A:29:BE:31:61,7C:66:9D:7B:46:8C,7C:66:9D:7B:2B:CB,78:A5:04:41:E5:70,78:A5:04:41:EE:1D,7C:66:9D:7B:2B:BA,BC:6A:29:BE:2F:12,7C:66:9D:7B:47:3D,78:A5:04:41:E7:93,78:A5:04:41:EE:15,78:A5:04:41:E7:EF,78:A5:04:41:E7:98,78:A5:04:41:EB:DD,78:A5:04:41:E7:A2,78:A5:04:41:EB:CE
1526442021090,-76,-78,-80,-90,-83,-83,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526442021194,-77,-80,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442021307,-76,-86,-78,-200,-200,-200,-76,-67,-200,-200,-200,-200,-200,-200,-200
1526442021424,-78,-67,-66,-200,-67,-77,-82,-75,-86,-200,-200,-200,-200,-200,-200
1526442026077,-76,-68,-66,-200,-68,-78,-200,-74,-200,-90,-200,-200,-200,-200,-200
1526442026210,-78,-68,-200,-200,-68,-76,-200,-71,-86,-91,-90,-200,-200,-200,-200
1526442026321,-200,-79,-64,-200,-68,-75,-77,-68,-86,-82,-89,-200,-200,-200,-200
1526442031054,-200,-200,-64,-200,-200,-200,-68,-75,-88,-83,-83,-91,-89,-200,-200
1526442031151,-82,-81,-200,-83,-200,-76,-63,-74,-88,-82,-200,-200,-89,-200,-200
1526442031257,-83,-78,-65,-83,-78,-76,-200,-74,-88,-83,-82,-200,-200,-200,-200
1526442031362,-200,-200,-200,-200,-77,-83,-200,-73,-200,-200,-200,-200,-200,-200,-200
1526442035988,-75,-75,-74,-200,-200,-200,-200,-70,-200,-89,-85,-200,-200,-200,-200
1526442036083,-74,-200,-200,-92,-81,-200,-69,-69,-89,-89,-85,-200,-200,-200,-200
1526442036181,-74,-77,-74,-92,-200,-200,-69,-69,-200,-89,-85,-200,-200,-200,-200
1526442036281,-200,-77,-200,-200,-200,-200,-71,-69,-200,-89,-85,-200,-200,-200,-200
1526442036385,-200,-200,-200,-86,-200,-82,-200,-68,-200,-89,-85,-200,-200,-200,-200
1526442041038,-75,-200,-200,-200,-200,-200,-82,-200,-200,-89,-200,-200,-200,-200,-200
1526442041143,-200,-76,-200,-200,-200,-200,-83,-200,-200,-90,-85,-200,-200,-86,-200
1526442041249,-200,-76,-74,-85,-68,-70,-83,-81,-200,-89,-85,-200,-200,-200,-200
1526442041344,-74,-200,-70,-86,-69,-69,-200,-200,-200,-90,-200,-200,-200,-86,-200
1526442046004,-90,-74,-64,-82,-72,-78,-200,-72,-200,-200,-200,-200,-200,-200,-200
1526442046131,-91,-69,-63,-82,-69,-200,-200,-77,-91,-85,-200,-200,-200,-200,-200
1526442046235,-89,-74,-64,-83,-81,-78,-200,-74,-200,-85,-200,-200,-200,-200,-200
1526442046377,-200,-67,-64,-200,-200,-200,-200,-74,-200,-86,-200,-200,-200,-200,-200
1526442050982,-200,-77,-200,-200,-82,-83,-70,-76,-200,-88,-200,-92,-200,-200,-200
1526442051133,-200,-78,-72,-200,-82,-200,-200,-75,-200,-200,-83,-92,-200,-200,-200
1526442051236,-200,-77,-200,-200,-81,-83,-71,-76,-200,-88,-200,-200,-200,-200,-200
1526442051346,-200,-200,-200,-200,-81,-200,-72,-76,-200,-200,-84,-200,-200,-200,-200
1526442051452,-78,-83,-200,-200,-81,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200
1526442056101,-78,-75,-67,-93,-200,-200,-200,-72,-200,-88,-200,-200,-200,-200,-200
1526442056418,-77,-200,-67,-200,-80,-200,-200,-200,-90,-88,-86,-200,-200,-200,-200
1526442056506,-77,-200,-67,-200,-200,-86,-200,-68,-200,-200,-85,-200,-200,-200,-200
1526442056621,-79,-200,-67,-92,-67,-85,-70,-200,-90,-200,-86,-200,-200,-200,-200
1526442061017,-200,-79,-67,-200,-200,-76,-96,-200,-93,-200,-86,-200,-200,-89,-200
1526442061124,-77,-78,-67,-200,-67,-77,-95,-79,-200,-200,-86,-200,-200,-89,-200
1526442061252,-200,-200,-67,-200,-200,-200,-94,-79,-200,-200,-85,-200,-200,-89,-200
