,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,DLINK_D02A20,D-Link_DIR-823Pro,DLINK_D00ED0
,0c:73:eb:d0:11:b0,74:da:da:98:7a:6c,74:da:da:98:7a:4c,74:da:da:98:7a:60,74:da:da:98:7a:50,0c:73:eb:d0:11:b8,74:da:da:c1:3c:e1,0c:73:eb:d0:13:c0,0c:73:eb:d0:11:d0,74:da:da:c1:61:69,0c:73:eb:d0:7e:e0,74:da:da:c1:3c:91,0c:73:eb:d0:7e:d8,74:da:da:98:7a:68,74:da:da:c0:e0:71,0c:73:eb:d0:7c:48,74:da:da:c1:3c:d1,0c:73:eb:d0:7e:f0,74:da:da:c1:3c:ad,0c:73:eb:d0:76:40,74:da:da:c1:4a:f5,74:da:da:98:7a:6d,74:da:da:98:7a:51,74:da:da:c1:4a:ed,74:da:da:98:74:94,74:da:da:98:7a:4d,74:da:da:c0:f3:01,74:da:da:c1:3b:9d,74:da:da:c1:3c:e2,0c:73:eb:d0:19:b0,0c:73:eb:d0:76:58,74:da:da:98:8f:64,74:da:da:98:7a:69,0c:73:eb:d0:7c:38,74:da:da:98:7a:61,74:da:da:c1:3c:d2,74:da:da:c1:3c:92,74:da:da:c1:3b:4a,74:da:da:98:92:14,74:da:da:c1:56:ed,74:da:da:c1:4a:c9,74:da:da:c1:3c:ae,74:da:da:c0:e0:82,74:da:da:98:92:15,74:da:da:c1:3b:49,74:da:da:c1:3c:99,74:da:da:c1:4a:7d,0c:73:eb:d0:13:a8,0c:73:eb:d0:2a:20,74:da:da:c1:3b:4d,0c:73:eb:d0:0e:d0
1526466442813,-27,-35,-38,-39,-39,-40,-43,-48,-51,-54,-56,-56,-57,-57,-57,-58,-58,-60,-60,-61,-62,-63,-66,-67,-67,-69,-70,-70,-71,-71,-71,-72,-74,-74,-77,-82,-85,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466445554,-28,-35,-38,-39,-39,-40,-43,-48,-51,-54,-56,-56,-57,-57,-57,-58,-58,-60,-60,-61,-62,-63,-66,-67,-67,-69,-70,-70,-71,-71,-71,-72,-74,-74,-77,-82,-85,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466445832,-28,-35,-38,-39,-39,-40,-43,-48,-51,-54,-56,-56,-57,-57,-57,-58,-58,-60,-60,-61,-62,-63,-66,-67,-67,-69,-70,-70,-71,-71,-71,-72,-74,-74,-77,-82,-85,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466448574,-26,-37,-38,-39,-43,-39,-44,-48,-51,-50,-56,-53,-61,-57,-65,-58,-58,-57,-60,-57,-59,-59,-64,-67,-67,-65,-70,-71,-78,-68,-71,-72,-70,-74,-76,-86,-82,-87,-68,-73,-73,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526466448864,-27,-37,-38,-39,-43,-39,-44,-48,-51,-50,-56,-53,-61,-57,-65,-58,-58,-57,-60,-57,-59,-59,-64,-67,-67,-65,-70,-71,-78,-68,-71,-72,-70,-74,-76,-86,-82,-87,-68,-73,-73,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526466451593,-27,-37,-38,-39,-43,-39,-44,-48,-51,-50,-56,-53,-61,-57,-65,-58,-58,-57,-200,-57,-59,-59,-64,-200,-67,-65,-70,-71,-78,-68,-71,-72,-70,-74,-76,-86,-82,-87,-68,-73,-73,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526466451883,-27,-37,-38,-39,-43,-39,-44,-48,-51,-50,-56,-53,-61,-57,-65,-58,-58,-57,-200,-57,-59,-59,-64,-200,-67,-65,-70,-71,-78,-68,-71,-72,-70,-74,-76,-86,-82,-87,-68,-73,-73,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526466454606,-27,-37,-36,-39,-43,-39,-47,-48,-51,-50,-61,-53,-61,-54,-65,-59,-54,-57,-200,-55,-59,-57,-64,-75,-67,-65,-70,-71,-70,-68,-71,-72,-73,-74,-84,-86,-84,-87,-68,-73,-73,-86,-89,-88,-200,-200,-200,-200,-200,-200,-200
1526466454900,-29,-37,-36,-39,-43,-39,-47,-48,-51,-50,-61,-53,-61,-54,-65,-59,-54,-57,-200,-55,-59,-57,-64,-75,-67,-65,-70,-71,-70,-68,-71,-72,-73,-74,-84,-86,-84,-87,-68,-73,-73,-86,-89,-88,-200,-200,-200,-200,-200,-200,-200
1526466457626,-29,-37,-37,-41,-43,-39,-47,-48,-51,-53,-57,-53,-61,-54,-65,-59,-54,-57,-200,-52,-64,-58,-63,-75,-67,-63,-70,-71,-68,-68,-71,-72,-70,-200,-81,-88,-84,-87,-68,-73,-73,-88,-89,-88,-200,-200,-200,-200,-200,-200,-200
1526466457915,-25,-37,-37,-41,-43,-39,-47,-48,-51,-53,-57,-53,-61,-54,-65,-59,-54,-57,-200,-52,-64,-58,-63,-75,-67,-63,-70,-71,-68,-68,-71,-72,-70,-200,-81,-88,-84,-87,-68,-73,-73,-88,-89,-88,-200,-200,-200,-200,-200,-200,-200
1526466460635,-25,-37,-37,-41,-43,-39,-47,-48,-51,-53,-57,-53,-61,-54,-65,-59,-54,-57,-200,-52,-64,-58,-63,-75,-67,-63,-70,-71,-68,-68,-71,-72,-70,-200,-81,-88,-84,-87,-68,-73,-73,-88,-89,-88,-200,-200,-200,-200,-200,-200,-200
1526466460927,-25,-37,-37,-41,-43,-39,-47,-48,-51,-53,-57,-53,-61,-54,-65,-59,-54,-57,-200,-52,-64,-58,-63,-75,-67,-63,-70,-71,-68,-68,-71,-72,-70,-200,-81,-88,-84,-87,-68,-73,-73,-88,-89,-88,-200,-200,-200,-200,-200,-200,-200
1526466463663,-25,-42,-37,-41,-43,-41,-47,-45,-49,-51,-61,-53,-61,-52,-65,-64,-52,-60,-70,-55,-64,-62,-65,-66,-67,-70,-70,-74,-77,-68,-71,-72,-71,-72,-76,-87,-82,-89,-68,-73,-73,-88,-89,-88,-68,-81,-200,-200,-200,-200,-200
1526466463946,-24,-42,-37,-41,-43,-41,-47,-45,-49,-51,-61,-53,-61,-52,-65,-64,-52,-60,-70,-55,-64,-62,-65,-66,-200,-70,-200,-74,-77,-68,-200,-200,-71,-72,-76,-87,-82,-89,-68,-73,-73,-88,-89,-88,-68,-81,-200,-200,-200,-200,-200
1526466466676,-24,-42,-37,-41,-43,-41,-47,-45,-49,-51,-61,-53,-61,-52,-65,-64,-52,-60,-70,-55,-64,-62,-65,-66,-200,-70,-200,-74,-77,-68,-200,-200,-71,-72,-76,-87,-82,-89,-68,-73,-73,-88,-89,-88,-68,-81,-200,-200,-200,-200,-200
1526466466971,-24,-42,-37,-41,-43,-41,-47,-45,-49,-51,-61,-53,-61,-52,-65,-64,-52,-60,-70,-55,-64,-62,-65,-66,-200,-70,-200,-74,-77,-68,-200,-200,-71,-72,-76,-87,-82,-89,-68,-73,-73,-88,-89,-88,-68,-81,-200,-200,-200,-200,-200
1526466469698,-24,-44,-37,-42,-42,-36,-49,-44,-53,-49,-61,-53,-61,-52,-65,-65,-52,-60,-67,-63,-61,-62,-69,-66,-200,-67,-200,-74,-72,-68,-200,-200,-74,-72,-75,-86,-86,-86,-68,-73,-73,-88,-89,-89,-68,-81,-79,-200,-200,-200,-200
1526466469990,-27,-44,-37,-42,-42,-36,-49,-44,-53,-49,-61,-53,-61,-52,-65,-65,-52,-60,-67,-63,-61,-62,-69,-66,-200,-67,-200,-74,-72,-68,-200,-200,-74,-72,-75,-86,-86,-86,-200,-200,-200,-88,-200,-89,-68,-81,-79,-200,-200,-200,-200
