,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,BC:6A:29:BE:31:7F,7C:66:9D:7B:2E:21,78:A5:04:41:EB:FE,78:A5:04:41:EB:D8,78:A5:04:41:EB:94,78:A5:04:41:EB:D1,78:A5:04:41:EB:E8,7C:66:9D:7B:47:FC
1526464471697,-93,-93,-200,-200,-200,-200,-200,-200
1526464471820,-92,-200,-89,-80,-200,-200,-200,-200
1526464471926,-92,-92,-83,-81,-200,-200,-200,-200
1526464476403,-95,-200,-83,-81,-90,-200,-200,-200
1526464476477,-200,-200,-83,-81,-200,-200,-200,-200
1526464476635,-200,-200,-200,-81,-200,-200,-200,-200
1526464481255,-200,-200,-200,-82,-200,-200,-200,-200
1526464481357,-200,-97,-200,-82,-200,-200,-200,-200
1526464481447,-95,-200,-87,-82,-200,-200,-200,-200
1526464486280,-92,-90,-200,-81,-200,-200,-200,-200
1526464486415,-93,-91,-200,-81,-200,-89,-200,-200
1526464486499,-92,-90,-88,-81,-200,-90,-200,-200
1526464486642,-92,-200,-87,-81,-200,-89,-92,-200
1526464491364,-95,-200,-83,-81,-200,-200,-200,-200
1526464491471,-96,-102,-83,-81,-200,-200,-92,-200
1526464491568,-96,-200,-200,-80,-200,-200,-200,-200
1526464491669,-96,-200,-200,-200,-200,-200,-200,-200
1526464496285,-103,-200,-200,-82,-200,-200,-200,-200
1526464496615,-104,-200,-83,-81,-200,-200,-200,-96
1526464501343,-200,-200,-83,-200,-200,-200,-200,-98
1526464501445,-200,-96,-83,-200,-200,-200,-200,-98
1526464501548,-200,-95,-83,-200,-200,-200,-200,-97
1526464501649,-200,-200,-83,-200,-200,-90,-200,-200
1526464506272,-95,-200,-89,-200,-89,-91,-200,-200
1526464506372,-94,-200,-91,-200,-90,-91,-200,-200
1526464506474,-200,-200,-89,-91,-89,-91,-200,-200
1526464506586,-96,-200,-90,-85,-91,-200,-89,-200
1526464511353,-97,-200,-92,-85,-200,-90,-200,-200
1526464511471,-200,-200,-200,-85,-200,-200,-200,-200
1526464511573,-96,-200,-200,-85,-90,-200,-90,-200
1526464511686,-99,-200,-200,-85,-87,-200,-85,-98
1526464516469,-97,-200,-200,-200,-200,-88,-200,-200
1526464516650,-99,-99,-200,-86,-200,-89,-86,-200
1526464521247,-98,-95,-200,-84,-86,-91,-200,-200
1526464521411,-98,-200,-200,-84,-86,-200,-200,-200
1526464521502,-96,-94,-200,-84,-86,-200,-200,-200
1526464521621,-99,-200,-200,-84,-87,-200,-200,-200
1526464521728,-200,-200,-200,-84,-200,-90,-88,-200
1526464526376,-98,-200,-200,-200,-200,-90,-89,-200
1526464526588,-97,-200,-200,-87,-200,-90,-88,-200
1526464526698,-98,-200,-200,-86,-200,-91,-200,-200
1526464531252,-97,-99,-84,-86,-200,-200,-200,-200
1526464531428,-200,-200,-84,-200,-200,-90,-200,-96
1526464531527,-98,-200,-84,-87,-200,-200,-86,-200
1526464531632,-98,-98,-84,-200,-200,-200,-200,-200
1526464536239,-97,-93,-200,-83,-86,-200,-200,-200
1526464536379,-200,-93,-200,-83,-200,-200,-200,-200
