,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:2E:21,78:A5:04:41:EB:D8,78:A5:04:41:EB:D1,78:A5:04:41:EB:FE,78:A5:04:41:EB:94,78:A5:04:41:EB:E8,7C:66:9D:7B:47:FC,BC:6A:29:BE:31:7F,78:A5:04:41:E9:E0
1526464401336,-97,-79,-90,-87,-90,-200,-200,-200,-200
1526464401433,-99,-79,-200,-200,-200,-89,-99,-200,-200
1526464401573,-98,-79,-91,-81,-84,-200,-200,-200,-200
1526464406248,-92,-84,-200,-81,-84,-200,-200,-200,-200
1526464406411,-90,-84,-200,-81,-84,-200,-200,-200,-200
1526464406508,-89,-86,-200,-81,-84,-200,-200,-200,-200
1526464406614,-90,-85,-200,-82,-86,-200,-200,-200,-200
1526464411230,-97,-200,-200,-200,-200,-200,-200,-200,-200
1526464411335,-97,-200,-200,-200,-200,-86,-200,-200,-200
1526464411427,-96,-200,-200,-200,-200,-87,-200,-200,-200
1526464411539,-99,-200,-200,-83,-89,-87,-200,-200,-200
1526464411655,-97,-200,-200,-200,-200,-88,-102,-200,-200
1526464416256,-90,-84,-200,-200,-88,-200,-200,-200,-200
1526464416364,-90,-84,-200,-200,-200,-200,-200,-101,-200
1526464416473,-90,-83,-200,-83,-90,-200,-200,-99,-200
1526464416576,-91,-83,-200,-83,-200,-200,-200,-200,-200
1526464416693,-91,-76,-200,-200,-200,-200,-200,-200,-200
1526464421611,-200,-76,-200,-200,-200,-200,-200,-102,-200
1526464421721,-97,-76,-92,-88,-200,-89,-200,-200,-200
1526464426552,-97,-82,-200,-89,-200,-200,-200,-200,-200
1526464431268,-90,-86,-200,-84,-200,-200,-200,-200,-200
1526464431331,-90,-200,-200,-200,-87,-200,-200,-200,-200
1526464431434,-91,-200,-200,-84,-88,-200,-200,-200,-200
1526464431540,-92,-200,-200,-85,-87,-200,-200,-100,-200
1526464431654,-91,-77,-200,-84,-200,-200,-200,-200,-200
1526464436338,-200,-77,-200,-200,-200,-200,-200,-200,-93
1526464436447,-200,-77,-200,-200,-200,-92,-200,-200,-200
1526464436550,-200,-77,-200,-200,-200,-89,-200,-200,-200
1526464441286,-200,-82,-200,-82,-200,-200,-200,-200,-200
1526464441371,-98,-81,-200,-82,-200,-200,-98,-200,-200
1526464441505,-200,-200,-200,-83,-200,-86,-99,-200,-200
1526464441602,-97,-82,-200,-81,-82,-200,-98,-200,-200
1526464446447,-90,-200,-200,-80,-81,-200,-200,-200,-200
1526464446553,-90,-200,-200,-81,-81,-200,-200,-200,-200
1526464446657,-200,-75,-200,-82,-90,-200,-200,-200,-200
1526464451426,-200,-75,-200,-200,-92,-200,-200,-200,-200
1526464451532,-200,-75,-200,-200,-91,-200,-200,-200,-200
1526464451634,-200,-75,-200,-200,-200,-200,-200,-200,-200
1526464456248,-200,-80,-200,-84,-200,-200,-200,-200,-200
1526464456502,-96,-80,-200,-83,-200,-89,-200,-200,-200
1526464456628,-96,-80,-200,-83,-200,-89,-200,-200,-200
1526464461352,-95,-84,-200,-84,-200,-92,-200,-200,-200
1526464461673,-93,-87,-200,-85,-200,-90,-200,-98,-200
