,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:E8,7C:66:9D:7B:2E:21,78:A5:04:41:EB:FE,7C:66:9D:7B:47:FC,78:A5:04:41:E7:81,78:A5:04:41:EB:94,78:A5:04:41:EB:D8,78:A5:04:41:E9:E0,78:A5:04:41:E7:FE,78:A5:04:41:E9:A5,78:A5:04:41:EB:AC,78:A5:04:41:E9:B3,78:A5:04:41:E9:8E,78:A5:04:41:EB:D1
1526464946347,-87,-93,-90,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464946459,-200,-93,-88,-94,-81,-78,-83,-200,-200,-200,-200,-200,-200,-200
1526464946618,-88,-200,-86,-200,-200,-78,-83,-85,-200,-200,-200,-200,-200,-200
1526464951234,-200,-200,-200,-200,-200,-200,-80,-200,-89,-200,-200,-200,-200,-200
1526464951330,-92,-95,-200,-102,-200,-200,-81,-200,-89,-200,-200,-200,-200,-200
1526464951492,-200,-97,-200,-200,-84,-200,-82,-200,-90,-200,-200,-200,-200,-200
1526464951599,-200,-200,-88,-200,-84,-78,-81,-87,-90,-88,-85,-200,-200,-200
1526464956424,-200,-94,-200,-200,-82,-75,-81,-83,-200,-200,-84,-200,-200,-200
1526464956538,-200,-200,-200,-200,-82,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526464956637,-200,-200,-200,-200,-82,-75,-88,-85,-200,-200,-200,-200,-200,-200
1526464961248,-200,-200,-200,-200,-82,-81,-200,-85,-200,-200,-86,-200,-200,-200
1526464961356,-200,-200,-78,-200,-82,-200,-200,-200,-200,-200,-85,-200,-200,-200
1526464961464,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-86,-200,-200,-200
1526464961574,-200,-200,-200,-200,-81,-77,-84,-88,-200,-90,-88,-200,-200,-200
1526464966354,-200,-92,-200,-200,-200,-200,-83,-200,-200,-90,-200,-92,-200,-200
1526464966482,-200,-92,-200,-101,-200,-200,-83,-200,-200,-90,-200,-200,-200,-200
1526464966584,-200,-92,-200,-200,-200,-77,-200,-86,-200,-90,-200,-200,-200,-200
1526464971267,-89,-95,-200,-200,-83,-82,-200,-82,-200,-200,-200,-200,-200,-200
1526464971354,-200,-200,-77,-200,-82,-200,-200,-82,-200,-90,-90,-200,-200,-200
1526464971452,-87,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-92,-200
1526464971557,-200,-200,-78,-200,-82,-82,-77,-200,-200,-200,-89,-200,-200,-200
1526464971666,-200,-96,-76,-97,-82,-77,-200,-83,-200,-200,-200,-200,-200,-200
1526464976385,-200,-200,-200,-200,-80,-78,-200,-83,-200,-200,-200,-200,-200,-200
1526464976492,-200,-96,-76,-200,-200,-78,-200,-83,-200,-200,-200,-200,-200,-200
1526464976591,-200,-200,-200,-200,-200,-79,-200,-83,-200,-200,-200,-200,-200,-88
1526464981246,-200,-96,-200,-200,-84,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526464981528,-200,-104,-200,-200,-82,-200,-78,-200,-200,-200,-200,-200,-200,-88
1526464986355,-200,-200,-200,-200,-84,-80,-200,-200,-200,-200,-200,-200,-200,-89
1526464986456,-88,-200,-200,-200,-83,-79,-78,-200,-200,-200,-200,-200,-200,-88
1526464986585,-200,-95,-200,-200,-200,-80,-78,-200,-200,-200,-200,-200,-200,-200
1526464991233,-200,-95,-200,-93,-82,-80,-83,-85,-200,-91,-200,-200,-200,-200
1526464991344,-200,-200,-200,-94,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526464991447,-200,-99,-200,-95,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200
1526464991686,-200,-100,-200,-94,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200
1526464991876,-88,-200,-200,-103,-200,-78,-83,-200,-200,-94,-200,-200,-200,-200
1526464991962,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464992087,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464996280,-200,-200,-86,-99,-84,-80,-79,-85,-94,-200,-200,-200,-200,-200
1526464996410,-200,-200,-200,-99,-84,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526464996510,-200,-99,-200,-99,-83,-79,-200,-200,-93,-200,-200,-200,-200,-200
1526464996614,-200,-100,-200,-200,-84,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526465001251,-92,-200,-200,-200,-82,-79,-78,-200,-200,-200,-200,-200,-200,-90
1526465001407,-200,-200,-200,-200,-82,-200,-78,-200,-200,-200,-200,-200,-200,-200
1526465001513,-91,-96,-200,-200,-200,-80,-79,-200,-200,-200,-200,-200,-200,-200
1526465001670,-200,-200,-79,-200,-83,-80,-82,-85,-200,-200,-200,-200,-200,-90
1526465006281,-200,-97,-79,-200,-200,-83,-83,-200,-200,-200,-88,-200,-200,-89
1526465006408,-89,-96,-79,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200
1526465006550,-88,-96,-79,-96,-200,-82,-82,-85,-200,-200,-88,-200,-200,-90
1526465006659,-88,-95,-200,-200,-82,-200,-200,-84,-200,-200,-200,-200,-200,-200
