,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:E0,78:A5:04:41:EB:94,78:A5:04:41:EB:FE,78:A5:04:41:EB:D8,78:A5:04:41:EB:85,78:A5:04:41:E7:81,7C:66:9D:7B:2E:21,78:A5:04:41:E9:E3,7C:66:9D:7B:47:FC,78:A5:04:41:EB:D1,BC:6A:29:BE:31:7F,78:A5:04:41:EB:AC,78:A5:04:41:E9:A5,78:A5:04:41:EB:E8
1526464846546,-84,-79,-83,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464846695,-200,-77,-78,-81,-89,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526464846837,-82,-200,-200,-80,-88,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526464851273,-83,-76,-200,-80,-84,-200,-100,-200,-200,-200,-200,-200,-200,-200
1526464851511,-200,-76,-86,-81,-84,-200,-200,-87,-200,-200,-200,-200,-200,-200
1526464851640,-200,-82,-200,-80,-200,-200,-100,-87,-200,-200,-200,-200,-200,-200
1526464856516,-83,-80,-84,-80,-85,-200,-100,-92,-200,-200,-200,-200,-200,-200
1526464857133,-200,-78,-200,-79,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464857236,-86,-200,-87,-79,-200,-87,-200,-200,-96,-200,-200,-200,-200,-200
1526464861331,-88,-92,-86,-200,-200,-88,-200,-200,-97,-91,-200,-200,-200,-200
1526464861508,-88,-200,-84,-200,-200,-200,-100,-200,-94,-200,-200,-200,-200,-200
1526464861608,-88,-200,-84,-200,-92,-89,-100,-89,-95,-200,-200,-200,-200,-200
1526464866302,-83,-200,-200,-200,-200,-89,-97,-200,-200,-200,-200,-200,-200,-200
1526464866414,-84,-80,-80,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526464866517,-200,-79,-81,-79,-92,-90,-97,-88,-96,-200,-200,-200,-200,-200
1526464871252,-200,-88,-79,-76,-200,-200,-92,-200,-100,-200,-200,-200,-200,-200
1526464871356,-200,-86,-200,-76,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200
1526464871465,-85,-200,-200,-75,-200,-200,-92,-200,-96,-200,-200,-200,-200,-200
1526464871631,-84,-84,-200,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200,-200
1526464876243,-88,-84,-81,-78,-200,-90,-200,-92,-89,-200,-200,-200,-200,-200
1526464876347,-200,-200,-200,-78,-200,-200,-200,-89,-89,-200,-200,-200,-200,-200
1526464876460,-200,-200,-200,-78,-200,-200,-200,-90,-89,-200,-99,-200,-200,-200
1526464876565,-90,-82,-200,-78,-200,-200,-200,-90,-90,-200,-200,-200,-200,-200
1526464876662,-200,-200,-200,-200,-200,-200,-92,-88,-94,-200,-200,-200,-200,-200
1526464881427,-88,-200,-74,-200,-200,-200,-92,-200,-92,-200,-200,-200,-200,-200
1526464881517,-88,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200
1526464881634,-200,-200,-76,-200,-200,-200,-200,-200,-94,-200,-200,-88,-200,-200
1526464881741,-200,-200,-76,-200,-200,-200,-200,-200,-94,-200,-200,-87,-200,-200
1526464886290,-200,-88,-77,-82,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200
1526464886381,-200,-89,-77,-82,-200,-200,-200,-87,-88,-200,-200,-200,-200,-200
1526464886490,-200,-87,-79,-84,-200,-200,-99,-87,-88,-200,-200,-200,-200,-200
1526464886586,-88,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526464891240,-82,-80,-81,-80,-89,-87,-94,-200,-200,-200,-200,-200,-200,-200
1526464891445,-82,-80,-81,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526464891578,-82,-79,-81,-200,-92,-200,-95,-200,-200,-200,-200,-200,-200,-200
1526464891671,-200,-80,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464896244,-200,-200,-82,-81,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200
1526464896336,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200
1526464896439,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-90
1526464896564,-200,-82,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-90
1526464896673,-200,-85,-200,-85,-200,-200,-97,-200,-94,-200,-200,-200,-85,-200
1526464901353,-200,-200,-200,-82,-200,-200,-95,-200,-95,-200,-200,-200,-200,-200
1526464901457,-200,-200,-87,-81,-200,-200,-200,-200,-94,-93,-200,-200,-200,-200
1526464901555,-200,-85,-87,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200
1526464901665,-88,-200,-85,-200,-200,-89,-97,-200,-94,-200,-200,-200,-200,-200
1526464906276,-88,-200,-89,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200
1526464906388,-88,-200,-90,-75,-200,-90,-200,-93,-200,-92,-200,-200,-200,-200
1526464906495,-200,-200,-92,-75,-200,-90,-97,-200,-200,-200,-200,-200,-200,-200
1526464906591,-200,-200,-200,-75,-200,-91,-97,-200,-200,-200,-200,-200,-200,-200
1526464906698,-200,-200,-200,-75,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200
