,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:2E:21,78:A5:04:41:EB:E8,78:A5:04:41:EB:D8,78:A5:04:41:EB:FE,78:A5:04:41:EB:D1,7C:66:9D:7B:47:FC,78:A5:04:41:E9:8E,BC:6A:29:BE:31:7F,78:A5:04:41:EB:94
1526465091580,-85,-87,-200,-200,-200,-200,-200,-200,-200
1526465091683,-80,-200,-88,-76,-200,-200,-200,-200,-200
1526465096320,-88,-200,-200,-76,-84,-200,-200,-200,-200
1526465096417,-88,-200,-200,-76,-200,-98,-200,-200,-200
1526465096520,-88,-200,-200,-75,-200,-200,-91,-200,-200
1526465096623,-88,-200,-91,-76,-200,-98,-200,-200,-200
1526465101256,-82,-200,-200,-70,-200,-200,-200,-200,-200
1526465101361,-81,-200,-83,-200,-200,-200,-200,-200,-200
1526465101470,-80,-200,-84,-69,-200,-200,-93,-200,-200
1526465101579,-81,-200,-85,-68,-200,-96,-200,-200,-200
1526465106239,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526465106349,-92,-200,-200,-77,-200,-89,-200,-200,-200
1526465106443,-90,-200,-200,-200,-200,-88,-200,-200,-200
1526465106558,-93,-200,-200,-200,-200,-88,-200,-200,-200
1526465106672,-92,-200,-200,-200,-89,-88,-200,-200,-200
1526465106769,-200,-200,-200,-200,-89,-89,-200,-200,-200
1526465111293,-84,-83,-200,-78,-88,-98,-200,-200,-200
1526465111498,-83,-84,-200,-78,-200,-96,-200,-200,-200
1526465111656,-84,-83,-200,-78,-200,-97,-200,-200,-200
1526465116231,-92,-200,-200,-200,-200,-98,-200,-101,-200
1526465116430,-200,-200,-88,-200,-88,-88,-200,-200,-89
1526465116520,-200,-200,-200,-85,-200,-90,-200,-200,-200
1526465116638,-91,-200,-200,-200,-200,-89,-200,-200,-200
1526465116857,-200,-200,-200,-200,-200,-89,-200,-200,-200
1526465116966,-200,-200,-200,-200,-200,-88,-200,-200,-200
1526465117061,-89,-86,-88,-76,-200,-88,-200,-200,-84
1526465121293,-84,-89,-87,-76,-200,-91,-200,-200,-200
1526465121403,-84,-89,-200,-200,-200,-90,-200,-200,-93
1526465121508,-84,-88,-200,-200,-200,-90,-200,-200,-200
1526465121609,-84,-88,-200,-200,-200,-90,-200,-200,-200
1526465121737,-200,-200,-200,-69,-200,-92,-200,-200,-200
1526465126419,-200,-82,-87,-69,-200,-200,-200,-200,-90
1526465126515,-200,-83,-87,-69,-200,-200,-200,-200,-88
1526465126621,-200,-200,-200,-69,-200,-200,-200,-200,-90
1526465131248,-85,-83,-88,-78,-200,-90,-200,-200,-200
1526465131350,-85,-83,-88,-78,-200,-200,-200,-200,-200
1526465131455,-200,-82,-200,-78,-89,-90,-200,-200,-200
1526465131573,-200,-83,-200,-78,-200,-90,-92,-200,-200
1526465136237,-88,-200,-91,-69,-200,-96,-200,-200,-200
1526465136329,-86,-200,-90,-69,-200,-99,-200,-200,-88
1526465136435,-200,-200,-200,-200,-200,-100,-200,-200,-200
1526465136538,-86,-200,-200,-69,-200,-98,-200,-200,-88
1526465141391,-92,-84,-83,-200,-84,-200,-200,-200,-86
1526465141484,-91,-84,-84,-79,-84,-200,-89,-200,-88
1526465141650,-89,-83,-85,-79,-200,-200,-200,-200,-92
1526465141773,-200,-83,-200,-200,-200,-200,-200,-200,-90
1526465146300,-87,-88,-200,-200,-200,-91,-200,-200,-200
1526465146411,-86,-89,-92,-70,-200,-91,-200,-200,-90
1526465146504,-87,-90,-200,-70,-200,-92,-200,-200,-200
1526465146612,-200,-200,-200,-200,-200,-90,-200,-200,-90
1526465151250,-88,-90,-91,-74,-90,-89,-200,-200,-86
1526465151335,-86,-200,-88,-200,-200,-89,-200,-200,-88
1526465151454,-200,-200,-86,-200,-200,-89,-200,-200,-200
1526465151566,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526465156273,-200,-200,-78,-72,-200,-88,-200,-200,-200
1526465156368,-94,-88,-77,-200,-200,-85,-200,-200,-92
1526465156477,-200,-89,-77,-200,-200,-86,-200,-200,-87
1526465156587,-95,-200,-79,-69,-200,-85,-200,-200,-85
1526465156695,-94,-200,-200,-200,-200,-85,-200,-200,-84
