,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,7C:66:9D:7B:47:FC,78:A5:04:41:EB:94,78:A5:04:41:E9:A5,78:A5:04:41:E9:E0,78:A5:04:41:EB:B7,BC:6A:29:BE:31:7F,78:A5:04:41:EB:85,78:A5:04:41:EB:D1,78:A5:04:41:EB:D8,78:A5:04:41:E7:81,78:A5:04:41:E7:FE,78:A5:04:41:EB:FE,78:A5:04:41:E5:77,78:A5:04:41:E9:E3,78:A5:04:41:E5:56,7C:66:9D:7B:2E:21
1526464326372,-100,-67,-88,-77,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464326455,-92,-200,-200,-200,-90,-99,-82,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526464326560,-200,-200,-200,-77,-200,-200,-81,-86,-80,-200,-200,-200,-200,-200,-200,-200
1526464331262,-200,-80,-200,-200,-200,-200,-86,-87,-200,-86,-86,-90,-200,-200,-200,-200
1526464331328,-200,-79,-85,-83,-92,-200,-86,-87,-200,-86,-87,-91,-88,-200,-200,-200
1526464331444,-200,-79,-85,-200,-200,-200,-200,-87,-85,-86,-200,-91,-200,-200,-200,-200
1526464331587,-200,-80,-85,-200,-200,-200,-200,-88,-200,-85,-87,-200,-88,-92,-200,-200
1526464331653,-200,-76,-90,-89,-200,-200,-200,-87,-79,-86,-200,-200,-200,-200,-90,-200
1526464336353,-200,-81,-88,-200,-200,-200,-82,-200,-78,-82,-200,-200,-200,-200,-91,-200
1526464336467,-200,-83,-87,-200,-200,-200,-83,-200,-77,-83,-200,-82,-200,-200,-200,-200
1526464336606,-200,-200,-200,-86,-200,-200,-84,-200,-200,-81,-200,-90,-200,-200,-200,-99
1526464341276,-200,-76,-200,-85,-200,-200,-79,-200,-85,-82,-87,-200,-200,-200,-200,-200
1526464341364,-200,-200,-200,-80,-200,-200,-200,-200,-80,-81,-200,-85,-89,-200,-200,-101
1526464341589,-200,-200,-200,-200,-200,-200,-200,-200,-78,-81,-94,-81,-200,-200,-200,-200
1526464346561,-200,-200,-200,-86,-200,-200,-200,-200,-79,-200,-200,-82,-200,-200,-200,-200
1526464346663,-200,-200,-200,-88,-200,-200,-200,-200,-80,-200,-200,-83,-200,-200,-200,-200
1526464346770,-200,-200,-89,-87,-200,-200,-200,-200,-79,-200,-200,-82,-200,-200,-200,-200
1526464346874,-100,-200,-89,-88,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-98
1526464351403,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98
1526464351501,-100,-84,-86,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-99
1526464351667,-200,-85,-86,-93,-200,-200,-92,-200,-78,-200,-200,-200,-200,-200,-200,-99
1526464351754,-200,-85,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-97
1526464356285,-200,-200,-200,-88,-200,-200,-92,-200,-76,-200,-200,-88,-200,-200,-200,-200
1526464356392,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-88,-200,-200,-200,-200
1526464356490,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200
1526464356592,-103,-200,-84,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-99
1526464361534,-98,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-100
1526464361691,-103,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464361918,-100,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-100
1526464362048,-200,-84,-200,-200,-200,-200,-90,-200,-79,-200,-200,-200,-200,-200,-200,-98
1526464362276,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200
1526464366273,-200,-200,-200,-89,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200
1526464366371,-200,-200,-84,-89,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200
1526464366590,-200,-200,-84,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464371262,-200,-200,-90,-88,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526464371363,-200,-200,-91,-200,-200,-200,-200,-200,-82,-200,-200,-84,-200,-200,-200,-98
1526464371526,-200,-200,-92,-88,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
1526464371638,-200,-200,-90,-89,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200
1526464371744,-102,-84,-85,-89,-200,-200,-90,-200,-78,-200,-200,-200,-200,-200,-200,-99
1526464376387,-200,-84,-85,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-100
1526464376487,-101,-85,-85,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200
1526464376594,-200,-85,-85,-88,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
1526464381512,-200,-200,-83,-87,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
1526464386594,-200,-200,-84,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
1526464386747,-200,-200,-84,-88,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
1526464386848,-200,-200,-84,-200,-200,-200,-92,-200,-77,-200,-200,-200,-200,-200,-200,-200
