,0116.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1
,7C:66:9D:7B:2B:DE,7C:66:9D:7B:2B:D3
1526460152514,-96,-200
1526460153978,-95,-92
1526460165199,-96,-92
1526460192908,-95,-93
1526460196901,-95,-93
