,011c.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1
,F4:B8:5E:AA:77:73,7C:66:9D:7B:2B:D3,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2E:16,7C:66:9D:7B:2B:E4
1526459685752,-85,-93,-200,-200,-200
1526459686989,-87,-200,-200,-200,-200
1526459687616,-90,-94,-94,-200,-200
1526459699223,-92,-93,-200,-200,-200
1526459700225,-95,-93,-95,-93,-200
1526459703635,-200,-200,-94,-200,-200
1526459704975,-200,-200,-94,-200,-200
1526459705603,-93,-200,-95,-200,-98
1526459707716,-95,-200,-95,-90,-200
1526459712191,-95,-200,-200,-200,-200
1526459712825,-94,-200,-200,-90,-200
1526459713867,-94,-200,-200,-93,-200
1526459714448,-200,-200,-200,-90,-200
1526459717202,-200,-94,-94,-94,-200
1526459719076,-92,-95,-90,-200,-200
1526459723821,-95,-200,-200,-94,-200
1526459724552,-96,-200,-200,-200,-200
1526459725940,-89,-95,-200,-94,-200
1526459734043,-92,-200,-200,-200,-200
1526459735302,-90,-200,-200,-200,-200
1526459736038,-91,-94,-200,-94,-200
1526459738425,-91,-200,-200,-200,-200
1526459739161,-91,-93,-200,-200,-200
