,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:8C,78:A5:04:41:E9:DF,78:A5:04:41:EB:B1,78:A5:04:41:EB:EC,78:A5:04:41:E7:A3,78:A5:04:41:EB:D9,78:A5:04:41:E7:84,78:A5:04:41:E9:9B,78:A5:04:41:E9:E8,78:A5:04:41:E5:75,78:A5:04:41:EE:01,78:A5:04:41:EB:80,78:A5:04:41:E7:85
1526442057654,-80,-93,-93,-77,-82,-97,-200,-200,-200,-200,-200,-200,-200
1526442057746,-78,-92,-92,-200,-83,-200,-75,-75,-200,-200,-200,-200,-200
1526442057854,-79,-92,-93,-78,-83,-97,-75,-76,-200,-200,-200,-200,-200
1526442057981,-200,-91,-200,-77,-83,-200,-76,-78,-200,-200,-200,-200,-200
1526442058071,-200,-91,-93,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200
1526442062519,-77,-93,-95,-75,-200,-94,-87,-70,-96,-97,-92,-200,-200
1526442062637,-76,-200,-95,-74,-96,-93,-200,-71,-97,-200,-200,-200,-200
1526442062886,-200,-200,-200,-76,-200,-200,-200,-70,-200,-200,-200,-200,-200
1526442062999,-76,-101,-200,-200,-98,-200,-200,-71,-200,-200,-200,-200,-200
1526442067549,-73,-200,-200,-82,-97,-200,-200,-68,-200,-200,-200,-200,-200
1526442067639,-73,-200,-200,-200,-94,-200,-76,-67,-200,-200,-200,-96,-200
1526442067754,-73,-200,-94,-82,-93,-200,-200,-68,-200,-200,-200,-200,-200
1526442067846,-72,-200,-92,-82,-200,-200,-200,-68,-200,-200,-200,-200,-200
1526442067958,-73,-200,-92,-88,-93,-200,-77,-69,-200,-200,-200,-200,-200
1526442072571,-85,-200,-200,-88,-88,-200,-75,-75,-200,-200,-200,-200,-200
1526442072681,-84,-200,-200,-200,-87,-200,-75,-75,-200,-200,-200,-200,-200
1526442072777,-84,-92,-200,-89,-88,-200,-75,-75,-200,-200,-200,-200,-200
1526442072895,-83,-93,-200,-87,-86,-200,-74,-75,-200,-200,-200,-200,-200
1526442073000,-84,-94,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200
1526442077527,-79,-200,-200,-78,-84,-93,-200,-71,-95,-200,-200,-200,-200
1526442077635,-78,-200,-200,-77,-84,-200,-86,-70,-98,-200,-200,-200,-200
1526442077743,-79,-200,-200,-77,-84,-200,-87,-200,-200,-200,-200,-200,-200
1526442077847,-78,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200
1526442077945,-77,-200,-200,-78,-83,-200,-200,-71,-200,-200,-200,-200,-200
1526442078053,-78,-200,-98,-81,-200,-200,-200,-72,-200,-200,-200,-200,-200
1526442082587,-72,-200,-200,-82,-94,-200,-89,-200,-200,-200,-200,-200,-200
1526442082721,-72,-200,-200,-81,-93,-200,-87,-73,-200,-200,-200,-200,-200
1526442082784,-73,-200,-200,-81,-93,-200,-87,-73,-200,-200,-200,-200,-200
1526442082888,-73,-200,-200,-81,-92,-200,-89,-73,-200,-200,-200,-200,-200
1526442083064,-72,-200,-200,-84,-82,-200,-85,-73,-200,-200,-200,-200,-200
1526442087629,-85,-91,-200,-83,-82,-200,-74,-73,-200,-200,-200,-200,-200
1526442087744,-84,-200,-200,-85,-200,-200,-75,-74,-200,-200,-200,-200,-200
1526442087843,-84,-96,-200,-84,-200,-200,-200,-74,-200,-200,-200,-200,-200
1526442087935,-83,-96,-200,-200,-200,-200,-75,-74,-200,-200,-200,-200,-200
1526442088042,-82,-97,-200,-200,-87,-200,-84,-74,-200,-200,-200,-200,-200
1526442092610,-200,-200,-200,-78,-86,-200,-86,-69,-200,-200,-200,-200,-200
1526442092726,-80,-200,-200,-79,-86,-200,-85,-70,-200,-200,-200,-200,-200
1526442092818,-200,-200,-200,-80,-200,-200,-200,-69,-200,-200,-200,-200,-200
1526442092922,-80,-200,-200,-78,-200,-200,-87,-69,-200,-200,-200,-200,-200
