,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E5:70,78:A5:04:41:EE:1D,78:A5:04:41:EE:15,78:A5:04:41:E7:88,78:A5:04:41:EB:CE,78:A5:04:41:E7:98,7C:66:9D:7B:46:8C,78:A5:04:41:E7:EF
1526444207133,-66,-90,-78,-92,-200,-200,-200,-200
1526444207226,-66,-200,-77,-91,-78,-200,-200,-200
1526444207337,-66,-200,-77,-200,-200,-94,-200,-200
1526444207437,-66,-89,-77,-90,-200,-200,-200,-200
1526444212035,-67,-85,-86,-83,-70,-200,-200,-200
1526444212134,-67,-200,-86,-83,-200,-92,-200,-200
1526444212247,-67,-86,-85,-200,-69,-200,-200,-200
1526444212347,-67,-86,-86,-200,-68,-200,-200,-200
1526444212445,-67,-200,-200,-83,-200,-92,-98,-200
1526444217201,-72,-200,-77,-83,-200,-200,-200,-200
1526444217314,-72,-200,-200,-83,-200,-200,-98,-200
1526444217425,-73,-200,-77,-200,-90,-200,-200,-200
1526444222052,-200,-200,-80,-200,-80,-200,-200,-200
1526444222157,-64,-200,-80,-200,-80,-200,-200,-200
1526444222261,-64,-200,-80,-200,-80,-200,-200,-91
1526444222376,-200,-200,-80,-89,-80,-200,-200,-200
1526444227040,-200,-90,-200,-200,-65,-90,-200,-200
1526444227145,-69,-90,-200,-85,-64,-200,-200,-200
1526444227363,-69,-200,-200,-86,-64,-200,-200,-200
1526444227469,-69,-200,-200,-86,-64,-200,-200,-200
1526444232053,-73,-200,-76,-83,-85,-87,-200,-200
1526444232123,-73,-200,-77,-83,-200,-88,-98,-200
1526444232251,-200,-200,-200,-200,-200,-200,-99,-200
1526444232368,-200,-200,-200,-200,-200,-200,-98,-200
1526444232473,-200,-200,-200,-200,-200,-90,-98,-200
1526444232572,-200,-200,-200,-200,-87,-90,-97,-200
1526444232667,-73,-200,-77,-200,-83,-88,-102,-200
1526444232864,-200,-91,-82,-88,-80,-88,-97,-200
1526444237133,-64,-90,-82,-88,-80,-200,-200,-200
1526444237243,-65,-90,-82,-200,-200,-200,-200,-200
1526444237356,-64,-90,-81,-200,-80,-200,-200,-200
1526444237458,-65,-90,-81,-88,-200,-88,-200,-200
1526444242085,-68,-200,-200,-84,-65,-89,-200,-200
1526444242199,-69,-200,-200,-200,-200,-92,-200,-200
1526444247092,-200,-200,-200,-200,-82,-86,-200,-200
1526444247158,-73,-200,-76,-83,-200,-87,-200,-200
1526444247266,-200,-200,-77,-83,-83,-88,-98,-200
1526444247363,-200,-200,-200,-200,-83,-87,-98,-200
1526444247495,-200,-200,-76,-84,-82,-200,-98,-200
1526444252042,-200,-91,-80,-88,-80,-200,-200,-200
1526444252131,-65,-92,-80,-88,-80,-200,-200,-200
1526444252241,-64,-92,-80,-88,-80,-200,-200,-200
1526444252338,-64,-200,-80,-200,-80,-200,-200,-200
1526444252432,-200,-200,-200,-200,-79,-200,-200,-200
1526444257114,-72,-200,-76,-83,-82,-87,-200,-200
1526444257196,-200,-200,-200,-84,-81,-87,-100,-200
1526444257307,-74,-200,-200,-84,-81,-88,-200,-200
1526444257405,-72,-200,-77,-84,-81,-200,-200,-200
1526444262053,-65,-87,-78,-87,-77,-200,-200,-200
1526444262145,-65,-200,-78,-88,-77,-200,-200,-200
1526444262258,-65,-200,-78,-87,-79,-200,-200,-90
1526444262360,-65,-200,-78,-88,-79,-200,-200,-200
1526444262456,-66,-200,-78,-83,-69,-200,-200,-200
1526444267803,-200,-200,-87,-200,-200,-200,-200,-200
1526444267920,-200,-200,-86,-200,-200,-200,-200,-200
