,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,0113.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1
,7C:66:9D:7B:46:8C,78:A5:04:41:EE:15,7C:66:9D:7B:47:3D,78:A5:04:41:EE:1D,78:A5:04:41:E7:88,78:A5:04:41:E7:D5,78:A5:04:41:EB:98,78:A5:04:41:EB:CE,78:A5:04:41:E5:70,78:A5:04:41:E7:98,78:A5:04:41:E7:EF,BC:6A:29:BE:31:61,7C:66:9D:7B:2B:BA,BC:6A:29:BE:2F:12,78:A5:04:41:E7:A2,7C:66:9D:7B:2B:CB
1526443907126,-100,-70,-93,-86,-85,-88,-89,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526443907311,-100,-70,-92,-87,-84,-87,-88,-74,-75,-200,-200,-200,-200,-200,-200,-200
1526443907411,-200,-200,-88,-88,-84,-87,-88,-74,-76,-200,-200,-200,-200,-200,-200,-200
1526443912223,-200,-200,-88,-200,-200,-200,-200,-200,-200,-90,-90,-200,-200,-200,-200,-200
1526443912327,-200,-200,-86,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443912412,-97,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443912527,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443912636,-99,-71,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443912837,-96,-200,-88,-200,-200,-200,-200,-69,-200,-90,-200,-200,-200,-200,-200,-200
1526443912941,-200,-64,-86,-200,-200,-200,-200,-69,-79,-91,-200,-200,-200,-200,-200,-200
1526443913058,-200,-200,-88,-200,-200,-200,-200,-75,-82,-200,-91,-200,-200,-200,-200,-200
1526443917064,-200,-200,-88,-78,-84,-200,-200,-200,-200,-87,-200,-98,-200,-200,-200,-200
1526443917158,-102,-200,-88,-77,-200,-200,-200,-75,-83,-200,-200,-96,-200,-200,-200,-200
1526443917252,-200,-200,-88,-78,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200
1526443917366,-99,-200,-87,-77,-83,-200,-200,-75,-85,-200,-200,-200,-200,-200,-200,-200
1526443917454,-200,-74,-88,-77,-200,-200,-200,-74,-81,-87,-200,-200,-200,-200,-200,-200
1526443922101,-97,-74,-97,-200,-83,-90,-89,-74,-81,-90,-200,-200,-200,-200,-200,-200
1526443922220,-95,-75,-96,-91,-200,-90,-200,-74,-80,-90,-200,-200,-200,-200,-200,-200
1526443922351,-200,-75,-200,-200,-200,-200,-89,-200,-80,-200,-200,-200,-200,-200,-200,-200
1526443922475,-200,-200,-200,-88,-200,-200,-200,-74,-80,-200,-94,-200,-200,-200,-200,-200
1526443927067,-200,-66,-200,-200,-88,-200,-200,-69,-82,-200,-92,-200,-200,-200,-200,-200
1526443927168,-200,-65,-87,-200,-88,-200,-200,-70,-81,-200,-200,-200,-200,-200,-200,-200
1526443927265,-101,-65,-200,-89,-200,-200,-200,-69,-82,-200,-200,-200,-200,-200,-200,-200
1526443927391,-200,-64,-88,-200,-200,-200,-200,-69,-200,-200,-92,-200,-200,-200,-200,-200
1526443932034,-97,-200,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443932196,-97,-200,-100,-200,-200,-200,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200
1526443932435,-95,-75,-101,-88,-200,-200,-200,-74,-81,-200,-200,-100,-200,-200,-200,-200
1526443932538,-96,-74,-98,-200,-83,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200
