,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,null,0114.0012-vlucci.com A1.4.0.1,null
,78:A5:04:41:E7:D5,78:A5:04:41:EB:CE,78:A5:04:41:E7:88,78:A5:04:41:EE:15,78:A5:04:41:EE:1D,78:A5:04:41:E5:70,7C:66:9D:7B:47:3D,BC:6A:29:BE:2F:12,78:A5:04:41:E7:A2,7C:66:9D:7B:46:8C,7C:66:9D:7B:2B:CB,BC:6A:29:BE:31:61
1526443982129,-90,-67,-85,-63,-69,-67,-200,-200,-200,-200,-200,-200
1526443982264,-90,-68,-84,-62,-70,-67,-97,-100,-90,-200,-200,-200
1526443982365,-92,-68,-84,-62,-200,-68,-95,-98,-200,-200,-200,-200
1526443987043,-200,-63,-200,-64,-69,-66,-200,-99,-200,-98,-86,-200
1526443987127,-200,-63,-200,-64,-200,-66,-96,-200,-200,-200,-200,-200
1526443987224,-200,-62,-200,-63,-200,-66,-96,-200,-200,-200,-87,-100
1526443987352,-200,-63,-200,-63,-68,-66,-200,-97,-200,-200,-200,-200
1526443987441,-200,-200,-84,-200,-69,-66,-200,-200,-200,-200,-200,-200
1526443992062,-200,-74,-84,-64,-75,-69,-200,-200,-200,-200,-200,-200
1526443992159,-200,-75,-84,-200,-200,-71,-200,-95,-200,-200,-200,-97
1526443992291,-200,-75,-83,-64,-75,-70,-200,-98,-200,-200,-200,-98
1526443992399,-93,-76,-200,-64,-75,-69,-200,-97,-200,-200,-200,-200
1526443997047,-200,-69,-89,-66,-70,-75,-96,-200,-90,-200,-200,-200
1526443997148,-93,-69,-200,-66,-70,-74,-200,-200,-89,-200,-200,-200
1526443997268,-200,-69,-87,-200,-70,-74,-200,-98,-90,-98,-200,-102
1526443997429,-200,-69,-200,-66,-74,-67,-96,-99,-90,-200,-87,-200
1526444002084,-200,-63,-200,-63,-69,-67,-97,-99,-200,-100,-87,-200
1526444002179,-200,-63,-200,-200,-69,-66,-96,-200,-200,-101,-200,-200
1526444002300,-200,-63,-88,-64,-200,-200,-97,-200,-200,-200,-200,-200
1526444002406,-200,-64,-200,-200,-76,-67,-200,-98,-200,-200,-200,-200
1526444007065,-200,-200,-84,-64,-76,-69,-200,-97,-200,-200,-200,-99
1526444007183,-200,-74,-84,-64,-76,-69,-200,-98,-200,-200,-200,-99
1526444007308,-200,-72,-84,-200,-76,-200,-200,-99,-200,-200,-200,-200
1526444007406,-200,-70,-84,-64,-76,-74,-96,-97,-90,-200,-200,-200
1526444012155,-200,-70,-200,-66,-200,-74,-200,-200,-90,-96,-200,-103
1526444012275,-91,-70,-88,-66,-200,-74,-200,-96,-90,-200,-200,-200
1526444012394,-200,-68,-200,-65,-70,-69,-200,-200,-90,-96,-200,-200
1526444012491,-200,-200,-88,-200,-200,-67,-97,-98,-90,-200,-87,-200
1526444017274,-200,-63,-200,-64,-200,-67,-200,-98,-200,-102,-87,-200
1526444017376,-200,-63,-200,-200,-69,-67,-98,-101,-200,-200,-88,-200
1526444017494,-200,-63,-200,-64,-69,-67,-97,-200,-200,-200,-200,-200
1526444022044,-200,-200,-200,-64,-76,-200,-200,-200,-200,-200,-200,-200
1526444022135,-200,-200,-84,-64,-75,-200,-200,-200,-200,-200,-200,-98
1526444022235,-200,-74,-84,-64,-76,-70,-200,-97,-200,-200,-200,-95
1526444022429,-200,-73,-84,-64,-76,-81,-200,-97,-200,-200,-200,-200
1526444027048,-200,-69,-87,-66,-200,-75,-95,-97,-90,-97,-200,-200
1526444027134,-91,-70,-87,-66,-200,-200,-96,-200,-90,-200,-200,-200
1526444027242,-92,-70,-87,-66,-200,-74,-96,-97,-90,-200,-200,-200
1526444027421,-200,-69,-87,-66,-77,-74,-200,-200,-200,-200,-200,-200
1526444032057,-200,-64,-200,-63,-200,-200,-97,-98,-200,-200,-200,-200
1526444032159,-200,-63,-200,-63,-200,-200,-95,-98,-200,-200,-200,-102
1526444032425,-200,-74,-200,-66,-76,-70,-103,-99,-93,-200,-200,-100
1526444037140,-200,-200,-84,-63,-76,-70,-200,-98,-92,-200,-200,-200
1526444037248,-200,-200,-200,-64,-76,-70,-200,-200,-200,-200,-200,-200
1526444037355,-200,-74,-200,-64,-76,-69,-200,-96,-200,-200,-200,-200
1526444037453,-200,-74,-200,-64,-200,-71,-200,-200,-200,-200,-200,-200
1526444042029,-200,-75,-88,-64,-200,-69,-200,-95,-200,-96,-200,-200
1526444042125,-200,-70,-89,-64,-75,-69,-95,-200,-89,-98,-200,-103
1526444042600,-200,-200,-91,-200,-200,-69,-105,-200,-200,-200,-200,-200
1526444042795,-200,-69,-87,-200,-200,-200,-95,-96,-200,-200,-200,-102
1526444042907,-200,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200,-200
