,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:98,78:A5:04:41:E7:D5,7C:66:9D:7B:47:3D,7C:66:9D:7B:46:8C,78:A5:04:41:E5:70,78:A5:04:41:EE:15,78:A5:04:41:EB:CE,78:A5:04:41:E7:EF,7C:66:9D:7B:2B:CB,78:A5:04:41:E7:88,78:A5:04:41:EE:1D,BC:6A:29:BE:2F:12,78:A5:04:41:EB:98,BC:6A:29:BE:31:61,78:A5:04:41:EB:DD
1526443677146,-82,-88,-84,-98,-73,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443677251,-83,-86,-200,-200,-74,-69,-82,-85,-81,-200,-200,-200,-200,-200,-200
1526443677401,-200,-83,-200,-200,-78,-200,-82,-87,-200,-83,-200,-200,-200,-200,-200
1526443682044,-82,-84,-200,-94,-200,-200,-81,-200,-78,-82,-85,-92,-200,-200,-200
1526443682148,-82,-82,-89,-95,-200,-200,-81,-200,-78,-200,-84,-92,-200,-200,-200
1526443682240,-82,-83,-90,-94,-200,-200,-81,-90,-78,-82,-85,-200,-200,-200,-200
1526443682349,-82,-83,-88,-200,-200,-61,-81,-90,-200,-82,-86,-93,-200,-200,-200
1526443687071,-80,-85,-200,-200,-200,-61,-77,-81,-200,-200,-89,-200,-200,-200,-200
1526443687160,-79,-200,-200,-96,-69,-61,-200,-200,-74,-81,-200,-200,-200,-200,-200
1526443687269,-80,-200,-83,-200,-69,-61,-77,-200,-74,-80,-200,-200,-87,-200,-200
1526443687362,-80,-200,-200,-200,-69,-61,-200,-82,-75,-80,-200,-200,-200,-200,-200
1526443687477,-80,-200,-90,-94,-200,-200,-200,-200,-200,-200,-200,-92,-200,-99,-200
1526443692186,-200,-200,-89,-95,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200
1526443692304,-200,-200,-90,-94,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200
1526443692414,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200
1526443692515,-200,-200,-89,-200,-70,-65,-200,-200,-200,-200,-200,-100,-89,-200,-200
1526443692625,-84,-79,-90,-92,-74,-200,-80,-200,-77,-75,-200,-92,-200,-200,-200
1526443692726,-200,-80,-200,-200,-200,-200,-79,-200,-77,-77,-200,-92,-200,-200,-200
1526443697068,-200,-200,-200,-98,-200,-63,-84,-200,-200,-72,-85,-200,-82,-200,-200
1526443697195,-200,-89,-200,-98,-69,-62,-200,-200,-200,-200,-200,-100,-79,-200,-200
1526443697310,-200,-200,-200,-200,-69,-200,-77,-200,-200,-68,-200,-200,-79,-200,-200
1526443697413,-200,-200,-200,-94,-200,-200,-80,-200,-200,-69,-90,-200,-200,-200,-200
1526443702037,-200,-200,-97,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443702156,-200,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443702471,-200,-200,-200,-99,-200,-200,-200,-200,-200,-69,-200,-200,-85,-200,-200
1526443702568,-200,-200,-96,-96,-65,-200,-80,-200,-200,-200,-83,-200,-200,-200,-200
1526443702778,-200,-200,-104,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-100,-200
1526443702880,-200,-200,-98,-96,-68,-70,-200,-200,-88,-200,-82,-200,-200,-100,-200
1526443707084,-200,-200,-200,-92,-68,-200,-66,-200,-84,-200,-82,-200,-200,-200,-200
1526443707192,-200,-200,-99,-92,-68,-65,-67,-200,-200,-200,-200,-200,-87,-200,-200
1526443707330,-200,-83,-98,-200,-200,-65,-66,-200,-200,-200,-200,-200,-200,-200,-200
1526443707433,-94,-83,-100,-200,-68,-65,-66,-200,-88,-67,-81,-200,-200,-200,-200
1526443712034,-88,-200,-200,-200,-200,-62,-76,-200,-89,-200,-87,-200,-200,-200,-200
1526443712131,-200,-200,-200,-95,-69,-200,-76,-200,-88,-200,-87,-200,-79,-200,-91
1526443712237,-200,-200,-200,-96,-70,-200,-76,-200,-200,-200,-88,-200,-78,-200,-200
1526443712367,-88,-200,-200,-200,-200,-200,-77,-200,-200,-200,-88,-200,-200,-200,-200
1526443712471,-200,-200,-200,-95,-67,-66,-76,-200,-200,-200,-79,-200,-82,-200,-200
1526443717126,-92,-200,-95,-96,-67,-66,-200,-200,-88,-71,-200,-200,-82,-200,-200
1526443717237,-200,-200,-96,-200,-67,-66,-77,-200,-87,-70,-80,-200,-82,-200,-200
1526443717342,-200,-200,-94,-96,-66,-66,-200,-200,-200,-81,-80,-200,-82,-200,-200
