,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0116.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0117.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0115.0012-vlucci.com A1.4.0.1
,78:A5:04:41:EB:C9,F4:B8:5E:AA:77:73,78:A5:04:41:E7:CC,7C:66:9D:7B:2B:DE,78:A5:04:41:E9:E0,7C:66:9D:7B:2E:16,78:A5:04:41:E5:56,78:A5:04:41:E7:81,F4:B8:5E:AA:79:4E,78:A5:04:41:E7:91,7C:66:9D:7B:2B:D3,78:A5:04:41:E5:77,7C:66:9D:7B:2B:E4
1526462869465,-78,-81,-87,-76,-86,-87,-82,-200,-200,-200,-200,-200,-200
1526462869604,-200,-82,-87,-76,-200,-89,-80,-85,-200,-200,-200,-200,-200
1526462869678,-200,-83,-87,-74,-86,-200,-78,-200,-200,-200,-200,-200,-200
1526462869792,-83,-86,-89,-200,-200,-88,-200,-200,-94,-90,-200,-200,-200
1526462874452,-82,-88,-89,-79,-200,-89,-79,-91,-200,-200,-90,-200,-200
1526462874567,-200,-88,-89,-200,-200,-200,-79,-200,-200,-200,-89,-200,-200
1526462874662,-200,-88,-88,-200,-200,-89,-79,-90,-200,-90,-200,-77,-200
1526462874771,-200,-200,-89,-200,-200,-89,-77,-200,-89,-200,-90,-200,-78
1526462879396,-200,-200,-200,-200,-200,-83,-77,-200,-200,-89,-88,-200,-200
1526462879505,-200,-200,-200,-82,-200,-83,-200,-200,-200,-200,-88,-74,-79
1526462879614,-82,-200,-200,-73,-200,-83,-200,-200,-200,-200,-87,-74,-79
1526462884413,-200,-200,-200,-75,-200,-84,-75,-200,-200,-200,-200,-77,-79
1526462884513,-76,-200,-90,-76,-200,-83,-200,-86,-200,-200,-200,-77,-200
1526462884621,-75,-200,-90,-75,-200,-83,-75,-87,-200,-200,-200,-77,-79
1526462884758,-200,-200,-200,-200,-200,-83,-76,-87,-200,-200,-88,-200,-200
1526462889462,-84,-85,-200,-77,-200,-82,-200,-200,-200,-87,-90,-76,-81
1526462889564,-84,-85,-200,-77,-200,-200,-81,-200,-200,-200,-89,-76,-81
1526462889665,-200,-84,-200,-77,-200,-82,-76,-200,-200,-200,-89,-200,-81
1526462889772,-85,-200,-200,-77,-200,-200,-78,-200,-200,-200,-89,-77,-81
1526462894387,-79,-200,-200,-73,-200,-84,-78,-200,-200,-200,-200,-74,-80
1526462894600,-200,-200,-200,-74,-200,-84,-78,-200,-200,-200,-200,-200,-79
1526462894697,-200,-200,-200,-200,-200,-85,-78,-200,-91,-200,-87,-74,-79
1526462894798,-79,-200,-87,-200,-200,-85,-200,-200,-200,-200,-200,-200,-80
1526462899387,-76,-200,-88,-75,-200,-200,-200,-200,-200,-200,-200,-79,-80
1526462899495,-200,-200,-86,-75,-200,-200,-74,-89,-200,-200,-90,-200,-200
1526462899677,-76,-200,-200,-75,-93,-200,-76,-200,-200,-200,-90,-79,-80
1526462899784,-81,-200,-200,-75,-200,-84,-77,-200,-200,-200,-89,-79,-81
1526462904483,-81,-200,-200,-200,-200,-84,-77,-200,-200,-200,-88,-200,-200
1526462904578,-81,-90,-200,-80,-200,-84,-77,-200,-200,-200,-88,-76,-80
1526462904688,-82,-90,-200,-200,-200,-200,-77,-200,-200,-200,-200,-76,-200
1526462904786,-81,-200,-200,-77,-200,-84,-77,-200,-200,-200,-200,-200,-200
1526462909404,-78,-200,-200,-200,-200,-84,-79,-200,-200,-200,-200,-200,-81
1526462909500,-200,-200,-200,-76,-200,-84,-78,-200,-200,-200,-89,-75,-200
1526462909661,-78,-200,-87,-76,-200,-84,-74,-200,-200,-200,-89,-79,-80
1526462914417,-75,-200,-86,-200,-200,-83,-74,-200,-200,-92,-200,-79,-81
1526462914517,-76,-200,-87,-75,-200,-83,-74,-200,-200,-200,-91,-200,-80
1526462914633,-75,-200,-200,-75,-200,-83,-200,-90,-200,-200,-200,-200,-81
1526462914732,-75,-200,-200,-75,-200,-200,-74,-200,-200,-200,-200,-79,-200
1526462919372,-200,-92,-200,-200,-200,-84,-77,-200,-200,-200,-89,-77,-200
1526462919961,-200,-89,-200,-80,-200,-84,-78,-200,-200,-200,-200,-76,-80
1526462920140,-200,-90,-200,-200,-200,-84,-200,-200,-200,-200,-200,-76,-80
1526462924374,-76,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-82
1526462924477,-76,-200,-200,-77,-200,-83,-79,-200,-200,-200,-200,-75,-82
1526462924583,-200,-200,-200,-200,-200,-84,-79,-200,-200,-92,-88,-75,-82
1526462924683,-76,-200,-200,-76,-200,-83,-200,-200,-200,-200,-88,-200,-200
1526462924785,-200,-200,-200,-200,-200,-83,-75,-200,-200,-200,-94,-82,-80
1526462929973,-200,-200,-86,-200,-200,-83,-75,-200,-200,-200,-200,-79,-83
1526462930560,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-81
