,011d.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0119.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0122.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,F4:B8:5E:AA:7A:3E,78:A5:04:41:E5:67,78:A5:04:41:EB:AA,78:A5:04:41:E9:A7,7C:66:9D:7B:2D:79,78:A5:04:41:EB:B2,78:A5:04:41:EB:DF,78:A5:04:41:EB:EA,F4:B8:5E:AA:7A:97,78:A5:04:41:E9:F2,78:A5:04:41:EB:E1,78:A5:04:41:E9:DF,78:A5:04:41:EB:D8,78:A5:04:41:EB:AB,78:A5:04:41:EB:F6,78:A5:04:41:E9:FB,78:A5:04:41:EB:BF,78:A5:04:41:E9:C8,78:A5:04:41:EB:CA,78:A5:04:41:EB:E4,78:A5:04:41:EB:93,78:A5:04:41:EB:B1,7C:66:9D:7B:2E:21
1526465928110,-200,-74,-200,-82,-86,-200,-200,-62,-200,-72,-200,-84,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465932857,-200,-200,-200,-200,-85,-200,-200,-200,-81,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465932965,-200,-200,-200,-200,-200,-200,-70,-64,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465933176,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465937774,-200,-200,-79,-200,-200,-89,-200,-67,-200,-61,-200,-89,-200,-88,-200,-91,-80,-200,-95,-200,-200,-200,-200
1526465937872,-77,-200,-80,-200,-84,-200,-78,-69,-200,-72,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200
1526465942766,-79,-200,-200,-82,-82,-200,-68,-61,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200
1526465942862,-79,-74,-78,-82,-82,-200,-68,-200,-83,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-98
1526465942975,-79,-74,-78,-200,-82,-200,-68,-200,-200,-200,-85,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200
1526465943078,-79,-75,-78,-200,-81,-200,-200,-65,-82,-200,-84,-200,-200,-84,-200,-200,-84,-200,-200,-86,-200,-200,-200
1526465947770,-80,-75,-200,-200,-83,-200,-200,-200,-79,-76,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465947881,-200,-200,-200,-200,-83,-200,-69,-65,-80,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200
1526465948020,-200,-75,-200,-200,-200,-200,-200,-64,-80,-200,-86,-85,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200
