,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:7e:f8,0c:73:eb:d0:7f:10,74:da:da:c1:56:a1,0c:73:eb:d0:11:e0,74:da:da:98:91:d4,0c:73:eb:d0:13:a8,0c:73:eb:d0:7f:08,74:da:da:98:85:00,74:da:da:c0:f3:01,0c:73:eb:d0:7c:38,74:da:da:98:85:4c,74:da:da:c0:d7:b9,74:da:da:c0:f4:69,74:da:da:c0:d7:19,74:da:da:98:92:14,74:da:da:c0:e0:71,0c:73:eb:d0:7e:e0,0c:73:eb:d0:19:88,74:da:da:c1:56:ed,0c:73:eb:d0:7c:08,74:da:da:c0:e2:d9,74:da:da:c1:3a:81,0c:73:eb:d0:7f:18,0c:73:eb:d0:13:b8,74:da:da:c0:d7:c5,0c:73:eb:d0:11:c0,74:da:da:98:85:60,74:da:da:98:ea:5c,74:da:da:c1:48:bd,c0:61:18:93:3e:54,74:da:da:c0:e0:69,0c:73:eb:d0:7a:68,0c:73:eb:d0:13:90,74:da:da:c1:3c:51,0c:73:eb:d0:76:38,0c:73:eb:d0:7e:e8,0c:73:eb:d0:13:c0,74:da:da:98:85:1c,74:da:da:c0:d7:0d,0c:73:eb:d0:76:30,0c:73:eb:d0:11:f8,0c:73:eb:d0:76:50,74:da:da:c0:f6:15,0c:73:eb:d0:7c:28,0c:73:eb:d0:11:b0,74:da:da:98:ea:50,0c:73:eb:d0:13:d0,74:da:da:c0:d8:3d,0c:73:eb:d0:11:c8,0c:73:eb:d0:19:a0,74:da:da:98:74:34,74:da:da:c1:3b:19,0c:73:eb:d0:7e:f0,74:da:da:c1:3c:f5,74:da:da:c1:3b:69,74:da:da:c1:3b:cd,74:da:da:c1:3c:e1,74:da:da:98:7a:60,0c:73:eb:d0:7c:00
1526464944814,-39,-45,-49,-55,-55,-61,-61,-62,-62,-64,-64,-66,-67,-68,-68,-70,-72,-72,-73,-74,-74,-74,-75,-75,-75,-75,-76,-77,-77,-79,-80,-80,-81,-81,-81,-82,-82,-82,-82,-83,-83,-88,-89,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464947842,-48,-44,-47,-57,-54,-63,-65,-55,-58,-64,-56,-62,-68,-200,-70,-70,-72,-69,-73,-74,-71,-74,-73,-73,-75,-85,-76,-74,-77,-79,-80,-80,-81,-200,-81,-82,-200,-71,-82,-80,-80,-84,-200,-93,-200,-83,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464950873,-48,-44,-47,-57,-54,-63,-65,-55,-58,-64,-56,-62,-68,-200,-70,-70,-72,-69,-73,-74,-71,-74,-73,-73,-75,-85,-76,-74,-77,-79,-80,-80,-81,-200,-81,-82,-200,-71,-82,-80,-80,-84,-200,-93,-200,-83,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464953917,-48,-44,-47,-57,-54,-63,-65,-55,-58,-64,-56,-62,-68,-200,-70,-70,-72,-69,-73,-74,-71,-74,-73,-73,-75,-85,-76,-74,-77,-79,-80,-80,-81,-200,-81,-82,-200,-71,-82,-80,-80,-84,-200,-93,-200,-83,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464956960,-47,-40,-56,-55,-62,-61,-58,-57,-54,-65,-57,-62,-64,-61,-70,-67,-77,-67,-73,-72,-71,-77,-68,-72,-78,-79,-70,-71,-72,-200,-78,-84,-69,-77,-89,-76,-77,-71,-84,-79,-80,-84,-200,-93,-200,-83,-82,-85,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464960010,-43,-40,-55,-51,-56,-62,-62,-55,-55,-65,-57,-66,-66,-61,-70,-67,-77,-68,-73,-72,-71,-77,-70,-76,-78,-79,-70,-71,-72,-200,-78,-84,-69,-77,-89,-76,-77,-72,-83,-79,-80,-84,-200,-93,-200,-83,-77,-85,-87,-83,-86,-92,-200,-200,-200,-200,-200,-200,-200
1526464963049,-43,-40,-55,-51,-56,-62,-62,-55,-55,-65,-57,-66,-66,-61,-70,-67,-77,-68,-73,-72,-71,-77,-70,-76,-78,-79,-70,-71,-72,-200,-78,-84,-69,-77,-89,-76,-77,-72,-83,-79,-80,-84,-200,-93,-200,-83,-77,-85,-87,-83,-86,-92,-200,-200,-200,-200,-200,-200,-200
1526464966094,-43,-40,-55,-51,-56,-62,-62,-55,-55,-65,-57,-66,-66,-61,-70,-67,-77,-68,-73,-72,-71,-77,-70,-76,-78,-79,-70,-71,-72,-200,-78,-84,-69,-77,-89,-76,-77,-72,-83,-79,-80,-84,-200,-93,-200,-83,-77,-85,-87,-83,-86,-92,-200,-200,-200,-200,-200,-200,-200
1526464969148,-45,-35,-57,-55,-56,-66,-65,-57,-56,-58,-56,-65,-64,-68,-62,-69,-70,-75,-200,-74,-67,-76,-74,-73,-78,-78,-200,-80,-71,-200,-78,-200,-78,-76,-200,-82,-200,-72,-82,-75,-200,-200,-200,-200,-200,-88,-77,-200,-200,-83,-86,-92,-86,-89,-90,-200,-200,-200,-200
