,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DQKJ,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018
,74:da:da:c1:56:a1,0c:73:eb:d0:7e:f8,0c:73:eb:d0:7f:10,0c:73:eb:d0:11:e0,74:da:da:98:91:d4,74:da:da:98:85:00,0c:73:eb:d0:7c:38,0c:73:eb:d0:13:a8,0c:73:eb:d0:7f:08,74:da:da:98:92:14,74:da:da:c0:f4:69,74:da:da:c0:f3:01,74:da:da:c0:d7:b9,0c:73:eb:d0:19:88,0c:73:eb:d0:7f:18,74:da:da:98:ea:5c,74:da:da:c1:3c:51,74:da:da:c1:56:ed,74:da:da:c0:e2:d9,0c:73:eb:d0:7c:08,74:da:da:98:85:60,0c:73:eb:d0:7c:00,74:da:da:c0:d7:c5,0c:73:eb:d0:7e:e8,74:da:da:c1:3c:e1,0c:73:eb:d0:7e:e0,74:da:da:c0:d7:19,0c:73:eb:d0:76:38,74:da:da:c1:48:bd,c0:61:18:93:3e:54,0c:73:eb:d0:76:30,74:da:da:c0:e0:71,74:da:da:c1:3c:f5,0c:73:eb:d0:13:b8,74:da:da:c1:3a:81,74:da:da:c0:d7:0d,74:da:da:c0:e0:69,0c:73:eb:d0:7a:68,74:da:da:98:ea:50,ec:26:ca:0b:d4:1e,0c:73:eb:d0:11:c0,0c:73:eb:d0:13:c0,74:da:da:c1:3b:69,c0:61:18:93:35:28,0c:73:eb:d0:13:90,74:da:da:98:85:1c,74:da:da:98:74:34,74:da:da:98:85:4c,0c:73:eb:d0:7c:28,74:da:da:98:74:80,0c:73:eb:d0:11:f8,74:da:da:c0:f6:15,0c:73:eb:d0:7e:f0,74:da:da:c1:3a:dd,0c:73:eb:d0:11:c8,74:da:da:c1:3c:85,0c:73:eb:d0:76:50,0c:73:eb:d0:11:b0
1526464845917,-35,-40,-47,-49,-53,-58,-59,-61,-61,-61,-63,-64,-65,-66,-67,-71,-72,-72,-73,-74,-74,-75,-76,-76,-76,-77,-78,-79,-80,-80,-80,-81,-81,-82,-82,-83,-83,-83,-86,-87,-88,-88,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464848949,-41,-42,-47,-51,-51,-58,-70,-69,-69,-200,-73,-59,-65,-68,-71,-65,-72,-200,-200,-77,-74,-200,-79,-76,-200,-77,-70,-200,-80,-200,-80,-200,-200,-70,-76,-200,-83,-83,-200,-200,-79,-88,-89,-200,-68,-76,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464851993,-41,-42,-47,-51,-51,-58,-70,-69,-69,-200,-73,-59,-65,-68,-71,-65,-72,-200,-200,-77,-74,-200,-79,-76,-200,-77,-70,-200,-80,-200,-80,-200,-200,-70,-76,-200,-83,-83,-200,-200,-79,-88,-89,-200,-68,-76,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464855027,-41,-42,-47,-51,-51,-58,-70,-69,-69,-200,-73,-59,-65,-68,-71,-65,-72,-200,-200,-77,-74,-200,-79,-76,-200,-77,-70,-200,-80,-200,-80,-200,-200,-70,-76,-200,-83,-83,-200,-200,-79,-88,-89,-200,-68,-76,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464858064,-43,-44,-44,-55,-52,-53,-64,-77,-70,-68,-73,-66,-62,-64,-70,-65,-86,-81,-76,-75,-200,-200,-77,-78,-200,-76,-72,-200,-79,-200,-200,-73,-200,-70,-76,-200,-82,-200,-200,-200,-78,-200,-200,-200,-68,-79,-89,-70,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526464861095,-43,-44,-44,-55,-52,-53,-64,-77,-70,-68,-73,-66,-62,-64,-70,-65,-86,-81,-76,-75,-200,-200,-77,-78,-200,-76,-72,-200,-79,-200,-200,-73,-200,-70,-76,-200,-82,-200,-200,-200,-78,-200,-200,-200,-68,-79,-89,-70,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526464864139,-43,-44,-44,-55,-52,-53,-64,-77,-70,-68,-73,-66,-62,-64,-70,-65,-86,-81,-76,-75,-200,-200,-77,-78,-200,-76,-72,-200,-79,-200,-200,-73,-200,-70,-76,-200,-82,-200,-200,-200,-78,-200,-200,-200,-68,-79,-89,-70,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526464867180,-43,-44,-44,-55,-52,-53,-64,-77,-70,-68,-73,-66,-62,-64,-70,-65,-86,-81,-76,-75,-200,-200,-77,-78,-200,-76,-72,-200,-79,-200,-200,-73,-200,-70,-76,-200,-82,-200,-200,-200,-78,-200,-200,-200,-68,-79,-89,-70,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526464870222,-50,-45,-47,-46,-48,-60,-63,-60,-70,-200,-69,-63,-60,-67,-78,-69,-75,-200,-200,-71,-83,-200,-87,-78,-200,-77,-68,-200,-200,-200,-83,-200,-200,-75,-76,-83,-200,-82,-200,-200,-76,-81,-200,-200,-200,-200,-200,-69,-87,-200,-79,-200,-200,-200,-200,-200,-200,-200
