,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:13:d0,0c:73:eb:d0:7c:00,0c:73:eb:d0:11:e8,74:da:da:c0:e2:d9,74:da:da:c0:f4:69,74:da:da:c1:3c:f5,0c:73:eb:d0:7f:18,74:da:da:c1:48:bd,74:da:da:c0:d7:b9,74:da:da:c1:3c:99,74:da:da:98:91:d4,0c:73:eb:d0:7e:e8,0c:73:eb:d0:7f:10,74:da:da:c0:f3:01,0c:73:eb:d0:7e:e0,0c:73:eb:d0:7c:08,74:da:da:98:85:00,0c:73:eb:d0:11:e0,0c:73:eb:d0:11:f0,74:da:da:98:85:60,74:da:da:c1:3a:81,74:da:da:c1:56:a1,74:da:da:c0:d7:19,0c:73:eb:d0:13:a8,74:da:da:c0:d7:0d,74:da:da:c0:e0:69,0c:73:eb:d0:7c:18,0c:73:eb:d0:7c:38,0c:73:eb:d0:7f:08,74:da:da:c1:3c:51,74:da:da:c1:56:ed,74:da:da:98:92:14,74:da:da:c1:3c:dd,0c:73:eb:d0:7a:68,0c:73:eb:d0:7c:30,74:da:da:c1:4b:59,ec:26:ca:0b:d4:1e,74:da:da:c1:6b:4d,74:da:da:c1:04:45,0c:73:eb:d0:7e:f8,74:da:da:c1:3a:dd,0c:73:eb:d0:7e:f0,74:da:da:c1:3c:f9,0c:73:eb:d0:11:f8,74:da:da:c1:4a:f5,74:da:da:c1:4b:01,0c:73:eb:d0:7c:10,0c:73:eb:d0:76:48,0c:73:eb:d0:7c:28,74:da:da:c1:4b:05
1526458014847,-38,-43,-50,-51,-60,-61,-65,-65,-67,-68,-68,-69,-69,-69,-69,-70,-70,-72,-72,-72,-72,-72,-73,-76,-76,-77,-79,-79,-80,-80,-81,-81,-81,-84,-84,-86,-86,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458017887,-36,-41,-47,-49,-64,-60,-68,-66,-66,-68,-66,-69,-78,-69,-69,-66,-70,-71,-76,-76,-72,-72,-71,-77,-84,-77,-77,-79,-80,-80,-81,-81,-77,-84,-82,-86,-86,-87,-89,-70,-82,-87,-88,-88,-200,-200,-200,-200,-200,-200
1526458020929,-36,-41,-47,-49,-64,-60,-68,-66,-66,-68,-66,-69,-78,-69,-69,-66,-70,-71,-76,-76,-72,-72,-71,-77,-84,-77,-77,-79,-80,-80,-81,-81,-77,-84,-82,-86,-86,-87,-89,-70,-82,-87,-88,-88,-200,-200,-200,-200,-200,-200
1526458023968,-36,-41,-47,-49,-64,-60,-68,-66,-66,-68,-66,-69,-78,-69,-69,-66,-70,-71,-76,-76,-72,-72,-71,-77,-84,-77,-77,-79,-80,-80,-81,-81,-77,-84,-82,-86,-86,-87,-89,-70,-82,-87,-88,-88,-200,-200,-200,-200,-200,-200
1526458026998,-38,-43,-50,-54,-64,-62,-61,-72,-66,-72,-200,-67,-74,-73,-200,-69,-77,-71,-71,-71,-78,-200,-73,-73,-86,-200,-76,-82,-79,-87,-200,-83,-77,-81,-87,-86,-200,-200,-200,-73,-81,-87,-200,-88,-88,-200,-200,-200,-200,-200
1526458030042,-38,-47,-50,-55,-64,-62,-64,-66,-67,-72,-200,-71,-74,-72,-200,-68,-77,-68,-71,-71,-78,-84,-70,-76,-82,-79,-76,-81,-79,-87,-200,-83,-76,-81,-85,-86,-200,-200,-200,-76,-79,-87,-200,-88,-88,-86,-200,-200,-200,-200
1526458033081,-38,-47,-50,-55,-64,-62,-64,-66,-67,-72,-200,-71,-74,-72,-200,-68,-77,-68,-71,-71,-78,-84,-70,-76,-82,-79,-76,-81,-79,-87,-200,-83,-76,-81,-85,-86,-200,-200,-200,-76,-79,-87,-200,-88,-88,-86,-200,-200,-200,-200
1526458036115,-38,-47,-50,-55,-64,-62,-64,-66,-67,-72,-200,-71,-74,-72,-200,-68,-77,-68,-71,-71,-78,-84,-70,-76,-82,-79,-76,-81,-79,-87,-200,-83,-76,-81,-85,-86,-200,-200,-200,-76,-79,-87,-200,-88,-88,-86,-200,-200,-200,-200
1526458039160,-42,-42,-51,-55,-66,-62,-61,-70,-70,-75,-64,-70,-74,-73,-90,-71,-76,-76,-72,-70,-79,-84,-71,-76,-86,-78,-76,-81,-76,-200,-200,-200,-77,-78,-85,-200,-200,-200,-200,-76,-81,-200,-200,-85,-200,-86,-200,-200,-200,-200
