,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:13:d0,74:da:da:c0:e2:d9,74:da:da:c0:d7:19,0c:73:eb:d0:11:e0,0c:73:eb:d0:11:e8,0c:73:eb:d0:7f:18,0c:73:eb:d0:7c:00,74:da:da:c0:d7:b9,0c:73:eb:d0:7f:10,74:da:da:c1:48:bd,74:da:da:c0:f3:01,0c:73:eb:d0:7a:68,74:da:da:c1:3c:f5,74:da:da:c0:f4:69,74:da:da:c1:3c:99,0c:73:eb:d0:13:a8,0c:73:eb:d0:7f:08,74:da:da:98:85:00,74:da:da:c1:56:a1,0c:73:eb:d0:7e:f8,0c:73:eb:d0:7c:18,0c:73:eb:d0:7c:38,0c:73:eb:d0:7e:e8,74:da:da:98:85:60,74:da:da:98:91:d4,74:da:da:c0:e0:69,0c:73:eb:d0:11:f0,74:da:da:c1:3a:dd,ec:26:ca:0b:d4:1e,74:da:da:98:92:14,0c:73:eb:d0:7c:08,74:da:da:c0:d7:dd,74:da:da:c1:6b:4d,74:da:da:c1:3a:81,0c:73:eb:d0:11:f8,0c:73:eb:d0:7e:e0,74:da:da:c1:3c:51,74:da:da:c1:3b:c9,0c:73:eb:d0:19:b8,74:da:da:c0:d7:0d,74:da:da:c1:56:ed,0c:73:eb:d0:76:48,74:da:da:c1:3c:8d,0c:73:eb:d0:7e:f0,74:da:da:c1:3c:dd,0c:73:eb:d0:76:30
1526458318175,-48,-49,-52,-53,-55,-56,-57,-58,-62,-62,-63,-63,-65,-65,-66,-68,-69,-71,-71,-71,-72,-73,-74,-75,-75,-75,-77,-77,-77,-77,-78,-79,-80,-80,-82,-83,-83,-84,-84,-85,-200,-200,-200,-200,-200,-200
1526458321210,-44,-40,-67,-61,-57,-64,-56,-70,-77,-62,-63,-63,-68,-69,-77,-66,-78,-79,-81,-83,-72,-77,-76,-81,-76,-75,-77,-77,-85,-200,-78,-79,-200,-80,-200,-200,-200,-200,-200,-85,-74,-86,-200,-200,-200,-200
1526458324227,-44,-40,-67,-61,-57,-64,-56,-70,-77,-62,-63,-63,-68,-69,-77,-66,-78,-79,-81,-83,-72,-77,-76,-81,-76,-75,-77,-77,-85,-200,-78,-79,-200,-80,-200,-200,-200,-200,-200,-85,-74,-86,-200,-200,-200,-200
1526458327267,-44,-40,-67,-61,-57,-64,-56,-70,-77,-62,-63,-63,-68,-69,-77,-66,-78,-79,-81,-83,-72,-77,-76,-81,-76,-75,-77,-77,-85,-200,-78,-79,-200,-80,-200,-200,-200,-200,-200,-85,-74,-86,-200,-200,-200,-200
1526458330313,-45,-39,-67,-64,-58,-68,-56,-71,-77,-78,-200,-80,-67,-67,-75,-65,-76,-88,-81,-83,-85,-76,-76,-80,-74,-200,-78,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-81,-77,-200,-200,-200
1526458333349,-41,-39,-69,-63,-58,-68,-59,-73,-77,-78,-200,-84,-67,-67,-76,-65,-76,-88,-85,-83,-90,-79,-76,-80,-74,-200,-79,-200,-85,-88,-88,-200,-200,-200,-200,-200,-200,-90,-200,-200,-72,-81,-77,-200,-200,-200
1526458336387,-41,-39,-69,-63,-58,-68,-59,-73,-77,-78,-200,-84,-67,-67,-76,-65,-76,-88,-85,-83,-90,-79,-76,-80,-74,-200,-79,-200,-85,-88,-88,-200,-200,-200,-200,-200,-200,-90,-200,-200,-72,-81,-77,-200,-200,-200
1526458339424,-41,-39,-69,-63,-58,-68,-59,-73,-77,-78,-200,-84,-67,-67,-76,-65,-76,-88,-85,-83,-90,-79,-76,-80,-74,-200,-79,-200,-85,-88,-88,-200,-200,-200,-200,-200,-200,-90,-200,-200,-72,-81,-77,-200,-200,-200
1526458342460,-44,-39,-68,-60,-56,-68,-60,-71,-75,-76,-200,-84,-69,-69,-74,-64,-75,-200,-85,-200,-90,-72,-76,-79,-74,-200,-79,-92,-200,-89,-84,-200,-200,-200,-200,-200,-200,-90,-200,-200,-74,-83,-79,-90,-200,-200
1526458345501,-44,-39,-66,-60,-62,-68,-60,-70,-69,-77,-200,-84,-69,-68,-74,-64,-78,-200,-85,-200,-90,-78,-73,-79,-76,-200,-79,-92,-200,-89,-83,-200,-200,-200,-200,-200,-200,-90,-200,-200,-74,-83,-79,-90,-200,-200
1526458348532,-44,-39,-66,-60,-62,-68,-60,-70,-69,-77,-200,-84,-69,-68,-74,-64,-78,-200,-85,-200,-90,-78,-73,-79,-76,-200,-79,-92,-200,-89,-83,-200,-200,-200,-200,-200,-200,-90,-200,-200,-74,-83,-79,-90,-200,-200
1526458351578,-44,-39,-66,-60,-62,-68,-60,-70,-69,-77,-200,-84,-69,-68,-74,-64,-78,-200,-85,-200,-90,-78,-73,-79,-76,-200,-79,-92,-200,-89,-83,-200,-200,-200,-200,-200,-200,-90,-200,-200,-74,-83,-79,-90,-200,-200
1526458354618,-46,-38,-66,-59,-61,-67,-62,-73,-78,-78,-200,-84,-67,-68,-75,-64,-75,-200,-83,-200,-88,-73,-76,-78,-76,-200,-83,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-86,-75,-82,-81,-200,-91,-200
1526458357650,-45,-39,-66,-60,-57,-67,-59,-73,-78,-78,-200,-84,-67,-71,-76,-63,-75,-200,-85,-88,-88,-74,-76,-78,-76,-200,-83,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-84,-75,-81,-81,-200,-91,-94
1526458360699,-45,-39,-66,-60,-57,-67,-59,-73,-78,-78,-200,-84,-67,-71,-76,-63,-75,-200,-85,-88,-88,-74,-76,-78,-76,-200,-83,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-84,-75,-81,-81,-200,-91,-94
