,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:7e:d0,74:da:da:c1:03:1d,74:da:da:c1:02:91,74:da:da:c1:03:2d,0c:73:eb:d0:11:d8,74:da:da:c1:02:8d,0c:73:eb:d0:7c:40,74:da:da:c1:3d:2d,74:da:da:c1:03:21,74:da:da:c1:3a:8d,0c:73:eb:d0:13:98,74:da:da:c1:6b:4d,0c:73:eb:d0:7f:00,0c:73:eb:d0:11:f8,0c:73:eb:d0:13:d8,74:da:da:98:74:80,d8:15:0d:6c:13:98,0c:73:eb:d0:13:90,74:da:da:98:74:74,74:da:da:c1:3a:81,0c:73:eb:d0:7c:28,74:da:da:c1:3a:dd,74:da:da:c0:f6:15,74:da:da:c0:d9:39,0c:73:eb:d0:11:c8,74:da:da:98:85:4c,74:da:da:c0:d7:0d,0c:73:eb:d0:13:b8,0c:73:eb:d0:19:80,74:da:da:c1:3b:29,74:da:da:98:90:2c,74:da:da:c0:d6:ed
1526441943981,-33,-39,-41,-59,-62,-67,-68,-69,-70,-70,-71,-73,-75,-76,-78,-80,-83,-84,-84,-85,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441946987,-35,-38,-39,-51,-56,-53,-68,-61,-59,-60,-67,-65,-68,-200,-67,-76,-83,-81,-66,-83,-90,-81,-80,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526441950015,-35,-38,-39,-51,-56,-53,-68,-61,-59,-60,-67,-65,-68,-200,-67,-76,-83,-81,-66,-83,-90,-81,-80,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526441953030,-35,-38,-39,-51,-56,-53,-68,-61,-59,-60,-67,-65,-68,-200,-67,-76,-83,-81,-66,-83,-90,-81,-80,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526441956048,-32,-38,-43,-51,-50,-52,-62,-58,-59,-58,-62,-68,-65,-82,-63,-76,-79,-81,-69,-76,-200,-76,-80,-84,-82,-86,-89,-90,-200,-200,-200,-200
1526441959066,-33,-38,-43,-51,-50,-51,-65,-59,-59,-59,-63,-68,-65,-82,-67,-79,-79,-81,-69,-76,-83,-76,-80,-84,-82,-86,-89,-90,-85,-200,-200,-200
1526441962095,-33,-38,-43,-51,-50,-51,-65,-59,-59,-59,-63,-68,-65,-82,-67,-79,-79,-81,-69,-76,-83,-76,-80,-84,-82,-86,-89,-90,-85,-200,-200,-200
1526441965117,-33,-38,-43,-51,-50,-51,-65,-59,-59,-59,-63,-68,-65,-82,-67,-79,-79,-81,-69,-76,-83,-76,-80,-84,-82,-86,-89,-90,-85,-200,-200,-200
1526441968127,-34,-36,-44,-51,-51,-51,-67,-58,-59,-57,-67,-65,-66,-80,-65,-79,-76,-200,-68,-200,-83,-78,-86,-84,-200,-200,-200,-200,-85,-88,-200,-200
