,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,74:da:da:c1:03:1d,0c:73:eb:d0:7e:d0,74:da:da:c1:02:91,74:da:da:c1:03:2d,0c:73:eb:d0:7f:00,0c:73:eb:d0:13:98,74:da:da:98:74:74,74:da:da:c1:3a:8d,0c:73:eb:d0:11:d8,0c:73:eb:d0:7c:40,74:da:da:c1:03:21,74:da:da:c1:3d:2d,74:da:da:c1:02:8d,74:da:da:c1:3b:29,74:da:da:c1:6b:4d,0c:73:eb:d0:13:d8,74:da:da:c0:d8:3d,74:da:da:c1:3a:81,0c:73:eb:d0:19:80,0c:73:eb:d0:13:b0,74:da:da:c0:f6:15,d8:15:0d:6c:13:98,74:da:da:98:74:80,74:da:da:98:66:cc,74:da:da:c0:f3:05,74:da:da:c0:d9:39,74:da:da:c1:3a:dd,0c:73:eb:d0:11:f8,0c:73:eb:d0:76:50,0c:73:eb:d0:7f:18,0c:73:eb:d0:2a:50,74:da:da:98:74:34,74:da:da:98:90:2c,0c:73:eb:d0:11:c8,74:da:da:c0:d6:ed,0c:73:eb:d0:7c:28,74:da:da:c1:5e:ed,0c:73:eb:d0:19:c0,74:da:da:c0:d6:f5,74:da:da:c1:3c:45,74:da:da:c1:3c:11,0c:73:eb:d0:76:18,74:da:da:c1:3b:79
1526442954941,-35,-43,-44,-54,-60,-61,-61,-63,-64,-68,-69,-69,-70,-71,-73,-75,-76,-78,-78,-79,-81,-82,-83,-85,-85,-85,-86,-88,-88,-92,-92,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442957949,-49,-34,-43,-51,-60,-57,-54,-60,-65,-69,-59,-77,-66,-71,-72,-69,-76,-78,-200,-84,-83,-86,-79,-85,-200,-200,-86,-200,-88,-92,-92,-88,-77,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442960976,-49,-34,-43,-51,-60,-57,-54,-60,-65,-69,-59,-77,-66,-71,-72,-69,-76,-78,-200,-84,-83,-86,-79,-85,-200,-200,-86,-200,-88,-92,-92,-88,-77,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442964009,-49,-34,-43,-51,-60,-57,-54,-60,-65,-69,-59,-77,-66,-71,-72,-69,-76,-78,-200,-84,-83,-86,-79,-85,-200,-200,-86,-200,-88,-92,-92,-88,-77,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442967040,-43,-32,-46,-48,-64,-59,-58,-62,-68,-77,-55,-79,-66,-200,-72,-68,-200,-200,-82,-84,-83,-84,-87,-200,-200,-80,-200,-200,-200,-200,-200,-90,-200,-83,-80,-85,-94,-200,-200,-200,-200,-200,-200
1526442970076,-43,-31,-47,-47,-64,-58,-59,-64,-68,-66,-55,-77,-66,-86,-78,-72,-200,-84,-78,-84,-83,-84,-85,-200,-200,-81,-200,-200,-200,-200,-200,-90,-200,-83,-80,-88,-94,-200,-200,-200,-200,-200,-200
1526442973099,-43,-31,-47,-47,-64,-58,-59,-64,-68,-66,-55,-77,-66,-86,-78,-72,-200,-84,-78,-84,-83,-84,-85,-200,-200,-81,-200,-200,-200,-200,-200,-90,-200,-83,-80,-88,-94,-200,-200,-200,-200,-200,-200
1526442976121,-43,-31,-47,-47,-64,-58,-59,-64,-68,-66,-55,-77,-66,-86,-78,-72,-200,-84,-78,-84,-83,-84,-85,-200,-200,-81,-200,-200,-200,-200,-200,-90,-200,-83,-80,-88,-94,-200,-200,-200,-200,-200,-200
1526442979164,-39,-31,-42,-54,-59,-57,-59,-68,-69,-70,-54,-77,-67,-86,-76,-73,-200,-84,-78,-77,-86,-84,-80,-83,-200,-81,-200,-200,-200,-200,-200,-84,-75,-86,-80,-88,-200,-200,-200,-200,-200,-200,-200
