,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
,74:da:da:98:85:1c,0c:73:eb:d0:11:c0,74:da:da:98:74:80,0c:73:eb:d0:7f:08,0c:73:eb:d0:13:b8,74:da:da:c0:d8:3d,74:da:da:c1:3b:29,74:da:da:98:85:4c,74:da:da:98:85:60,74:da:da:98:85:00,74:da:da:c1:3c:85,0c:73:eb:d0:13:90,74:da:da:c1:56:a1,0c:73:eb:d0:11:f8,74:da:da:c0:f6:15,0c:73:eb:d0:13:d8,74:da:da:c1:3a:8d,74:da:da:c1:3d:2d,74:da:da:c0:f3:01,0c:73:eb:d0:76:18,74:da:da:c1:3c:11,74:da:da:c0:d7:b9,74:da:da:98:74:74,0c:73:eb:d0:11:c8,0c:73:eb:d0:7f:10,0c:73:eb:d0:7e:f8,0c:73:eb:d0:13:98,74:da:da:c1:6b:4d,74:da:da:c0:e0:71,0c:73:eb:d0:13:a8,74:da:da:98:ea:5c,74:da:da:c1:3c:4d,0c:73:eb:d0:19:88,0c:73:eb:d0:19:90,74:da:da:98:74:34,0c:73:eb:d0:7c:08,74:da:da:98:92:14,74:da:da:c1:3a:81,74:da:da:98:91:d4,74:da:da:c1:3c:51,74:da:da:c0:d7:19,74:da:da:c0:d7:c5,74:da:da:c1:3a:dd,74:da:da:c1:03:2d,0c:73:eb:d0:7c:40,0c:73:eb:d0:19:a0,74:da:da:98:90:94,0c:73:eb:d0:11:d8,74:da:da:c1:3c:55,0c:73:eb:d0:13:c8
1526463335748,-36,-48,-56,-64,-64,-67,-68,-69,-69,-73,-75,-75,-76,-77,-77,-77,-79,-80,-80,-81,-81,-86,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463338784,-34,-42,-48,-64,-63,-66,-70,-60,-53,-65,-64,-77,-69,-77,-200,-82,-83,-76,-87,-78,-76,-82,-76,-77,-67,-77,-78,-81,-83,-85,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463341814,-34,-42,-48,-64,-63,-66,-70,-60,-53,-65,-64,-77,-69,-77,-200,-82,-83,-76,-87,-78,-76,-82,-76,-77,-67,-77,-78,-81,-83,-85,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463344850,-34,-42,-48,-64,-63,-66,-70,-60,-53,-65,-64,-77,-69,-77,-200,-82,-83,-76,-87,-78,-76,-82,-76,-77,-67,-77,-78,-81,-83,-85,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463347889,-40,-48,-58,-68,-67,-73,-72,-69,-65,-71,-72,-75,-76,-79,-200,-82,-85,-82,-200,-78,-80,-79,-76,-77,-74,-77,-200,-90,-83,-88,-200,-91,-81,-83,-83,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463350928,-39,-44,-61,-68,-67,-73,-72,-72,-65,-72,-72,-75,-73,-79,-200,-86,-85,-82,-200,-78,-81,-80,-76,-77,-74,-77,-200,-90,-83,-88,-200,-91,-81,-83,-83,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463353969,-39,-44,-61,-68,-67,-73,-72,-72,-65,-72,-72,-75,-73,-79,-200,-86,-85,-82,-200,-78,-81,-80,-76,-77,-74,-77,-200,-90,-83,-88,-200,-91,-81,-83,-83,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463357008,-39,-44,-61,-68,-67,-73,-72,-72,-65,-72,-72,-75,-73,-79,-200,-86,-85,-82,-200,-78,-81,-80,-76,-77,-74,-77,-200,-90,-83,-88,-200,-91,-81,-83,-83,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463360049,-40,-47,-59,-66,-67,-74,-71,-64,-69,-76,-71,-79,-73,-200,-200,-83,-82,-82,-85,-78,-82,-80,-86,-200,-200,-200,-82,-200,-200,-200,-90,-200,-83,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
