,null,0123.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0124.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
,BC:6A:29:BE:31:17,F4:B8:5E:AA:77:5C,78:A5:04:41:E9:98,78:A5:04:41:E5:3E,78:A5:04:41:E9:BB,78:A5:04:41:E9:CB,F4:B8:5E:AA:79:07,78:A5:04:41:EB:A5,78:A5:04:41:EB:F1,BC:6A:29:BE:2F:54,78:A5:04:41:E7:9D
1526460027500,-82,-92,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526460027601,-82,-91,-90,-86,-85,-200,-200,-200,-200,-200,-200
1526460027718,-83,-200,-200,-85,-85,-74,-200,-200,-200,-200,-200
1526460032238,-82,-200,-200,-88,-84,-62,-83,-200,-200,-200,-200
1526460032339,-82,-200,-200,-85,-83,-62,-200,-200,-200,-200,-200
1526460032454,-82,-200,-200,-87,-200,-200,-83,-200,-200,-200,-200
1526460032557,-82,-200,-200,-87,-84,-200,-83,-200,-200,-200,-200
1526460032659,-83,-200,-200,-87,-84,-200,-83,-200,-200,-200,-200
1526460037277,-81,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526460037387,-80,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200
1526460037488,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460037574,-81,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526460037684,-81,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200
1526460037795,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460037907,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460038123,-84,-200,-89,-200,-85,-200,-200,-200,-200,-200,-200
1526460038207,-80,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460042232,-82,-200,-200,-200,-200,-62,-83,-200,-200,-200,-200
1526460042330,-83,-200,-200,-200,-84,-62,-83,-200,-92,-200,-200
1526460042433,-83,-200,-200,-87,-84,-62,-83,-200,-200,-200,-200
1526460042543,-82,-200,-200,-86,-80,-62,-83,-200,-93,-99,-200
1526460047264,-200,-200,-200,-200,-80,-62,-200,-200,-87,-200,-200
1526460047390,-81,-200,-200,-81,-200,-62,-200,-200,-88,-96,-200
1526460047487,-81,-200,-200,-82,-200,-63,-200,-200,-88,-97,-200
1526460047597,-81,-91,-89,-82,-200,-200,-200,-200,-200,-97,-200
1526460052241,-80,-92,-89,-85,-86,-81,-200,-200,-200,-200,-200
1526460052346,-80,-90,-200,-86,-86,-71,-200,-90,-200,-200,-200
1526460052451,-80,-91,-200,-86,-86,-81,-200,-200,-200,-200,-200
1526460052554,-81,-200,-89,-86,-86,-200,-200,-200,-200,-200,-200
1526460057247,-82,-200,-200,-88,-84,-62,-200,-200,-93,-200,-200
1526460057341,-82,-200,-200,-87,-85,-68,-200,-200,-90,-200,-200
1526460057449,-82,-200,-200,-88,-84,-62,-83,-200,-92,-200,-200
1526460057549,-82,-200,-200,-88,-84,-62,-200,-200,-92,-200,-200
1526460057658,-200,-200,-200,-200,-85,-200,-200,-200,-200,-99,-200
1526460062342,-82,-200,-200,-200,-200,-200,-200,-200,-200,-100,-87
1526460062440,-200,-200,-200,-82,-80,-63,-200,-200,-87,-97,-200
1526460062546,-81,-200,-200,-81,-80,-63,-85,-200,-88,-98,-200
1526460062670,-80,-200,-200,-200,-80,-62,-85,-200,-88,-200,-88
1526460062771,-81,-91,-200,-200,-200,-62,-200,-200,-200,-200,-200
1526460067239,-80,-91,-200,-86,-86,-200,-200,-90,-200,-200,-200
1526460067339,-80,-92,-200,-86,-85,-200,-200,-200,-200,-200,-200
1526460067440,-80,-200,-88,-86,-85,-200,-200,-200,-200,-200,-200
1526460067554,-80,-91,-89,-87,-85,-200,-200,-91,-200,-200,-200
1526460067663,-200,-200,-89,-88,-84,-62,-83,-200,-200,-200,-200
1526460072340,-83,-200,-200,-200,-200,-62,-83,-200,-200,-200,-200
1526460072440,-82,-200,-200,-87,-84,-61,-83,-200,-200,-200,-200
1526460072539,-200,-200,-200,-200,-200,-62,-83,-200,-92,-200,-200
1526460072638,-81,-200,-200,-200,-200,-62,-83,-200,-87,-200,-90
1526460077367,-81,-200,-200,-81,-200,-62,-85,-200,-88,-99,-200
1526460077624,-81,-91,-200,-200,-80,-200,-85,-200,-88,-200,-200
1526460082309,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200
1526460082425,-81,-200,-89,-86,-86,-200,-200,-200,-200,-200,-200
1526460082529,-81,-91,-200,-86,-85,-200,-200,-92,-200,-200,-200
1526460082626,-80,-92,-88,-86,-86,-62,-83,-200,-92,-200,-200
1526460087272,-200,-200,-200,-88,-83,-200,-83,-200,-92,-200,-200
1526460087571,-200,-200,-200,-88,-200,-62,-83,-200,-91,-200,-200
1526460087670,-82,-200,-200,-200,-200,-62,-83,-200,-200,-200,-200
1526460087786,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
